premise_id	premise	status	use	not_supplied
P01	founded_phi_reciprocal_character	pinned_by_THEORY	clock_ruler_weights and S(delta)	physical profile or selected solution
P02	copresence	WORKING_INTERPRETIVE_FRAME	carried status only	operational access or field equation
P03	metric_causal_structure	DERIVED_CONDITIONAL	geodesic and screen typing given Lorentzian metric	matter signal law
P04	instantaneous_operational_access	NOT_DERIVED	explicit exclusion	signalling theorem
P05	complete_whole_solution_law	OPEN	explicit exclusion	action or admissibility selector
P06	observer_frame_reciprocity	OWNER_FOUNDING_MACRO	covariance of comparison	preferred observer or solution isometry
P07	stationary_twisted_R_x_S3_family	free-and-explored_bounded_ansatz	same-metric join test	on-shell or physical topology
P08	C01_to_C06_intrinsic_clock_line	pinned_by_parent_exact_evidence	define stationary u	future time orientation or solution selection
P09	C01_to_C06_twist_ruler_line	pinned_by_parent_exact_evidence	define unoriented n	ordered ruler sign
P10	C07_twist_off_control	pinned_by_parent_exact_evidence	fail ruler/screen-selection route	universal no-go
P11	C08_constant_depth_control	pinned_by_parent_exact_evidence	fail nontrivial clock route	universal no-go
P12	lambda	free-and-explored_six_values_plus_controls	screen-weight identity	selector or observation fit
P13	spacetime_orientation	conditional_readout	oriented area-form representative	metric selection of orientation
P14	time_orientation	conditional_readout	future representative u	metric selection of sign
P15	supplied_affine_geodesic	free-and-typed_input	Killing energy and Jacobi transport	physical path selection
P16	endpoint_stationary_observers	metric_intrinsic_in_parent_family	frequency readout on K orbits	all-observer universal law
P17	Jacobi_phase_space_transport	pinned_by_metric_geometry	transverse cocycle on supplied path	closed-form propagator for all paths
P18	WRL_SNe_readout	OBSERVED_REGISTERED_CONDITIONAL_NEAR_DATA	non-conflation comparison	validation of complete twisted S3 branch
P19	c_E_equals_one_and_R_equals_one	pinned_by_parent_units	algebraic normalization	physical scale selection
P20	action_source_carrier_boundary_density_bootstrap_mass_Xmax_dynamics	OPEN_OR_CONDITIONAL	excluded	complete physics
