input	status	role	ceiling
G312/UR	OWNER_PROVISIONAL_BOUNDED_VACUUM	G313 inherited admission	Not a carried-content law
G313	ACCEPTED_CONDITIONAL_SOURCE	Constant-A plane wave and scale-free vacuum arena	No physical history/population/global completion selection
G351	OWNER_PROVISIONAL_CONSERVATION	Finite supplied label measure on source-free query	Does not supply measure or population; global finite R2 not required
G352	OWNER_PROVISIONAL_READOUT_AND_CHOSEN_PRODUCT	Gamma=(omega/Delta)s/J	Continuous chosen product only; physical identity open
c19b5fb1 curvature candidate	REVIEWED_UNPROMOTED_CONDITIONAL	Chosen Weyl/dual beta/current/area amount	Not physically adopted or metric-selected recipe
CB1-TYPE/CB1-FREEDOM/CB1-SOURCE-BOUNDARY	VERIFIED_WITH_CAVEATS_UNPROMOTED	Fixed-query eligibility and non-selection	Source-bounded reduced query, not coupled physical solutions
Naturality of scalar/current construction	EXPLICIT_MATHEMATICAL_CLASS_HYPOTHESIS	Symmetry invariance test	Not extension of Local Metric Sufficiency or physical premise
Complete R2 and global finite translation-invariant measure	OPTIONAL_GLOBAL_MATHEMATICAL_HYPOTHESES	Finite-total obstruction	Not required by G351; supplied finite query patch allowed
Scalar homothety weight -2 with beta/Delta fixed	OPTIONAL_CONVERSION_CLASS_HYPOTHESIS	Count-conversion obstruction	Does not assume physical content must be a dimensionless count
Observer/point/boundary/material length/profile	EXCLUDED_FROM_TESTED_CONSTRUCTION_CLASS	Make geometric-data boundary explicit	Not prohibited from all physical theories; none adopted here
