item	status	role	not_owned
four_dimensional_Lorentz_signature	PINNED_BY_CURRENT_UDT_METRIC_ARENA	metric and connection type	physical history
orthonormal_frame_bundle	STANDARD_GEOMETRIC_HOME	regional coframe/connection arena	preferred observer frame
solder_form_theta	UNKNOWN_TO_BE_REALIZED	coframe field	preselected metric
Lorentz_connection_omega	UNKNOWN_TO_BE_REALIZED	torsion-free metric carry	independent force field
zero_torsion	PINNED_BY_LEVI_CIVITA_METRIC_GEOMETRY	first Cartan equation	field equation
curvature_coefficients_R	QUERY_SUPPLIED_OR_CLASSIFYING_DATA	second Cartan coefficient	numerical curvature generation
curvature_derivative_law	FREE_AND_EXHAUSTIVE_TYPED_INPUT	regional carry/classifying anchor	physical selection
G227_algebraic_Bianchi	DERIVED_BOUNDED	first exterior closure	regional sufficiency
G228_differential_Bianchi	DERIVED_BOUNDED	second exterior closure	regional sufficiency
G230_Ricci_commutator	DERIVED_BOUNDED	first nonlinear prolongation	regional sufficiency
finite_type_classifying_algebroid	STANDARD_CONDITIONAL_REALIZATION_ROUTE	local realization architecture	generic UDT ownership
analytic_formal_integrability	STANDARD_CONDITIONAL_EXISTENCE_ROUTE	infinite-type local existence condition	smooth or global theorem
smooth_generic_realization	OPEN	possible regional category	automatic consequence
P1_G116_G189_Xmax_fits	INACTIVE	provenance exclusion	construction input
protected_packages	INACTIVE	provenance exclusion	evidence source
