item	status	scope	not_claimed
Cartan_frame_bundle_coframe	DERIVED_STANDARD	local orthonormal frame bundle	selected physical frame
algebraic_Bianchi_closure	DERIVED_EXACT	36 to 20 curvature module	dynamics or value law
differential_Bianchi_closure	DERIVED_EXACT	80 to 60 first-derivative module	regional realization by itself
Ricci_commutator_closure	DERIVED_EXACT	320 to 126 affine second prolongation	field equation or source law
bare_moving_frame_R	INCOMPLETE_INPUT	lacks horizontal and vertical carry	impossible curvature data
R_with_supplied_coframe	EVALUATIVE_ALREADY_HAS_METRIC	metric evaluator	metric derived from R
finite_classifying_derivative_law	CONDITIONAL_LOCAL_G_REALIZATION	full finite SO(1,3) G-structure-algebroid and local G-integrability hypotheses	UDT-owned law or values; automatic ordinary-manifold quotient
analytic_formally_integrable_prolongation	CONDITIONAL_LOCAL_COFRAME_REALIZATION	analytic formally-integrable relative-algebroid data	principal SO(1,3) descent; generic smooth or global theorem
regional_metric_values	OPEN	classifying invariant values	generated by Cartan identities
observer_population	OPEN	physical null and pair relations	selected by exterior closure
physical_history	OPEN	complete evolving metric relation network	selected by G231
