source_id	path	bytes	sha256
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	646701	74ba74e05078661a56d93e5188f5a4debe970192f79269797c12b5cfbfbaae42
S02	CURRENT_SCIENTIFIC_PREMISES.md	10298	1f368c203c2c16eb6ab956f4ea4d3cfd6fd1f93efa3f1f89f57905e8a97d6823
S03	udt_g289_native_kernel_hopfion_compatibility_history_constraint_audit_2026-08-28/AUDIT_REPORT.md	4292	b0a660145d706efda621b8f4dd90651ee7cca4718c320f32c8da2948dc9fbe35
S04	udt_g289_native_kernel_hopfion_compatibility_history_constraint_audit_2026-08-28/EXACT_DERIVATION.md	5480	1d3a4032b04e78c47b71fff858cba967cf26b2e8a9c4ac66bed06ba818e3484a
S05	udt_g305_global_completion_hopf_domain_bridge_2026-08-30/AUDIT_REPORT.md	3391	6fb44360a2ec8b389e156d95beb69719b7ebba4c65790e21f363002a05ae5b6b
S06	udt_g305_global_completion_hopf_domain_bridge_2026-08-30/HOPF_REQUIREMENT_LEDGER.tsv	932	dad580c0bee041e99344f95189f5773142e759dcf20cc8ace6173f693aba88c6
S07	udt_g306_intrinsic_hopf_section_frame_descent_classification_2026-08-30/AUDIT_REPORT.md	3086	6471bdb75d721fa9894eaa2369c0af7e5b4355f282aeb06d394a261c50af2f75
S08	udt_g306_intrinsic_hopf_section_frame_descent_classification_2026-08-30/EXACT_DERIVATION.md	8449	1ac34b07b1a4959bd7d1a7da38898e8e8e90e088f1cf0c98f7c1d78f32274e9d
S09	udt_g306_intrinsic_hopf_section_frame_descent_classification_2026-08-30/CANDIDATE_CENSUS.tsv	1276	a371be1d5902ede91cd6d8de499d9d53959f7b54272851d296d72ba171233e0e
S10	udt_g310_differential_dual_reciprocity_tracefree_ownership_2026-08-31/AUDIT_REPORT.md	1871	e4adabc1e862423cc68297305ed51903107feac135497d33f26f230f6a192fe6
S11	udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/AUDIT_REPORT.md	2277	c8f9e5547c13067282d37bfb51db78d13bbdc06b48ef50f8f3f498e196abcb57
S12	udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/AUDIT_REPORT.md	3337	b7df75cee891ed23dcf4796aba0a3d25e101ee89e4c1add95c8ef842987e418e
S13	udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/EXACT_DERIVATION.md	6081	7bf8dd3b081ff0d37ee23c8ea462abc451f9f4a3510283ea5e9ef87dd042b6bf
S14	udt_g321_g320_local_cauchy_development_uniqueness_2026-09-01/AUDIT_REPORT.md	3689	975fb68b053c2a11c373677544374e448f2ce84b265d860bb2c1e723d2595d6c
S15	udt_g321_g320_local_cauchy_development_uniqueness_2026-09-01/EXACT_DERIVATION.md	7098	27ed748fd4d944746d88b6227eb0f4f186628770f4b1a6a9fc9d84563ccc84f4
