source_id	path	role	ownership_boundary
S01	CURRENT_SCIENTIFIC_PREMISES.tsv	current exact ownership registry	wide registry is status authority not a derivation
S02	CURRENT_SCIENTIFIC_PREMISES.md	bounded current orientation	guide cannot overrule registry
S03	udt_g289_native_kernel_hopfion_compatibility_history_constraint_audit_2026-08-28/AUDIT_REPORT.md	prior full-frame gauge obstruction	comparison boundary not proof of G330
S04	udt_g289_native_kernel_hopfion_compatibility_history_constraint_audit_2026-08-28/EXACT_DERIVATION.md	component-charge and conformal-twin controls	historical comparison only
S05	udt_g305_global_completion_hopf_domain_bridge_2026-08-30/AUDIT_REPORT.md	conditional compact S3 domain	no physical map action or population
S06	udt_g305_global_completion_hopf_domain_bridge_2026-08-30/HOPF_REQUIREMENT_LEDGER.tsv	prior requirement ledger	open items remain open unless G330 explicitly closes bounded part
S07	udt_g306_intrinsic_hopf_section_frame_descent_classification_2026-08-30/AUDIT_REPORT.md	round S3 family and isotropy boundary	no selected round member
S08	udt_g306_intrinsic_hopf_section_frame_descent_classification_2026-08-30/EXACT_DERIVATION.md	round family formulas and normalized helicity	old supplied-member theorem not proof of Berger selection
S09	udt_g306_intrinsic_hopf_section_frame_descent_classification_2026-08-30/CANDIDATE_CENSUS.tsv	round candidate census	bounded comparison control
S10	udt_g310_differential_dual_reciprocity_tracefree_ownership_2026-08-31/AUDIT_REPORT.md	trace-free response formulation	historical report predates owner adoption; registry controls current status
S11	udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/AUDIT_REPORT.md	conditional response-constitution boundary	owner adoption is recorded only in current registry
S12	udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/AUDIT_REPORT.md	current multibranch Einstein arena	no occupancy selector
S13	udt_g313_tracefree_ricci_solution_space_bootstrap_map_2026-09-01/EXACT_DERIVATION.md	Berger S3 datum and exact Ricci witness	registered input to be freshly rederived
S14	udt_g321_g320_local_cauchy_development_uniqueness_2026-09-01/AUDIT_REPORT.md	conditional local uniqueness interface	imported mathematical theorem remains conditional
S15	udt_g321_g320_local_cauchy_development_uniqueness_2026-09-01/EXACT_DERIVATION.md	marked local Cauchy theorem application	method only not UDT postulate
