item	status	role	not_owned
four_dimensional_Lorentz_signature	PINNED_BY_CURRENT_UDT_METRIC_ARENA	index and sign convention	physical history
one_supplied_event	QUERY_SUPPLIED	point-jet base	observer population
fixed_tangent_frame	CHOSE_FOR_COMPONENT_REPLAY	component presentation	preferred frame
G227_algebraic_curvature_module	DERIVED_BOUNDED	20-component curvature target	curvature values
G228_differential_Bianchi_module	DERIVED_BOUNDED	60-component first derivative target	regional realization
G229_metric_3jet_realization	DERIVED_BOUNDED	lower-jet bridge	fourth-order result
metric_fourth_derivative_L	FREE_AND_EXHAUSTIVE_LOCAL_JET	350-component source arena	dynamical field
ordered_second_curvature_derivative_E	DERIVED_CONDITIONAL_FROM_METRIC_JET	320-component preconstraint readout	independent physical field
differentiated_Bianchi	STANDARD_LEVI_CIVITA_IDENTITY	linear second-order compatibility	equation of motion
Ricci_derivative_commutator	STANDARD_LEVI_CIVITA_IDENTITY	nonlinear R-times-R compatibility	source or force law
quintic_coordinate_change	FREE_AND_EXHAUSTIVE_COORDINATE_GAUGE	fixed-lower-jet kernel	physical mode
fourth_order_normal_coordinates	CHOSE_GAUGE	unique local representative	global chart
smooth_polynomial_representative	CONDITIONAL_LOCAL_WITNESS	data-dependent neighborhood	finite-region prescribed field
P1_G116_G189_Xmax_fits	INACTIVE	provenance exclusion	construction input
protected_packages	INACTIVE	provenance exclusion	evidence source
