item	status	scope	not_claimed
G227_G228_sufficiency_for_second_overlap	REFUTED_BY_EXACT_WITNESS	one supplied event	regional nonexistence
Ricci_commutator_R_times_R	DERIVED_STANDARD_METRIC_IDENTITY	nonlinear second-curvature-jet compatibility	dynamics or source law
differentiated_Bianchi_rank	DERIVED_EXACT	80 in reduced 320-slot target	field equation
combined_constraint_rank	DERIVED_EXACT	194 with 126-dimensional affine translation	global history selector
metric_fourth_jet_map	DERIVED_EXACT	rank 126 kernel 224	curvature values
quintic_coordinate_kernel	DERIVED_FIXED_TANGENT_FRAME	exact 224-dimensional kernel	physical orchestra modes
fourth_order_normal_slice	DERIVED_FIXED_LOWER_NORMAL_JETS	126-dimensional isomorphic slice	global preferred chart
quadratic_affine_identity	DERIVED_EXACT	210-case complete polarization	finite sample fit
independent_full21_replay	INDEPENDENTLY_VERIFIED	two-prime ranks and Fraction sign witness	formal theorem at every order
finite_neighborhood_realization	OPEN	prescribed smooth curvature field	closed by point jet
value_generation	OPEN	numerical metric/curvature field	implied by compatibility
physical_history	OPEN	complete evolving metric relation network	selected by G230
