claim_id	object	status	exact_scope	remaining_open
S01	monodromy_endpoint_graph	DERIVED	eight_registered_GL2Z_witnesses;Graph_M_in_R4	actual_complete_metric_witnesses_and_physical_monodromy
S02	monodromy_graph_variation	DERIVED	28_of_28_witness_pairs_distinct	infinite_parametric_family_realization
S03	fixed_parallel_subspaces	CONDITIONAL	only_if_parallel_or_base_constant_section_is_independently_required	whether_any_such_section_is_native
S04	Ck_jet_matching_family	DERIVED	registered_transformed_jet_schema;scalar_identity_rank_control	physical_seam_transition_and_k
S05	registered_toric_cap_jet_fibers	CONDITIONAL	CHOSE_two_cap_toric_family;f_cap_plus_minus_1_and_regular_cap_jets	native_selection_of_family_caps_or_completion
S06	pointwise_curvature	DERIVED	forward_metric_readout	choice_free_global_to_local_return
S07	curvature_level_spectrum_or_average	OPEN	would_require_level_operator_domain_measure_weight_or_normalization	native_choice_free_construction
S08	holonomy_transport_fiber	CONDITIONAL	supplied_metric_and_path_or_loop	configuration_admissibility_without_parallelism_premise
S09	completion_parameterized_local_family	DERIVED	partial_kinematic_descent_and_regularity_schemas	complete_on_shell_family_and_selection
S10	physical_completion_selector	OPEN	zero_current_routes	complete_native_selector
S11	bootstrap_dynamics_stability_mass	OPEN	not_entered	complete_native_equation_return_and_matter_structure
