candidate_id	global_data_class	registered_datum	independent_global_argument	natural_local_fiber	distinct_fibers	same_configuration_reidentification	premise_firewall	ruling
G01	POINTWISE_CURVATURE_DATA	YES_LOCAL_TENSOR_READOUT	NO	NO	NO	YES_AS_READOUT	PASS	FORWARD_LOCAL_READOUT_NOT_RETURN
G02	PRESCRIBED_CURVATURE_LEVEL	NO_SELECTED_LEVEL	ONLY_IF_ADDED	NO	FORMAL_LEVEL_SETS_ONLY	CONDITIONAL	FAIL_IF_LEVEL_ADOPTED	BLOCKED_ARBITRARY_LEVEL_SET
G03	CURVATURE_SPECTRUM_OR_DISTRIBUTION	NO_CHOICE_FREE_GLOBAL_OBJECT	NO	NO	NO	NO	PASS	BLOCKED_OPERATOR_DOMAIN_MEASURE_CHOICE
G04	CURVATURE_INTEGRAL_OR_NORMALIZED_AVERAGE	UNSELECTED_FUNCTIONAL_FAMILY	ONLY_IF_ADDED	NO	FORMAL_ONLY	CONDITIONAL_ON_DOMAIN_WEIGHT	FAIL_IF_PROMOTED	BLOCKED_INTEGRAL_WEIGHT_NORMALIZATION_CHOICE
G05	PATH_LOOP_HOLONOMY	CONDITIONAL_PATH_OR_LOOP_OUTPUT	PATH_QUERY_SUPPLIED	ENDPOINT_TRANSPORT_GRAPH_FOR_SPECIFIED_PATH	YES_CONDITIONAL_ON_PATH_AND_METRIC	YES_CONDITIONAL	PASS	CONDITIONAL_TRANSPORT_FIBER_NOT_CONFIGURATION_ADMISSIBILITY
G06	DISCRETE_TOPOLOGY_COMPLETION_LABEL	YES_LABEL	YES	NO_FROM_LABEL_ALONE	NO_UNLESS_ACTION_DATA_SUPPLIED	YES_CLASSIFICATION	PASS	SUPPLIED_LABEL_WITHOUT_LOCAL_ACTION
G07	TRANSITION_MONODROMY_REPRESENTATION	YES_GL2Z_PARAMETRIC_FAMILY_AND_WITNESSES	YES	GRAPH_M_ENDPOINT_DESCENT	YES_28_OF_28_WITNESS_PAIRS	SCHEMA_ONLY_NO_COMPLETE_METRIC_WITNESS	PASS	NATURAL_PARAMETRIC_LOCAL_JOIN_FIBER_SCHEMA
G08	SMOOTH_CAP_DEGENERATION_DATA	YES_CONDITIONAL_REGISTERED_TORIC_FAMILY	YES_CAP_CYCLE	CAP_REGULARITY_JET_CONDITIONS	YES_FCAP_PLUS_MINUS_ONE	YES_FROM_CLOSING_CYCLE_AND_CAP_LIMIT	PASS	NATURAL_PARTIAL_CAP_JET_FIBER_CONDITIONAL_FAMILY
G09	SEAM_GLUE_MATCHING_DATA	YES_REGULARITY_CLASS_SCHEMA	YES_TRANSITION_AND_K	TRANSFORMED_JET_MATCHING	YES_C0_C1_C2_NESTED_CONTROLS	SCHEMA_IF_FULL_TRANSITION_SUPPLIED	PASS	NATURAL_PARAMETRIC_JET_MATCHING_SCHEMA_PHYSICAL_SEAM_OPEN
G10	COMPLETION_SCOPED_R_GEOM	YES_PARTIAL_12_BY_17_SCHEMA	COMPLETION_SUPPLIED	COMPATIBILITY_ROWS_ONLY	YES_SCHEMA_DIFFERENCES	NO_COMPLETE_WITNESS	PASS	PARTIAL_READOUT_AND_COMPATIBILITY_NOT_COMPLETE_RETURN
G11	COMPLETION_CONDITIONED_PROJECTOR_NEIGHBORHOOD	YES_ONLY_FC04_S3_CONSTRUCTIVE_WITNESS	COMPLETION_SUPPLIED	INTERSECTION_DEFINED_FOR_S3_ONLY	NO_CROSS_COMPLETION_PROJECTOR_FAMILY	YES_BOUNDED_S3	PASS	SINGLE_COMPLETION_COMPATIBILITY_NOT_CHANGING_FAMILY
G12	COMBINED_CURVATURE_COMPLETION_SELECTOR	NO_SELECTOR	UNDEFINED	NO	NO_SELECTED_FAMILY	NO	PASS	NO_CURRENT_SELECTOR_OR_BOOTSTRAP_RETURN
