object	status	role	forbidden_promotion
completed reciprocal pair kernel	WORKING_FOUNDATIONAL_CLARIFICATION_PLUS_DERIVED_CONDITIONAL	upstream observer-pair readout	canon or physical-history selector
G237 K12 state and covariance	OBSERVED_PROCESSED_CONDITIONAL	frozen radial anchor data	profile law raw observable or UDT validation
central static spherical primary metric	CONDITIONAL_CONFIGURATION_SLICE	maps relative R(phi) into one bounded metric history	complete UDT universe
phi=log(1+z)	DERIVED_CONDITIONAL_ON_STATIC_QUERY	founded-depth coordinate on the bounded SNe query	universal redshift law
anchored Chebyshev degrees 2 3 4	CHOSE_OBSERVATIONAL_CARRIER_FAMILY	small finite smooth history carriers	metric-derived profile dynamics or physical coefficients
smallest adequate degree rule	CHOSE_PREREGISTERED_MODEL_SELECTION	prevents post-outcome degree tuning	uniqueness theorem
full G237 covariance GLS	STANDARD_NUMERICAL_TOOL	calibrates carrier coefficients	UDT dynamics
strict positive dlogR/dphi	QUERY_TYPE_ADMISSIBILITY	ensures one regular invertible radial branch	observational merit filter or universal monotonicity postulate
G127 tidal contrast	DERIVED_CONDITIONAL	values angular curvature from the same anchored radial history	finite-path BOSS prediction by itself
homogeneous Poisson parents	CHOSE_NULL_SOURCE_CONTROL	future no-intrinsic-pattern source hypothesis	UDT source law or observed galaxy ontology
all regular images counted once	CHOSE_QUERY_PROTOCOL_THEN_DERIVED_G240	future branch census	universal detector or transfer law
BOSS outcomes	SEALED_HELDOUT	none in G241	degree coefficient feature scale or history selector
absolute radial scale	OPEN	cancels from the G241 dimensionless local tidal invariant	Xmax universe size or derived ruler
P1 G116 G189 Xmax LambdaCDM protected payload	EXCLUDED	no construction role	native kernel or anchor input
