object	status	maximum_conclusion
radial_to_tidal_identity	DERIVED_CONDITIONAL	one smooth invertible relative R(phi) values dimensionless local G127 tidal contrast without absolute scale
degree_2_carrier	OBSERVED_FAILED_REGISTERED_GATES	inadequate and noninvertible on frozen G237 state
degree_3_carrier	OBSERVED_FAILED_REGISTERED_GATES	invertible but inadequate on frozen G237 state
degree_4_carrier	OBSERVED_FAILED_REGISTERED_GATES	inadequate and noninvertible on frozen G237 state
two_to_four_coefficient_family	BOUNDED_NEGATIVE	no registered carrier selected
continuous_physical_history	OPEN	G241 does not supply one
Poisson_parent_source	CHOSE_FUTURE_NULL_CONTROL	not evaluated or promoted
all_image_query	CHOSE_G240_SCOPE	not evaluated in G241
BOSS_outcomes	CLOSED	no numerical outcome read
G241_review	EXTERNAL_R4_ACCEPTED	bounded negative and conditional identity independently retained
