source_id	path	bytes	sha256
S01	startup_surface_g310_universal_reciprocity_refresh_2026-08-31/ADOPTION_RECORD.md	2114	4eb7d0a1130dcff997bc5180f420b633e2dcbbb5072d098997ba3672b38d8ab5
S02	startup_surface_g312_two_premise_adoption_refresh_2026-09-01/ADOPTION_RECORD.md	3061	ebeae075307e7a325a840f4c2d9dcd973c18d9a3be21e6e6eccacce1ae8856f1
S03	udt_g310_differential_dual_reciprocity_tracefree_ownership_2026-08-31/AUDIT_REPORT.md	1871	e4adabc1e862423cc68297305ed51903107feac135497d33f26f230f6a192fe6
S04	udt_g312_quiet_gr_response_constitution_discriminator_2026-09-01/AUDIT_REPORT.md	2277	c8f9e5547c13067282d37bfb51db78d13bbdc06b48ef50f8f3f498e196abcb57
S05	udt_g315_conditional_cauchy_characteristic_data_interface_2026-09-01/EXACT_DERIVATION.md	8331	8653bb2162b54965c9fe0a74a17aa5cb1da9114b6289b15fb8f46cc4b30b2a63
S06	udt_g316_lawful_constraint_data_construction_2026-09-01/EXACT_DERIVATION.md	8790	a7ad81bcfa3a55b7f86107b175569064219235b4201465df9759a8d87c672390
S07	udt_g319_ratio_free_noncmc_constraint_descent_2026-09-01/EXACT_DERIVATION.md	6774	8176dc4c050dcb6f3e8fd3a15347ef1d7f52b199b1694519e4f76d28f74eddc6
S08	udt_g330_berger_hopf_eigenline_local_persistence_2026-09-02/AUDIT_REPORT.md	4807	9e7eeb08f669a1cf27ec18f459cafddf38a833a4f20bec2548de0caffcd13250
S09	udt_g331_nonsymmetric_ricci_eigenline_fibration_perturbation_2026-09-03/AUDIT_REPORT.md	5060	0b489b4741b5943619ac18272c48e1e23456ac0e534d78883aaf5cf6a7f1b279
S10	udt_g331_nonsymmetric_ricci_eigenline_fibration_perturbation_2026-09-03/EXACT_DERIVATION.md	9682	9182ee3ee42e346c16059fd330c00d9399b692d0f992e25e6dd29edbe3f56a1e
S11	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md	10290	df0171eb83d75ad175727a8db541df8500b7826edf6059ae63a52f1a1ba15bea
S12	native_hopfion_topology_audit_2026-07-19/TOPOLOGY_STATUS_LEDGER.tsv	4226	de154fbb7787759864786c04186a26a4605c447d362112bb482acee064d457e4
