item	status	use_or_limit
UDT_metric	pinned-by-THEORY	the spatial metric and extrinsic curvature are the complete initial-data objects
Universal_Reciprocity_DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE	active only through the bounded trace-free-Ricci response; not derived or canon
quiet_GR_response	OWNER_ADOPTED_PROVISIONAL_POSTULATE	G312 full principal-response overlap in the registered vacuum arena
Local_Metric_Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATE	G312 local finite-jet response; not a global-memory law
Einstein_completion	pinned-by-THEORY_CONDITIONAL	Ric=Lambda*g with connected constant Lambda follows only inside the active provisional arena
vacuum_constraints	pinned-by-THEORY_CONDITIONAL	G315 Gauss-Codazzi constraints inherited from the active provisional equation
weighted_contact_metric	free-and-explored	complete G331 positive-weight family; no member selected physically
weight_ratio	free-and-explored	equal rational-unequal and irrational-unequal classes retained
topology	CHOSE_BOUNDED_DIAGNOSTIC_SLICE	S3 is inherited from G331 for this test; not selected universally
extrinsic_curvature	free-and-explored	all smooth symmetric K allowed in the question; displayed K is an existence witness only
C_constant	free-and-explored	finite inverse-length construction constant scanned algebraically; not a physical scale
Lambda	free-and-explored_CONDITIONAL	one fixed finite connected scalar; not selected or calibrated
square_root_branch	free-and-explored	both real signs retained; zero-radicand boundary recorded
Ricci_eigenline	pinned-by-THEORY_CONDITIONAL	G331 exact metric-native simple line in the near-Berger gap-open neighborhood
orbit_closure	free-and-explored	closed rational and nonclosed irrational flow classes retained
coordinate_chart	CHOSE_PRESENTATION	x,phi1,phi2 interior chart used for direct checks; global smoothness inherited and audited
constraint_method	IMPORTED_MATHEMATICAL_METHOD	Gauss-Codazzi/ADM decomposition evaluates the active equation; adds no physics
historical_carrier_action	OMITTED_OPEN	no S2 carrier L2+L4 or EH-selection premise
source_matter_mass	OMITTED_OPEN	no source matter coupling mass law or backreaction
evolution_stability	OMITTED_OPEN	initial constraint data only; no local or global dynamic persistence claim
observations_scale_Xmax	OMITTED_OPEN	no observation fit absolute scale or physical X_max
physical_occupancy	OMITTED_OPEN	no datum history topology or branch selected as Nature's
