claim_id	parent_status	correction_status	ruling	reason
Q01	WORKING_POSIT	OWNER_WORKING_POSTULATE	RETAIN_AND_SHARPEN	Xmax_is_the_invariant_positional_dilation_asymptote
Q02	WORKING_PLUS_EXACT_ACTION_DOMAIN	OWNER_WORKING_PLUS_METRIC_REALIZATION	RETAIN	limit_is_unattainable_in_owner_framing_and_WRL_has_infinite_optical_depth
Q03	WITHDRAWN_IN_THIS_FRAMING	WITHDRAWN_IN_THIS_FRAMING	RETAIN	negative_distance_not_physical
Q04	DERIVED	DERIVED_BOUNDED_CLASS	RETAIN	classification_remains_mathematical_but_not_Xmax_definition
Q05	REFUTED	REFUTED	RETAIN	invariant_bound_alone_does_not_select_tanh
Q06	DERIVED_CONDITIONAL	DERIVED_CONDITIONAL_PROJECTIVE	RETAIN	tanh_theorem_requires_first_degree_readout
Q07	OPEN	DISPLACED_AS_WRONG_OWNER_QUESTION	CORRECT	physical_position_is_not_defined_by_choosing_among_downstream_readouts
Q08	DERIVED_IN_RECORDED_METRIC	DERIVED_IN_RECORDED_WRL_REPRESENTATIVE	RETAIN	readouts_remain_exact_downstream_diagnostics
Q09	OPEN	OPEN_WITH_CONDITIONAL_WRL_CANDIDATE	SHARPEN	WRL_derives_matching_asymptote_but_global_branch_selection_remains_open
Q10	REFUTED_AS_COORDINATE_SELECTION	RETAINED_BUT_NOT_OWNER_GATE	DEMOTE_PRIORITY	coordinate_reparametrization_does_not_challenge_owner_semantics
Q11	NOT_DERIVED	NOT_DERIVED	RETAIN	positional_asymptote_does_not_fix_angular_weight
Q12	DERIVED_CONDITIONAL	DERIVED_CONDITIONAL	RETAIN	added_area_neutrality_only_fixes_relative_source
Q13	OPEN	OPEN	RETAIN	lambda_not_fixed
Q14	DERIVED_DIMENSIONALLY	DERIVED_DIMENSIONALLY	RETAIN	c_G_Xmax_define_units_after_Xmax_known
Q15	OPEN	OPEN	RETAIN	native_mass_and_bootstrap_needed_for_value
Q16	OPEN	OPEN	RETAIN	complete_action_source_boundary_not_addressed
