catch_id	mutation	result	rejection_reason
C01	let_downstream_readout_define_Xmax	PASS_REJECTED	owner_semantics_precede_readouts
C02	call_WRL_profile_bare_metric_derivation	PASS_REJECTED	recentering_and_wall_package_are_load_bearing
C03	call_bare_metric_profile_closed	PASS_REJECTED	metric_leaves_phi_profile_dynamical
C04	call_SNe_fit_profile_derivation	PASS_REJECTED	fit_scores_supplied_profile
C05	call_tanh_forced_by_bound_alone	PASS_REJECTED	counterfamilies_and_named_projective_premise
C06	call_native_mass_dilation_derived	PASS_REJECTED	native_mass_functional_open
C07	call_WRL_X_globally_selected_Xmax	PASS_REJECTED	global_complete_branch_open
C08	call_Pantheon_scale_derived_Xmax	PASS_REJECTED	absolute_magnitude_degeneracy_and_no_bootstrap
C09	require_identical_observer_coordinates	PASS_REJECTED	frame_invariance_is_same_limit_and_law_not_same_labels
C10	call_lambda_one_derived	PASS_REJECTED	no_angular_selecting_equation
C11	derive_Xmax_from_c_and_G_alone	PASS_REJECTED	dimensional_homothety_not_broken
C12	treat_output_JSON_as_independent_premise	PASS_REJECTED	output_is_observation_of_supplied_code_model
C13	conflate_old_n1_script_with_WRL_linear_ceiling	PASS_REJECTED	old_phi_law_has_squared_lapse_and_obsolete_n1_readout
C14	delete_coordinate_proper_optical_distinctions	PASS_REJECTED	they_remain_exact_downstream_diagnostics
C15	call_WRL_wall_hard_terminal_edge	PASS_REJECTED	ingoing_extension_is_regular
C16	call_angular_wall_test_complete_angular_geometry	PASS_REJECTED	test_selects_alpha_not_lambda_topology_or_twist
C17	call_mass_lock_independent_consilience	PASS_REJECTED	GR_Misner_Sharp_readout_not_native_mass
C18	call_hyperbolic_J1_SNe_supported	PASS_REJECTED	full_covariance_chi2dof_2.1665
C19	hide_static_spherical_areal_slice	PASS_REJECTED	WRL_profile_scope_must_be_declared
C20	overwrite_frozen_parent	PASS_REJECTED	correction_is_append_only_parent_manifest_fixed
