claim_id	claim	status	scope
Q01	Xmax_is_invariant_positional_dilation_asymptote	OWNER_WORKING_POSTULATE	owner_ruling_not_new_canon
Q02	c_E_is_ordinary_regime_clock_anchor	OBSERVED_FOUNDING_ANCHOR	terrestrial_and_solar_calibration
Q03	A_equals_exp_minus_two_phi	DERIVED	reciprocal_static_metric
Q04	WRL_residual_power_family	DERIVED_CONDITIONAL_WRL	residual_composition_plus_affine_areal_recentering
Q05	WRL_alpha_equals_one	DERIVED_CONDITIONAL_WRL	finite_proper_infinite_optical_finite_wall_angular_curvature
Q06	r_over_X_equals_one_minus_exp_minus_two_phi	DERIVED_CONDITIONAL_WRL	recorded_static_WRL_branch
Q07	WRL_profile_has_X_dilation_asymptote	DERIVED_CONDITIONAL_WRL	phi_to_infinity_clock_to_zero_r_to_X
Q08	tanh_is_native_position_law	DERIVED_CONDITIONAL_PROJECTIVE	only_first_degree_anchored_projective_readout
Q09	recorded_WRL_X_is_selected_global_Xmax	OPEN	global_complete_metric_and_bootstrap
Q10	SNe_linear_ceiling_near_Pantheon	OBSERVED	N1580_full_covariance_one_offset
Q11	native_mass_increase_at_Xmax	WORKING_OPEN	no_native_mass_functional
Q12	SNe_derives_WRL_profile	REFUTED	SNe_scripts_score_supplied_profiles
Q13	coordinate_proper_optical_projective_maps	DOWNSTREAM_DISTINCTIONS	do_not_define_Xmax
Q14	all_ordinary_observers_share_same_Xmax	OWNER_LOCKED_CONDITIONAL_CONSISTENCY	frame_principle_not_identical_coordinates
Q15	angular_lambda_equals_one	OPEN	no_selecting_equation
Q16	WRL_angular_regularity_supplies_profile_information	DERIVED_CONDITIONAL_WRL	finite_wall_Gtheta_selects_alpha_inside_WRL_family
Q17	WRL_angular_regularity_completes_angular_geometry	OPEN	lambda_topology_twist_section_not_fixed
Q18	numerical_Xmax_total_mass_density	OPEN	native_mass_global_branch_and_scale_breaking_bootstrap_required
