source_id	path	sha256	first_commit	first_date	last_commit	last_date	role	adjudication
S01	SIMPLE_METRIC_MACRO.md	f0c045abf9810dc327d249d0df385cd7e8d6914eedfaf5b31c78d186eaa13d44	b5622bd	2026-07-09	b5622bd	2026-07-09	metric_definition	A_EQUALS_EXP_MINUS_TWO_PHI_DERIVED_PROFILE_NOT_FIXED
S02	simple_metric_xmax_POSTULATE.md	35bb2a2d6d01cb48287e218902d087cf954e4c9eeda3142f865731742e8e681d	b5622bd	2026-07-09	b5622bd	2026-07-09	historical_postulate	HYPERBOLIC_FORM_REQUIRES_ADDED_PREMISES
S03	simple_metric_c_analogy_MAP.md	e080a56e068f420b8ecbd516cbfb8fa854a6aab6f071540c94fdde9114f3530c	b5622bd	2026-07-09	b5622bd	2026-07-09	map	METRIC_PERMITS_ASYMPTOTIC_PROFILES
S04	simple_metric_c_analogy_rederive_results.md	f72ae6fc34fb17aea7792e122546a0b0dab8555d51aa15ec5457cecd028f7e8e	b5622bd	2026-07-09	b5622bd	2026-07-09	operator_audit	BARE_PROFILE_NOT_SELECTED_BY_TESTED_EL
S05	simple_metric_elegance_SNe_character_results.md	4d0712b32f6c34872135808501d4d9a9fe6cc5d011eaba5039a8d9be8641f00e	072e3d5	2026-07-09	072e3d5	2026-07-09	observational_report	HYPERBOLIC_J1_FAIL_LINEAR_CEILING_NEAR
S06	simple_metric_SNe_shape_clue_results.md	e460f07fca464315316c906f5580434adc9a4e6a23ee55e15363bef1f7507dbe	072e3d5	2026-07-09	072e3d5	2026-07-09	observational_report	SNE_RANKS_SHAPES_DOES_NOT_DERIVE
S07	simple_metric_SNe_shape_clue_out.json	1a794998d4f6e6c60459e08ac02617aef0233f96962cb0df1165bddd51e81460	072e3d5	2026-07-09	072e3d5	2026-07-09	machine_output	OBSERVED_NUMBERS_NOT_PREMISE
S08	simple_metric_pantheon_xmax_fit.py	6118f4d6d5e53cd669fa2d889273e815efb9e6b1d1c7887d06ef914c0da65e01	b5622bd	2026-07-09	b5622bd	2026-07-09	test_code	TESTS_SUPPLIED_HYPERBOLIC_PROFILE
S09	simple_metric_pantheon_xmax_fit_results.md	c0ccac653a2fbc007256424e286e06dba35275efc05c6575546f5edb6da81b8e	b5622bd	2026-07-09	b5622bd	2026-07-09	observational_report	HYPERBOLIC_SHAPE_FAIL_SCALE_CONVENTIONAL
S10	simple_metric_pantheon_xmax_fit_out.json	26abb55b2afd958910feed55b025f8aa93860dc9ac2475a6c3ca35c1d2de68b9	b5622bd	2026-07-09	b5622bd	2026-07-09	machine_output	DIAGONAL_OBSERVATION_NOT_DERIVATION
S11	simple_metric_pantheon_xmax_fit_fullcov.py	27e08872d55495d2b3d1922f4fe9141c65df1273f2e940b506ea01bbb537e038	b5622bd	2026-07-09	b5622bd	2026-07-09	test_code	TESTS_SUPPLIED_HYPERBOLIC_PROFILE
S12	simple_metric_pantheon_xmax_fit_fullcov_out.json	1b2ecade641fea438c55d6aef3324b83ee2d02abfe6b097b7256088f71b3d1d1	b5622bd	2026-07-09	b5622bd	2026-07-09	machine_output	FULLCOV_OBSERVATION_NOT_DERIVATION
S13	sne_test_derived_law.py	0ac392945475d0c9184b80c397d29a906dd33a232d0affdfe9e1ec003503920a	2239a14	2026-07-08	2239a14	2026-07-08	historical_test	HARDCODES_DISTINCT_SQUARED_LAPSE_AND_OBSOLETE_N1
S14	sne_test_derived_n.py	617f587ea93d346c50332db2666828017d54364df818ffa08da269a0a414fee0	2239a14	2026-07-08	2239a14	2026-07-08	optics_test	N2_COMPARISON_READOUT_NOT_PROFILE_DERIVATION
S15	sne_native_background_n2.py	5e96a98bc84961fded84ef04eb6a603fa370d45970f786098089729dd39e6c01	2239a14	2026-07-08	2239a14	2026-07-08	background_test	CHOSEN_ACTION_ODE_NOT_XMAX_DERIVATION
S16	simple_metric_hyperbolic_derive.md	c5ab7f7e7a09784b59384c8f32d7b1462e86c94ece3757d0cb0411508df38e5f	b5622bd	2026-07-09	b5622bd	2026-07-09	referenced_derivation	TANH_CONDITIONAL_ON_PROJECTIVE_COMPOSITION_AND_POSITION_JOIN
S17	derive_xmax_boost.py	c1c3898b41a0357e1323ecf7b420b3b17d37e59200a1aaf304937cca4a5412e9	867ead9	2026-07-07	b5622bd	2026-07-09	regression_script	HARDCODES_THEN_VERIFIES_FRACTIONAL_LINEAR_LAW
S18	simple_metric_L_wall_regularity_closure_results.md	0c68719277edb652fcb825d225f02cb8bb25f16a36efe6b40f3b1d9a5147b6b8	013f0b4	2026-07-09	86243b1	2026-07-09	selector_derivation	WRL_SELECTS_LINEAR_LAPSE_CONDITIONALLY
S19	simple_metric_L_wall_regularity_closure_out.json	cf756f06f15010133bb370c442a025b1d9a75d46188c1d023558a96fc9982f13	013f0b4	2026-07-09	013f0b4	2026-07-09	machine_output	WRL_REGRESSION_EVIDENCE
S20	simple_metric_L_native_optical_derive_results.md	3da5b6a53d77c5433348daa55f9d06cff33f8d6809adf84e55c76a5dba2474e1	072e3d5	2026-07-09	41c5992	2026-07-09	referenced_derivation	POPT_WORKING_ROUTE_LATER_CONSEQUENCE_OF_WRL
S21	asymptotic_boundary_lineage_audit_2026-07-19/AUDIT_REPORT.md	bf10dc2d525e26723ee2eb2eaacf368ad8546e76b0a8d3ba0d3baa0b9639d11d	ad9e9bd	2026-07-19	ad9e9bd	2026-07-19	provenance_audit	WRL_WALL_REGULAR_NULL_HORIZON_GLOBAL_SELECTION_OPEN
S22	CANON.md	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314	161325a	2026-06-10	564ac41	2026-07-09	status_authority	C_2026_07_09_1_WRL_WITH_SCOPE_APPENDICES
S23	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	af6bcc49535fd9cf4c8a60e997935d10619f2d52d146482ee40ad9d968f76810	7983748	2026-07-19	f571842	2026-07-20	current_frontier	WRL_UNIQUE_CONDITIONAL_GLOBAL_XMAX_OPEN
