source_id	path	source_role	supplied_structure	actual_operation	derives_profile	status
S01	SIMPLE_METRIC_MACRO.md	METRIC_DEFINITION	reciprocal_static_metric	defines_lapse_and_redshift_skeleton	NO	THEORY_IN_STATIC_SLICE
S02	simple_metric_xmax_POSTULATE.md	HISTORICAL_POSTULATE	finite_bound+projective_join	states_hyperbolic_conditional_chain	NO	WORKING_POSTULATE_HISTORY
S03	simple_metric_c_analogy_MAP.md	MAP	asymptotic_profile_family	classifies_allowed_metric_profiles	NO	MAP
S04	simple_metric_c_analogy_rederive_results.md	OPERATOR_AUDIT	c_like_trial_profiles	tests_existing_EL_residuals	NO	OBSERVED_NEGATIVE
S05	simple_metric_elegance_SNe_character_results.md	OBSERVATIONAL_REPORT	named_distance_laws	compares_full_covariance_residuals	NO	OBSERVED
S06	simple_metric_SNe_shape_clue_results.md	OBSERVATIONAL_REPORT	named_distance_laws	ranks_named_shapes	NO	OBSERVED
S07	simple_metric_SNe_shape_clue_out.json	MACHINE_OUTPUT	named_distance_laws	records_scores	NO	OBSERVED_OUTPUT
S08	simple_metric_pantheon_xmax_fit.py	TEST_CODE	hyperbolic_J1_law	scores_supplied_law	NO	OBSERVED_TEST
S09	simple_metric_pantheon_xmax_fit_results.md	OBSERVATIONAL_REPORT	hyperbolic_J1_law	reports_shape_failure_and_scale_degeneracy	NO	OBSERVED
S10	simple_metric_pantheon_xmax_fit_out.json	MACHINE_OUTPUT	hyperbolic_J1_law	records_diagonal_scores	NO	OBSERVED_OUTPUT
S11	simple_metric_pantheon_xmax_fit_fullcov.py	TEST_CODE	hyperbolic_J1_law	scores_supplied_law_full_covariance	NO	OBSERVED_TEST
S12	simple_metric_pantheon_xmax_fit_fullcov_out.json	MACHINE_OUTPUT	hyperbolic_J1_law	records_full_covariance_scores	NO	OBSERVED_OUTPUT
S13	sne_test_derived_law.py	HISTORICAL_TEST	phi=-ln(1-kr)+n1	scores_supplied_distinct_old_law	NO	HISTORICAL_SUPERSEDED_READOUT
S14	sne_test_derived_n.py	OPTICS_TEST	background_families	tests_n1_vs_n2	NO	COMPARISON_READOUT
S15	sne_native_background_n2.py	BACKGROUND_TEST	chosen_action_ODE	solves_and_scores_declared_background	NO	CONDITIONAL_TEST
