member_id	mapped_candidate_id	source_path	source_locator	declared_multiplicity	source_role	adjudication
P01_M01_TWO_POINT_CEFF_RATIO	P01_RECIPROCAL_CEFF_RATIO	udt_ceff_depth_orchestra_integration_2026-08-06.md	c_eff(q)/c_eff(p) = lambda_t	1	INVARIANT_PAIR_RATIO	PAIR_OBJECT_NOT_LOCAL_RADIAL_PROFILE
P01_M02_REFERENCE_POINT_READOUT	P01_RECIPROCAL_CEFF_RATIO	udt_ceff_depth_orchestra_integration_2026-08-06.md	reference-observer) special case	1	CONDITIONAL_REFERENCE_POINT_READOUT	ABSOLUTE_POINT_FORM_REQUIRES_DISCLOSED_REFERENCE
P01_M03_TIMELIKE_STRAIN_EXTRACTOR	P01_RECIPROCAL_CEFF_RATIO	udt_complete_pair_phi_orchestra_audit_2026-08-05/EXACT_DERIVATION.md	delta_t(A)=-(1/2) log(lambda_t(A)).	1	REGULAR_STRATUM_COMPLETE_ARROW_EXTRACTOR	DERIVED_EXTRACTOR_NOT_UNIQUE_PHYSICAL_COCYCLE
P01_M04_LOWER_MIXING_WITNESS	P01_RECIPROCAL_CEFF_RATIO	udt_complete_pair_phi_orchestra_audit_2026-08-05/AUDIT_REPORT.md	Complete lower mixing can modify that signed strain depth for a single pair.	1	PHI_ORCHESTRA_MIXING_WITNESS	MU_ORCHESTRA_MODULATES_PAIR_DEPTH
P02_M01_GROUPOID_COCYCLE_HOME	P02_STATIONARY_SCREEN_COCYCLE_FAMILY	udt_complete_pair_phi_orchestra_audit_2026-08-05/AUDIT_REPORT.md	real observer/path groupoid cocycle	1	DERIVED_STRUCTURAL_HOME	PHYSICAL_COCYCLE_SELECTION_OPEN
P02_M02_STATIONARY_SCREEN_FAMILY	P02_STATIONARY_SCREEN_COCYCLE_FAMILY	udt_complete_pair_phi_orchestra_audit_2026-08-05/AUDIT_REPORT.md	delta_a(p,q)=log[N(p)/N(q)] + a log[R(q)/R(p)]	1	CONDITIONAL_EXACT_FAMILY	SCREEN_MODULATION_EXPLICIT_BUT_A_UNSELECTED
P02_M03_ONE_FORM_ROUTE	P02_STATIONARY_SCREEN_COCYCLE_FAMILY	udt_complete_pair_phi_orchestra_audit_2026-08-05/EXACT_DERIVATION.md	The one-form representation here is conditional on a local first-order linear path generator.	1	CONDITIONAL_CANDIDATE_SUBCLASS	NOT_DERIVED_FROM_GENERAL_COCYCLE_HOME
P03_M01_XMAX_LIMIT_GATE	P03_XMAX_LIMIT_SCHEMA	udt_xmax_asymptotic_limit_frame_correction_2026-08-05/STATUS_AND_WORKFLOW.md	0 <= s(p,q) < X_max	1	WORKING_RELATIONAL_ASYMPTOTE	NOT_A_WALL_CENTER_EDGE_OR_BOUNDARY
P04_R0_n1.035411058190	P04_P1_ROUND_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R0_n1.035411058190	1	ROUND_P1_CONTROL_MEMBER	PAIR_ROLE_SURVIVES_LOCAL_LAPSE_PROMOTION_BLOCKED
P05_R1_n1.035411058190_qr-2.00	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.035411058190_qr-2.00	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.035411058190_qr-2.00	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.035411058190_qr-2.00	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P05_R1_n1.035411058190_qr-1.00	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.035411058190_qr-1.00	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
P06_R2_n1.035411058190_qr-1.00	P06_RA1_NEAR_WALL_AND_SS3_FORK	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R2_n1.035411058190_qr-1.00	1	RA1_LITERAL_NEAR_WALL_STRATUM	LITERAL_CENTER_FAILS_COLLAPSING_ORBIT_ORDER
P05_R1_n1.035411058190_qr+0.00	P05_P1_CORRECTED_MIXING_CONTROLS	udt_cmb_N02_radial_anchor_admissibility_2026-08-09/PROFILE_STRATA.tsv	R1_n1.035411058190_qr+0.00	10	CORRECTED_MIXED_STRATUM	TEN_AMPLITUDES_PER_STRATUM_FULL_EVEN_H_ONLY_WHEN_Q_ZERO
