object	status	scope	remaining_open
c_eff_pair_ratio	DERIVED_RELATIONAL_IDENTITY	two_point_ratio_plus_disclosed_reference_and_regular_strain_readouts	physical_complete_groupoid_cocycle
phi_orchestra	DERIVED_STRUCTURAL_COCYCLE_HOME	complete_pair_modulation_and_real_groupoid_cocycle_home	unique_metric_natural_physical_cocycle
mu_mixing	ACTIVE_DEFAULT_REGULAR_CENTER_COMPATIBLE	conditional_h_equals_r2_times_even_local_jet	physical_invariant_profile_and_global_solution
Xmax	WORKING_RELATIONAL_ASYMPTOTE	observer_pair_limit_gate	value_all_frame_theorem_and_global_realization
P1_pair_profile	UNCHANGED	SNe_observer_relation_role	complete_geometry_cocycle_join
P1_centered_local_lapse	BLOCKED_ROLE_AND_REGULARITY	declared_C1_centered_areal_envelope_only	no_direct_identity_join_in_that_branch
corrected_mixing_family	CONDITIONAL_CONTROL	210_rows_only_30_q0_pass_full_h_jet	all_fail_P1_A_jet_and_no_global_profile
RA1_near_wall_and_SS3_fork	CONDITIONAL_FORK	literal_endpoint_lineage_plus_unspecified_SS3_center_completion	explicit_full_even_center_to_wall_profile
C1_regular_center_jet_space	DERIVED_NONEMPTY_LOCAL_SUBSPACE	A_even_h_equals_r2_times_even_round_geodesic_polar_leading_screen	global_profile_screen_boundary_and_dynamics
complete_screen_shift	ARCHITECTURE_ONLY	general_stationary_envelope_shift_divergence_and_C01_C18	physical_screen_and_global_join
geometry_to_pair_groupoid_cocycle	DERIVED_HOME_SELECTION_OPEN	real_groupoid_cocycle_structural_home	metric_natural_physical_cocycle_path_rule_and_selection
infinitesimal_transport	CONDITIONAL_CANDIDATE_SUBCLASS	requires_local_first_order_linear_path_generator	whether_complete_coframe_supplies_or_selects_one
N03_eigensolve	NOT_AUTHORIZED	no_complete_role_correct_anchor	complete_profile_and_boundary
