object	status	owner	maximum_statement	still_open
model_carrier_W	FOUNDING_SUPPLIED_CHOSEN_TYPE	founding dimension-matched clock ruler setup	ordered abstract two-channel representation	physical tangent-plane soldering or derived physical carrier
c_E	OBSERVED	measurement calibration	clock length and ruler dimension match	path event pairing carry or depth value
K	POSIT	dual Reciprocity premise	preserved dual evaluation pairing	physical Lorentz interval or query selector
D_delta	DERIVED_ON_SUPPLIED_DEPTH	Reciprocity plus composition	exact reciprocal character	map from observer relation to delta
endpoint_carrier_V_i	CONDITIONAL	supplied regular calibrated pair realization	pair-coordinate carrier	bare-endpoint or universal construction
R_i	DERIVED_CONDITIONALLY	complete pair metric plus calibrated basis	positive-diagonal triangular terminal factor	arbitrary-coordinate invariant endpoint frame
M_BA	SUPPLIED_CONDITIONAL	typed composable observer relation in declared Bplus2 arena	flag-preserving carrier identification	metric or copresence selection and physical Bplus2 restriction
C_BA	DERIVED_CONDITIONALLY	R_B M_BA R_A^-1	gauge-invariant compositional total transition	universal physical identification
chi_C	DERIVED_CONDITIONALLY	Bplus grading character	Phi_B minus Phi_A plus carry grading	physical depth when carry/query unowned
copresence	WORKING_MEMBERSHIP	one supplied complete solution	event co-membership	query soldering carry values or signalling
G141	DERIVED_REDUCTION	identity carry for full transition; neutral carry in fixed matched presentation for scalar grading	endpoint Phi difference scalar law	universal or gauge-invariant carry neutrality
