family	all_matching_sources	primary_claim_sources	adjudication_status
CONTROL_ROOT	129	0	PENDING
angular_derivative_weight_selector_2026-07-20	13	3	PENDING
angular_toric_closure_selector_2026-07-19	3	2	PENDING
asymptotic_boundary_lineage_audit_2026-07-19	3	1	PENDING
bootstrap_csn_phi_angular_selector_2026-07-19	7	3	PENDING
bootstrap_variation_selector_2026-07-18	2	1	PENDING
boundary_bootstrap_representative_selector_audit_2026-07-19	4	2	PENDING
c2_angular_reduction_selector_2026-07-20	7	3	PENDING
c2_coupled_reciprocal_twist_onshell_2026-07-20	5	1	PENDING
c2_failed_basin_homotopy_2026-07-20	10	2	PENDING
c2_finite_cell_boundary_variation_2026-07-20	6	2	PENDING
c2_intrinsic_angular_product_selector_2026-07-20	5	2	PENDING
c2_nonlinear_stationary_solution_space_2026-07-20	2	0	PENDING
c2_open_path_checkpoint_continuation_2026-07-20	6	2	PENDING
c2_reciprocal_transverse_twist_jacobi_2026-07-20	6	2	PENDING
c2_rigidity_three_route_zoomout_2026-07-20	6	1	PENDING
c2_time_fiber_shift_jacobi_2026-07-20	3	0	PENDING
c2_transverse_coframe_closure_2026-07-20	14	2	PENDING
c2_variable_lapse_selector_2026-07-20	4	0	PENDING
complete_coframe_seal_involution_2026-07-20	4	0	PENDING
copresence_causal_accessibility_selector_2026-07-19	3	1	PENDING
copresence_gr_constraint_regrade_2026-07-19	2	1	PENDING
finite_cell_seal_boundary_phase_join_2026-07-20	9	3	PENDING
gr_constraint_paired_trial_2026-07-18	5	2	PENDING
grok	3	0	PENDING
infinite_c_reciprocity_adjudication_2026-07-18	1	0	PENDING
invariant_reciprocal_causal_flow_2026-07-18	1	0	PENDING
matter_bootstrap_dimensional_inventory_2026-07-20	7	2	PENDING
metric_cartan_holonomy_audit_2026-07-19	5	2	PENDING
native_action_sync_audit_2026-07-17	9	0	PENDING
native_boundary_generator_scale_audit_2026-07-19	2	0	PENDING
native_hopfion_topology_audit_2026-07-19	4	1	PENDING
null_section_hopfion_metric_audit_2026-07-19	5	3	PENDING
projective_transport_section_selector_2026-07-19	4	2	PENDING
reciprocal_line_realization_selector_2026-07-18	2	0	PENDING
reciprocal_metric_null_line_selector_2026-07-19	1	1	PENDING
reciprocity_offshell_constraint_selector_2026-07-18	7	2	PENDING
rescued_workspaces	1	0	PENDING
rung2_weld_postjuly_regrade_2026-07-19	6	3	PENDING
scale_breaking_closure_census_2026-07-20	4	2	PENDING
transverse_reciprocal_realization_selector_2026-07-19	6	3	PENDING
udt_amplitude_volume_metric_atlas_2026-07-21	6	1	PENDING
udt_angular_bulk_jacobi_selector_audit_2026-07-23	3	1	PENDING
udt_angular_generator_branch_census_2026-07-23	3	1	PENDING
udt_bootstrap_clock_angular_closure_audit_2026-07-24	10	4	PENDING
udt_bootstrap_substrate_micro_closure_audit_2026-07-23	13	3	PENDING
udt_bootstrap_to_local_response_map_audit_2026-07-25	14	3	PENDING
udt_calibrated_reciprocal_readout_descent_audit_2026-07-26	3	2	PENDING
udt_canonical_geometry_evaluator_p01_2026-07-21	5	1	PENDING
udt_center_free_observer_optical_correspondence_audit_2026-07-24	6	2	PENDING
udt_chart_coframe_invariance_atlas_2026-07-21	8	1	PENDING
udt_cleanroom_metric_reduction_readiness_audit_2026-07-27	1	0	PENDING
udt_clock_anchor_scale_threading_audit_2026-07-22	1	0	PENDING
udt_clock_ruler_soldering_selector_audit_2026-07-20	2	0	PENDING
udt_cmb_polarization_observable_typing_audit_2026-07-27	2	0	PENDING
udt_coframe_hopf_bridge_audit_2026-07-23	8	2	PENDING
udt_complete_branch_founded_pair_pullback_audit_2026-07-26	1	0	PENDING
udt_complete_coframe_metric_telescope_p01_2026-07-27	1	0	PENDING
udt_complete_coframe_native_selector_audit_2026-07-26	2	0	PENDING
udt_complete_coframe_physical_comparison_functor_audit_2026-07-27	3	1	PENDING
udt_complete_connector_assembly_audit_2026-07-22	3	1	PENDING
udt_complete_lift_mu_closure_audit_2026-07-20	1	0	PENDING
udt_complete_metric_intrinsic_object_audit_2026-07-23	5	2	PENDING
udt_complete_metric_realization_zoomout_2026-07-23	7	2	PENDING
udt_complete_metric_solution_space_map_2026-07-21	12	1	PENDING
udt_complete_nonultrastatic_reciprocal_branch_audit_2026-07-27	5	2	PENDING
udt_complete_physical_comparison_map_audit_2026-07-27	7	2	PENDING
udt_complete_relational_configuration_variation_domain_audit_2026-07-26	15	3	PENDING
udt_complete_screen_response_branch_atlas_2026-07-28	10	3	PENDING
udt_complete_seal_fixed_set_selector_audit_2026-07-21	5	1	PENDING
udt_completion_scoped_realized_observable_map_2026-07-26	1	1	PENDING
udt_configuration_space_adjacency_atlas_2026-07-22	4	2	PENDING
udt_constructive_metric_family_atlas_2026-07-21	6	1	PENDING
udt_covariant_reciprocal_coframe_lift_atlas_2026-07-26	4	2	PENDING
udt_csn_dphi_transport_selector_audit_2026-07-23	3	2	PENDING
udt_dual_systole_global_transport_audit_2026-07-24	9	2	PENDING
udt_dual_systole_wall_crossing_selector_audit_2026-07-24	4	1	PENDING
udt_finite_cell_cartan_transport_atlas_2026-07-23	3	2	PENDING
udt_finite_cell_completion_atlas_2026-07-21	7	1	PENDING
udt_finite_cell_reciprocal_quotient_reduction_audit_2026-07-27	13	3	PENDING
udt_finite_cell_reciprocal_survival_density_audit_2026-07-23	1	0	PENDING
udt_finite_cell_transnormal_asymptote_branch_audit_2026-07-24	2	1	PENDING
udt_finite_reciprocal_quotient_lift_audit_2026-07-27	5	1	PENDING
udt_foundational_semantic_regression_correction_2026-07-26	1	0	PENDING
udt_founded_constraint_atlas_p03_2026-07-21	12	2	PENDING
udt_founded_pair_first_jet_one_form_atlas_2026-07-26	1	1	PENDING
udt_founded_pair_global_alignment_audit_2026-07-26	5	1	PENDING
udt_founded_phi_complete_coframe_extension_audit_2026-07-25	4	1	PENDING
udt_founding_observer_comparison_semantics_audit_2026-07-27	7	3	PENDING
udt_founding_reciprocity_object_audit_2026-07-27	7	2	PENDING
udt_frame_bivector_equivariance_audit_2026-07-23	5	3	PENDING
