family	all_matching_sources	primary_claim_sources	adjudication_status	effective_owner	routing_basis
CONTROL_ROOT	129	0	MIXED_CONTROL_AUTHORITY	LIVE.md;CURRENT_SCIENTIFIC_PREMISES.tsv	Top LIVE state and the effective premise registry control; other root matches are forensic support only.
angular_derivative_weight_selector_2026-07-20	13	3	HISTORICAL_C2_OR_BOUNDARY_LINEAGE_WITH_NAMED_CURRENT_OWNER	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S11-S25	Historical angular/coframe/boundary calculations retain their scope; current C2/Bach/EH/action authority is the named adjudication chain.
angular_toric_closure_selector_2026-07-19	3	2	CURRENT_COMPARISON_FAMILY_EXPLICIT_ROW_REVIEW	angular_toric_closure_selector_2026-07-19/STATUS_LEDGER.tsv	Every row of the named status ledger has an explicit dependency decision in this audit.
asymptotic_boundary_lineage_audit_2026-07-19	3	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
bootstrap_csn_phi_angular_selector_2026-07-19	7	3	HISTORICAL_C2_OR_BOUNDARY_LINEAGE_WITH_NAMED_CURRENT_OWNER	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S11-S25	Historical angular/coframe/boundary calculations retain their scope; current C2/Bach/EH/action authority is the named adjudication chain.
bootstrap_variation_selector_2026-07-18	2	1	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G12-G16;udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv;udt_bootstrap_clock_angular_closure_audit_2026-07-24/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
boundary_bootstrap_representative_selector_audit_2026-07-19	4	2	HISTORICAL_SCOPED_FAMILY_WITH_EXPLICIT_CURRENT_AUTHORITY_ROUTE	CURRENT_SCIENTIFIC_PREMISES.tsv:G12-G16;udt_global_local_relational_closure_audit_2026-07-25/STATUS_LEDGER.tsv;udt_bootstrap_clock_angular_closure_audit_2026-07-24/STATUS_LEDGER.tsv	The historical package retains its exact scope; the named current owner controls any effective reuse under the general-screen correction.
c2_angular_reduction_selector_2026-07-20	7	3	HISTORICAL_C2_OR_BOUNDARY_LINEAGE_WITH_NAMED_CURRENT_OWNER	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S11-S25	Historical angular/coframe/boundary calculations retain their scope; current C2/Bach/EH/action authority is the named adjudication chain.
c2_coupled_reciprocal_twist_onshell_2026-07-20	5	1	HISTORICAL_C2_OR_BOUNDARY_LINEAGE_WITH_NAMED_CURRENT_OWNER	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S11-S25	Historical angular/coframe/boundary calculations retain their scope; current C2/Bach/EH/action authority is the named adjudication chain.
c2_failed_basin_homotopy_2026-07-20	10	2	HISTORICAL_C2_OR_BOUNDARY_LINEAGE_WITH_NAMED_CURRENT_OWNER	CURRENT_SCIENTIFIC_PREMISES.tsv:G10-G11-G16;native_action_final_adjudication_2026-07-18/FINAL_STATUS_LEDGER.tsv:S11-S25	Historical angular/coframe/boundary calculations retain their scope; current C2/Bach/EH/action authority is the named adjudication chain.
