id	reject_if
F01	base commit or tree differs
F02	dirty metadata baseline changes outside this audit package and authorized controls
F03	a fixed-base source is read from the dirty working tree instead of git show
F04	a discovered qualifying source or claim is silently omitted
F05	generated audit records influence their own candidate discovery
F06	lambda is treated as the full angular screen
F07	one shear direction is hidden by diagonalization or a polar chart
F08	new shear freedom is called a selector without an independent selection proof
F09	an old shear-zero statement survives beyond its exact ansatz
F10	a parallel pair-screen premise survives on the twisted S3 family
F11	the bounded S3 obstruction is promoted to all UDT completions
F12	a smaller-family no-selection result is called exhaustive over the enlarged family
F13	an explicit counterfamily is discarded because the family is now larger
F14	independent Lorentz character or pointwise commutant algebra is invalidated by association
F15	founded phi is demoted because the transverse screen was incomplete
F16	a block-screen metric is called the generic ten-component metric
F17	conditional Hopf topology or carrier becomes selected matter
F18	static finite-box stability is called unconditional or invalidated without dependency
F19	macro WRL or SNe evidence is changed without a load-bearing angular dependency
F20	C2 Bach EH or action status changes without a variation-domain dependency
F21	bootstrap is called derived because angular interaction now exists
F22	a historical source package is modified instead of overlaid
F23	an OPEN claim is silently upgraded
F24	a required rederivation is performed inside this audit
F25	GPU ODE PDE time-live matter density or action work is launched
F26	one of the ten completeness axes is unstamped
F27	a catch-proof is recorded without an exercised mutation
F28	a fresh zero-context adversarial review is absent before banking
