id	object	status	role	open_or_dropped
P01	general_screen_result	pinned-by-THEORY	correction_owner	physical_screen_selection_open
P02	founded_phi_pair	pinned-by-THEORY	foundation	full_angular_extension_not_part_of_phi_definition
P03	full_GL2_screen	pinned-by-BOUNDED_RESULT	dependency_test_family	direct_pair_screen_metric_offblocks_open
P04	two_metric_shears	pinned-by-BOUNDED_RESULT	corrected_frozen_DOF	physical_coefficients_and_dynamics_open
P05	local_O2_rotation	pinned-by-BOUNDED_RESULT	coframe_gauge	not_extra_metric_DOF
P06	contact_Frobenius_obstruction	pinned-by-BOUNDED_RESULT	parallel_split_guard	other_complete_coframes_and_nonblock_metrics_open
P07	stationary_S3_control	pinned-by-CHOSE_EXISTENCE_CONTROL	correction_scope	not_selected_universe
P08	prior_claim_sources	free-and-adjudicated	dependency_census	no_historical_source_rewrite
P09	selection_or_uniqueness	pinned-by-FAIL_CLOSED_RULE	cannot_strengthen_without_proof	all physical selection open
P10	macro_WRL_and_SNe	pinned-by-SEPARATE_LANE	cross_lane_regression_check	angular_feedback_not_computed
P11	Hopfion_stability	pinned-by-EXISTING_CONDITIONAL_SCOPE	cross_lane_regression_check	carrier_emergence_and_full_screen_join_open
P12	action_source_boundary_density	pinned-by-SCOPE_NONE	no_new_physics	all remain prior OPEN_or_CONDITIONAL
P13	worktree_dirty_paths	pinned-by-PRESERVE	metadata_only	contents_unread_and_unchanged
P14	fresh_adversarial_verifier	pinned-by-METHOD	banking_gate	verdict_may_reduce_grade
