source_path	source_blob	claim_identity	claim	original_status	dependency_class	regrade_class	effective_status	correction_or_reason	rerun_priority
udt_complete_screen_response_branch_atlas_2026-07-28/STATUS_LEDGER.tsv	dcbbe82d46872031f9a5249573beb99d08a9ce9e	S01	End(S)=R_I+so2+Sym0_2_with_dimension_4	DERIVED	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	DERIVED	Ambient screen algebra, fixed mixing certificate, open physics, and bounded verification grade do not rely on a promoted zero-shear or complete-lambda premise.	NONE
udt_complete_screen_response_branch_atlas_2026-07-28/STATUS_LEDGER.tsv	dcbbe82d46872031f9a5249573beb99d08a9ce9e	S02	traceless_screen_algebra_is_sl2R	DERIVED	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	DERIVED	Ambient screen algebra, fixed mixing certificate, open physics, and bounded verification grade do not rely on a promoted zero-shear or complete-lambda premise.	NONE
udt_complete_screen_response_branch_atlas_2026-07-28/STATUS_LEDGER.tsv	dcbbe82d46872031f9a5249573beb99d08a9ce9e	S03	Q01_Q02_conditional_pair_response_is_pure_rotation	DERIVED	D1_EQUAL_WEIGHT_OR_LAMBDA_ONLY	SURVIVES_WITH_EXPLICIT_SCOPE_CORRECTION	DERIVED	Exact only in the registered homogeneous or equal-screen response family; it is not the full GL2 screen response.	NONE
udt_complete_screen_response_branch_atlas_2026-07-28/STATUS_LEDGER.tsv	dcbbe82d46872031f9a5249573beb99d08a9ce9e	S04	W01_phi_parameter_response_is_lambda_I	DERIVED	D1_EQUAL_WEIGHT_OR_LAMBDA_ONLY	SURVIVES_WITH_EXPLICIT_SCOPE_CORRECTION	DERIVED	Exact only in the registered homogeneous or equal-screen response family; it is not the full GL2 screen response.	NONE
udt_complete_screen_response_branch_atlas_2026-07-28/STATUS_LEDGER.tsv	dcbbe82d46872031f9a5249573beb99d08a9ce9e	S05	W01_aligned_null_screen_response_has_trace_plus_rotation_and_zero_shear	DERIVED	D1_EQUAL_WEIGHT_OR_LAMBDA_ONLY	SURVIVES_WITH_EXPLICIT_SCOPE_CORRECTION	DERIVED	Exact only in the registered homogeneous or equal-screen response family; it is not the full GL2 screen response.	NONE
udt_complete_screen_response_branch_atlas_2026-07-28/STATUS_LEDGER.tsv	dcbbe82d46872031f9a5249573beb99d08a9ce9e	S06	nonconstant_W01_depth_forces_pair_screen_mixing_somewhere	DERIVED	D4_PARALLEL_PAIR_SCREEN	SURVIVES_AND_NONUNIQUENESS_IS_STRONGER	DERIVED	The old twisted-contact S3 mixing theorem survives and is strengthened by the all-invertible-P block-family Cartan/Frobenius obstruction.	NONE
udt_complete_screen_response_branch_atlas_2026-07-28/STATUS_LEDGER.tsv	dcbbe82d46872031f9a5249573beb99d08a9ce9e	S07	C01_C06_north_event_mixing_norm_equals_1_over_125	DERIVED	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	DERIVED	Ambient screen algebra, fixed mixing certificate, open physics, and bounded verification grade do not rely on a promoted zero-shear or complete-lambda premise.	NONE
udt_complete_screen_response_branch_atlas_2026-07-28/STATUS_LEDGER.tsv	dcbbe82d46872031f9a5249573beb99d08a9ce9e	S08	no_shear_component_occurs_in_30_explicit_evaluable_response_rows	OBSERVED	D3_SHEAR_ZERO_PROMOTION	SURVIVES_WITH_EXPLICIT_SCOPE_CORRECTION	OBSERVED	The 30 zero-shear rows remain exact observations in the frozen branch census and cannot be extrapolated beyond it.	NONE
udt_complete_screen_response_branch_atlas_2026-07-28/STATUS_LEDGER.tsv	dcbbe82d46872031f9a5249573beb99d08a9ce9e	S09	equal_screen_weights_freeze_phi_response_shear	DERIVED	D1_EQUAL_WEIGHT_OR_LAMBDA_ONLY	SURVIVES_WITH_EXPLICIT_SCOPE_CORRECTION	DERIVED	The general-screen result independently confirms this was an ansatz freeze, not a metric no-go.	NONE
udt_complete_screen_response_branch_atlas_2026-07-28/STATUS_LEDGER.tsv	dcbbe82d46872031f9a5249573beb99d08a9ce9e	S10	independent_screen_weights_would_expose_one_shear_axis	CONDITIONAL	D2_FIXED_DIAGONAL_ROUND_SCREEN	SUPERSEDED_BY_GENERAL_SCREEN_RESULT	DERIVED_TWO_SHEAR_TANGENTS_IN_GENERAL_SCREEN_CONFIGURATION_FAMILY	A smooth general screen on the chosen S3 control exposes both regular shear tangents, not only one counterfactual axis.	NONE
udt_complete_screen_response_branch_atlas_2026-07-28/STATUS_LEDGER.tsv	dcbbe82d46872031f9a5249573beb99d08a9ce9e	S11	general_screen_matrix_and_second_shear	OPEN	D2_FIXED_DIAGONAL_ROUND_SCREEN	SUPERSEDED_BY_GENERAL_SCREEN_RESULT	DERIVED_ON_CHOSEN_STATIONARY_S3__GENERAL_METRIC_AND_PHYSICAL_SELECTION_OPEN	The general GL2 screen is now constructed on the chosen stationary complete S3 control; other completions, selection, off-blocks and time dependence remain open.	NONE
udt_complete_screen_response_branch_atlas_2026-07-28/STATUS_LEDGER.tsv	dcbbe82d46872031f9a5249573beb99d08a9ce9e	S12	common_nonzero_screen_subalgebra_across_all_rows	OPEN	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	OPEN	Ambient screen algebra, fixed mixing certificate, open physics, and bounded verification grade do not rely on a promoted zero-shear or complete-lambda premise.	NONE
udt_complete_screen_response_branch_atlas_2026-07-28/STATUS_LEDGER.tsv	dcbbe82d46872031f9a5249573beb99d08a9ce9e	S13	physical_branch_action_source_carrier_boundary_density_scale	OPEN	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	OPEN	Ambient screen algebra, fixed mixing certificate, open physics, and bounded verification grade do not rely on a promoted zero-shear or complete-lambda premise.	NONE
udt_complete_screen_response_branch_atlas_2026-07-28/STATUS_LEDGER.tsv	dcbbe82d46872031f9a5249573beb99d08a9ce9e	S14	complete_screen_response_atlas	VERIFIED-WITH-CAVEATS	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	VERIFIED-WITH-CAVEATS	Ambient screen algebra, fixed mixing certificate, open physics, and bounded verification grade do not rely on a promoted zero-shear or complete-lambda premise.	NONE
udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv	bb44fa42638a5cf8fbc677326b20374f54bba3fb	S01	P_in_GL2_has_three_screen_metric_DOF_and_one_local_O2_coframe_gauge_DOF	DERIVED	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	DERIVED	This is the correction-source ledger itself; every row already carries stationary, block-screen, off-shell, and unselected scope.	NONE
udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv	bb44fa42638a5cf8fbc677326b20374f54bba3fb	S02	polar_v_zero_rank_loss_is_chart_only_and_both_shear_tangents_exist	DERIVED	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	DERIVED	This is the correction-source ledger itself; every row already carries stationary, block-screen, off-shell, and unselected scope.	NONE
udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv	bb44fa42638a5cf8fbc677326b20374f54bba3fb	S03	anisotropic_P_conjugates_the_S3_angular_generator_into_rotation_plus_two_shears	DERIVED	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	DERIVED	This is the correction-source ledger itself; every row already carries stationary, block-screen, off-shell, and unselected scope.	NONE
udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv	bb44fa42638a5cf8fbc677326b20374f54bba3fb	S04	smooth_P_in_GL2_gives_global_nondegenerate_complete_cell_configuration_on_S3	DERIVED	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	DERIVED	This is the correction-source ledger itself; every row already carries stationary, block-screen, off-shell, and unselected scope.	NONE
udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv	bb44fa42638a5cf8fbc677326b20374f54bba3fb	S05	positive_compact_t_slice_is_Riemannian_geodesically_complete	DERIVED	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	DERIVED	This is the correction-source ledger itself; every row already carries stationary, block-screen, off-shell, and unselected scope.	NONE
udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv	bb44fa42638a5cf8fbc677326b20374f54bba3fb	S06	full_stationary_spatial_first_jet_Cartan_connection_is_exact	DERIVED	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	DERIVED	This is the correction-source ledger itself; every row already carries stationary, block-screen, off-shell, and unselected scope.	NONE
udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv	bb44fa42638a5cf8fbc677326b20374f54bba3fb	S07	aligned_null_pregeodesic_condition_is_p2_equal_p3_equal_zero	DERIVED	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	DERIVED	This is the correction-source ledger itself; every row already carries stationary, block-screen, off-shell, and unselected scope.	NONE
udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv	bb44fa42638a5cf8fbc677326b20374f54bba3fb	S08	general_P_cannot_make_pair_screen_split_Levi_Civita_parallel	DERIVED	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	DERIVED	This is the correction-source ledger itself; every row already carries stationary, block-screen, off-shell, and unselected scope.	NONE
udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv	bb44fa42638a5cf8fbc677326b20374f54bba3fb	S09	FC04_S3_has_constructive_general_screen_witness	OBSERVED	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	OBSERVED	This is the correction-source ledger itself; every row already carries stationary, block-screen, off-shell, and unselected scope.	NONE
udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv	bb44fa42638a5cf8fbc677326b20374f54bba3fb	S10	other_FC_completion_classes_have_only_explicit_descent_or_join_gates	OPEN	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	OPEN	This is the correction-source ledger itself; every row already carries stationary, block-screen, off-shell, and unselected scope.	NONE
udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv	bb44fa42638a5cf8fbc677326b20374f54bba3fb	S11	stationary_general_screen_family_is_selected_UDT	OPEN	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	OPEN	This is the correction-source ledger itself; every row already carries stationary, block-screen, off-shell, and unselected scope.	NONE
udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv	bb44fa42638a5cf8fbc677326b20374f54bba3fb	S12	action_source_carrier_density_bootstrap_boundary_scale_matter	OPEN	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	OPEN	This is the correction-source ledger itself; every row already carries stationary, block-screen, off-shell, and unselected scope.	NONE
udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv	bb44fa42638a5cf8fbc677326b20374f54bba3fb	S13	full_generic_ten_component_spacetime_metric	OPEN	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	OPEN	This is the correction-source ledger itself; every row already carries stationary, block-screen, off-shell, and unselected scope.	NONE
udt_general_screen_complete_cell_atlas_2026-07-28/STATUS_LEDGER.tsv	bb44fa42638a5cf8fbc677326b20374f54bba3fb	S14	time_live_general_screen_behavior	OPEN	D0_NONE	UNAFFECTED_LOGICALLY_INDEPENDENT	OPEN	This is the correction-source ledger itself; every row already carries stationary, block-screen, off-shell, and unselected scope.	NONE
