criterion	covered_now	dropped_or_open
FIELDS	dependency effect of full GL2 screen versus earlier restricted angular fields	direct metric offblocks time dependence matter and generic metric open
ACTION_TERMS	provenance regrade only; no term varied	all action construction open
FULL_EQUATIONS	no equations solved; claim dependencies only	all on-shell selection open
DOMAIN_COORDINATES	fixed-base tracked active text universe plus bounded S3 correction	nontext and unregistered future claims open
BOUNDARY_REGULARITY	dependency on completion cap seam and parallel split premises classified	no boundary completion supplied
TOPOLOGICAL_SECTOR	Hopf toric S3 and FC claim dependencies classified	no topology selected
DYNAMICAL_CHARACTER	static stationary and time-live premise stamps compared	no dynamics launched
BRANCH_BIFURCATION	claim families and counterfamilies retained	no new branch exploration
STABILITY_SPECTRUM	existing premise-scoped stability claims dependency-checked	no new spectrum computed
REGIME_VALIDITY	post-July active claim ledger at fixed base and explicit historical exclusions	future packages and generic UDT closure open
