path	family	role	dependency_hits	git_blob	sha256	bytes
AGENTS.md	CONTROL_ROOT	SUPPORTING_FORENSIC_SOURCE	EQUAL_WEIGHT_OR_LAMBDA;PARALLEL_PAIR_SCREEN;TRANSVERSE_RESPONSE;BLOCK_SCREEN	cdbd5304a2cfd8be3e51aac73fccaa75636ac94c	d100b441d15c5f8aaacacfd0d65688846db6cde57b1efed2034040624025adf3	18489
AUDIT.md	CONTROL_ROOT	SUPPORTING_FORENSIC_SOURCE	SHEAR	6246eafd70861645fce959b4e7fb9c66bae3f07e	0e36df7cbd2e2198fa1a9785f6c8d9b5054fc42b24a1dfb1a44244ca331942ec	38255
CANON.md	CONTROL_ROOT	SUPPORTING_FORENSIC_SOURCE	SHEAR;ROUND_OR_DIAGONAL_SCREEN	a67e518b623c8715679b26d5736c7409e3ffcae3	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314	35011
CROSS_MODEL_VERIFY.md	CONTROL_ROOT	SUPPORTING_FORENSIC_SOURCE	TRANSVERSE_RESPONSE	95b60c08e0d55dcf2c3104fb9f14a130752cbff3	417bb036579bf4a333dab6a3da4c8cae73d61bf49ae8fe0f74b46df86d05e6fa	2839
F0_SYSTEMATIC_AUDIT_results.md	CONTROL_ROOT	SUPPORTING_FORENSIC_SOURCE	SHEAR	a2d7ffd103dc82d41922abcf5320bc8c50410f74	3293eab3af0c76c62ee2351b7554c116d1351e87c4ce5115fb9824cc959b2b7d	17598
F2_closure_results.md	CONTROL_ROOT	SUPPORTING_FORENSIC_SOURCE	EQUAL_WEIGHT_OR_LAMBDA	53531541b574ac240a579a280425adf471974553	976edc403b9bcb7be392dbe48ae67d3eef051ae46f0ff5e43c061a5e38b9ad35	24252
F2_matter_action_forcedness_results.md	CONTROL_ROOT	SUPPORTING_FORENSIC_SOURCE	EQUAL_WEIGHT_OR_LAMBDA;TRANSVERSE_RESPONSE	8f932eb8f1e6af4a83017bffeb0e82444875614a	1d1b852312615516910d489a67d9c9c8f445812678df19dbbe67e2b08cd2d1b2	20979
F6_postulate_A_ledger_results.md	CONTROL_ROOT	SUPPORTING_FORENSIC_SOURCE	EQUAL_WEIGHT_OR_LAMBDA	defb9adf416dba6a1240e22be9846375b39144f5	268bc7434dc2634785bb07c13b02ed43c34ac646ce9e955a9e40d298a13e64b8	20776
F8_metric_choices_results.md	CONTROL_ROOT	SUPPORTING_FORENSIC_SOURCE	SHEAR	a149b70b473f875d5a3274b2775700ec613f2583	815f90c3c8a69158d021404065f31bd8f1ce892eb0e542f259c88a9c211b62d5	18907
FOUNDATIONAL_ASSUMPTIONS_LEDGER.md	CONTROL_ROOT	SUPPORTING_FORENSIC_SOURCE	SHEAR	31d8e7366a4a074a7fab9bac47ef65f439955c25	405edaf2302d5a9f8ed1cc2de48714fad0265b7eb310c8fc93c92567067cc480	27304
H3_hopfion_solve_preregistration.md	CONTROL_ROOT	SUPPORTING_FORENSIC_SOURCE	TRANSVERSE_RESPONSE	7729e2c1fcb19130160d8d6b55b97e9f0d9a370c	82dd23caec9938816f6171bb605d63ac41875d40127eb363c3f77d45c63df1f1	10346
H4_GP_switch_hopfion_MAP.md	CONTROL_ROOT	SUPPORTING_FORENSIC_SOURCE	SHEAR	ac1fbbc1fffc0a5ad2a3bdd0bdaaa53ae4505aa2	6cd5d58d3665b447bef9c9c4f1dfd6d96129b5d77573a34b36657d4aa805ce8a	10040
H4_N1_offround_transverse_equation_results.md	CONTROL_ROOT	SUPPORTING_FORENSIC_SOURCE	SHEAR	c4a2ec184ac589ad250f928f0f55780dcea5f292	893c54c5d0da4f49f134375245d1350134601516b3e6c29dcad1412076cba474	8685
H4_N2_farfield_reduction_results.md	CONTROL_ROOT	SUPPORTING_FORENSIC_SOURCE	SHEAR	c80aa5ca9173ed785f3f73dfe6fc5ece3dbbcf48	c655f441d5d457e4c67af6866f251d9e1cca05df0e9497ca922b88e72931b639	10179
H4_N4_backreaction_solve_preregistration.md	CONTROL_ROOT	SUPPORTING_FORENSIC_SOURCE	SHEAR;TRANSVERSE_RESPONSE	620ec56c9052c8944944c702c7f4f8fb0a583d27	47a4cc18e6b5665138e3244085829d82471b70c25c2084d459df8459d0da4382	13422
H4_N4_backreaction_solve_results.md	CONTROL_ROOT	SUPPORTING_FORENSIC_SOURCE	SHEAR;TRANSVERSE_RESPONSE	ce368e7a5d1a8bf9341a89657abc8236b3c61e3c	80858fc246c7e2112eaa34e36cb5ee35e447966e457c767a1f53be20984c7708	8780
