family	ruling	reason	redo_priority
founded_phi_and_observer_pair	UNAFFECTED_LOGICALLY_INDEPENDENT	Founded reciprocal depth and the two-channel operator do not depend on the transverse screen.	NONE
historical_complete_screen_method	UNAFFECTED_LOGICALLY_INDEPENDENT	The salvaged method is confirmed; its historical particle and QCD claims remain quarantined.	NONE
registered_screen_response_parent	SURVIVES_WITH_EXPLICIT_SCOPE_CORRECTION	Zero shear remains exact only in the frozen equal-weight rows; general-screen existence supersedes the old open existence row.	NONE
native_complete_coframe_and_joint_selector	SURVIVES_AND_NONUNIQUENESS_IS_STRONGER	Lambda is an isotropic trace modulus, not the full screen; no selector is gained.	HIGH_IF_SELECTION_IS_RESUMED
metric_natural_Lorentz_no_go	SURVIVES_WITH_EXPLICIT_SCOPE_CORRECTION	Character, commutant and bracket proofs are independent; reduced lambda lifts are explicitly subfamily results.	NONE
functional_DOF_rank	SURVIVES_WITH_EXPLICIT_SCOPE_CORRECTION	Three screen metric modes are available but zero are selected by founded phi alone.	NONE
twisted_S3_Cartan_cocycle_holonomy	SURVIVES_AND_NONUNIQUENESS_IS_STRONGER	Equal-screen exact results survive and the all-P block-screen nonparallel obstruction is stronger.	MEDIUM_IF_FULL_HOLONOMY_IS_NEEDED
bootstrap_clock_angular_solder	SURVIVES_WITH_EXPLICIT_SCOPE_CORRECTION	Volume is blind to both shears; local projector algebra survives; no bootstrap selection appears.	MEDIUM_IF_BOOTSTRAP_SELECTOR_IS_RESUMED
conditional_Hopf_toric_bridge	REQUIRES_FULL_SCREEN_REDERIVATION	Conditional witnesses survive, but diagonal/round structures cannot be privileged without testing the full screen family.	HIGH
static_Hopfion_stability	UNAFFECTED_LOGICALLY_INDEPENDENT	The finite-box carrier-conditional stability result uses its stated carrier/operator, not the metric screen-selection claim.	NONE
matter_and_scale_dimensional_theorems	UNAFFECTED_LOGICALLY_INDEPENDENT	The dimensional-rank and coefficient-ruler conclusions do not depend on equal screen weights.	NONE
Xmax_observer_separation	SURVIVES_AND_NONUNIQUENESS_IS_STRONGER	Its demand for the full angular global metric is reinforced; no value or pairing functional is selected.	NONE
WRL_SNe_macro_readout	UNAFFECTED_LOGICALLY_INDEPENDENT	The observed conditional fit is unchanged; only the optional lambda-minus-two interpretation remains trace-subfamily scoped.	NONE
C2_Bach_EH_and_complete_action	UNAFFECTED_LOGICALLY_INDEPENDENT	Those statuses are controlled by variation-domain and CSN/minimality premises, not this stationary screen parameterization.	NONE
complete_action_source_boundary_mass	UNAFFECTED_LOGICALLY_INDEPENDENT	All remain open; the screen atlas supplies no action, source, charge or mass law.	NONE
