id	mutation	result
F01	replace fixed base tree	PASS
F02	append unrelated dirty path	PASS
F03	replace fixed-base source origin with WORKTREE	PASS
F04	drop one source primary route and family route	PASS
F05	inject audit output into discovery	PASS
F06	promote lambda to complete screen	PASS
F07	drop one isotropic-screen shear tangent	PASS
F08	call shear availability a selector	PASS
F09	remove scope correction from old zero-shear row	PASS
F10	allow an all-direction parallel split on twisted S3	PASS
F11	promote bounded S3 obstruction to universal	PASS
F12	call frozen no-selection census exhaustive	PASS
F13	discard real-lambda counterfamily	PASS
F14	demote independent Lorentz character theorem	PASS
F15	demote founded phi	PASS
F16	call block screen the generic ten-component metric	PASS
F17	promote conditional Hopf bridge to native carrier	PASS
F18	invalidate finite-box Hopfion stability	PASS
F19	change SNe evidence status	PASS
F20	change C2 EH or complete-action status	PASS
F21	call bootstrap derived	PASS
F22	rewrite prior source instead of overlay	PASS
F23	upgrade open physical selection	PASS
F24	perform a rederivation inside the audit	PASS
F25	launch GPU ODE PDE matter or density work	PASS
F26	drop one completeness axis	PASS
F27	record an unexercised catch	PASS
F28	remove fresh adversarial PASS	PASS
