premise	status	active_use	forbidden_promotion
smooth_Lorentz_pair_surface	SUPPLIED	metric_evaluation_on_one_ribbon	selected_physical_history
regular_null_vertical_line	SUPPLIED_QUERY	defines_vertical_foliation	universal_UDT_protocol
affinely_parameterized_local_generators	SUPPLIED_QUERY	adapted_overlap_class	preferred_global_parameter
positive_clock_and_ruler_orientations	SUPPLIED_CALIBRATION	removes_sign_ambiguity	observer_population_law
G222_local_pair_plane	DERIVED_CONDITIONAL	defines_a_and_vertical_density_class	global_scalar_coordinate
G214_cover_descent	DERIVED_CONDITIONAL	comparison_with_pair_chart_cocycle	cross_pair_product
G216_clock_chain_rule	DERIVED_CONDITIONAL	clock_calibration_carry	vertical_line_identification
vertical_gluing_between_distinct_ribbons	OPEN_TEST	three_observer_density_carry	automatic_from_shared_label
global_scalar_ruler_coordinate	OPEN_TEST	classify_triviality_period_and_Cech_gates	automatic_from_local_closedness
Xmax_transfer_history_source_action_matter	OMITTED	outside_bounded_question	construction_input_or_inference

