claim	status	scope	forbidden_promotion
mixed_clock_ruler_pairing	DERIVED_CONDITIONAL	one_supplied_regular_null_ribbon	universal_protocol
affine_null_overlap_law	DERIVED_CONDITIONAL	positive_adapted_atlas	physical_atlas_selection
inverse_clock_weight	DERIVED_CONDITIONAL	clock_trivialized_vertical_density	absolute_global_ruler
oriented_pair_area_descent	DERIVED_CONDITIONAL	oriented_regular_pair_surface	history_selection
local_interval_fiber_coordinate	DERIVED_CONDITIONAL	fixed_clock_trivialization	canonical_network_scalar
chosen_representative_closedness	RECLASSIFIED_CHART_SPECIFIC	strong_ds_equals_a_dlambda_demand	invariant_vertical_obstruction
global_interval_scalar	CONDITIONAL	supplied_clock_trivialization_and_source_section	universal_owned_coordinate
closed_fiber_period_obstruction	DERIVED_BOUNDED	positive_vertical_density	all_global_topologies
G214_compatibility	DERIVED_BOUNDED	positive_diagonal_common_subgroup	identical_full_overlap_groups
G216_clock_weight_composition	DERIVED_CONDITIONAL	actual_composite_incidence	cross_ribbon_vertical_gluing
cross_ribbon_vertical_carry	OPEN	requires_supplied_gluing_cocycle	automatic_from_shared_observer_label
physical_protocol_and_history	OPEN	outside_G223	selected_by_local_overlap
