current_path	relationship	primary_owner	artifact_type	physics_status_source	frozen_manifest_status	migration_readiness
AGENTS.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	SELF_STATUS_BANNER:AGENTS.md	NOT_FROZEN_OR_MANIFEST	RETAIN_ROOT
CANON.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	LIVE.md:486;HANDOFF.md:82,123,134;INDEX.md:55,66,105;NEGATIVES_REGISTRY.md:181;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md:254;native_action_final_adjudication_2026-07-18/PROVENANCE_FIREWALL.tsv:7	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	RETAIN_ROOT
CLAUDE.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	LIVE.md:17,21;HANDOFF.md:122;INDEX.md:54,99,107;NEGATIVES_REGISTRY.md:10	NOT_FROZEN_OR_MANIFEST	RETAIN_ROOT
HANDOFF.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	LIVE.md:6;INDEX.md:53,98;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md:31	REFERENCED_BY_SIX_FROZEN_PACKAGES	RETAIN_ROOT
INDEX.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	SELF_STATUS_BANNER:INDEX.md	NOT_FROZEN_OR_MANIFEST	RETAIN_ROOT
LIVE.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	LIVE.md:9;HANDOFF.md:3,4,4,10,103,116,120;INDEX.md:4,6,44,51,98;MEMORY.md:3,9,64;NEGATIVES_REGISTRY.md:3;FOUNDATIONAL_ASSUMPTIONS_LEDGER.md:1	REFERENCED_BY_SIX_FROZEN_PACKAGES	RETAIN_ROOT
MEMORY.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	LIVE.md:11,25,27;HANDOFF.md:121;INDEX.md:52,98	NOT_FROZEN_OR_MANIFEST	RETAIN_ROOT
PURSUIT_CHARTER_2026-07-04.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	SELF_STATUS_BANNER:PURSUIT_CHARTER_2026-07-04.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
README.md	SECONDARY_CONSUMER	CONTROL_ROOT	MARKDOWN	SELF_STATUS_BANNER:README.md	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	RETAIN_ROOT
UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	SECONDARY_CONSUMER	FOUNDATIONS	MARKDOWN	SELF_STATUS_BANNER:UDT_COMMON_SCALE_NEUTRALITY_POSTULATE_2026-07-15.md	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
UDT_F_POSTRETURN_AUDIT_AND_CODEX_TRANSITION_DISPATCH.md	PRIMARY	NATIVE_ACTION	MARKDOWN	SELF_STATUS_BANNER:UDT_F_POSTRETURN_AUDIT_AND_CODEX_TRANSITION_DISPATCH.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	SECONDARY_CONSUMER	FOUNDATIONS	MARKDOWN	SELF_STATUS_BANNER:UDT_GLOBAL_BOOTSTRAP_PRINCIPLE_2026-07-15.md	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
UDT_GR_TO_UDT_SELECTOR_AUDIT_2026-07-18.md	PRIMARY	NATIVE_ACTION	MARKDOWN	LIVE.md:50;HANDOFF.md:25;INDEX.md:23;MEMORY.md:16	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
UDT_GR_TO_UDT_SELECTOR_AUDIT_PREREG_2026-07-18.md	PRIMARY	NATIVE_ACTION	MARKDOWN	INDEX.md:24	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
UDT_H3_BOUNDARY_AUDIT_PATCH_THEN_F_DISPATCH.md	SECONDARY_CONSUMER	PARTICLE_MASS	MARKDOWN	LIVE.md:81;HANDOFF.md:48	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
UDT_H3_STATIC_MASS_BACKREACTION_DISPATCH.md	SECONDARY_CONSUMER	PARTICLE_MASS	MARKDOWN	SELF_STATUS_BANNER:UDT_H3_STATIC_MASS_BACKREACTION_DISPATCH.md	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
UDT_NATIVE_ACTION_ARM_C_INPUT_SHA256SUMS_2026-07-18.txt	PRIMARY	NATIVE_ACTION	TEXT	DEPENDENCY_STATUS_SOURCE:CANON.md;README.md;UDT_H3_STATIC_MASS_BACKREACTION_DISPATCH.md;UDT_NATIVE_ACTION_ARM_C_LAUNCH_RECORD_2026-07-18.md;UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md;UDT_NATIVE_ACTION_COLD_PACKET.md;UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md;archive/native_action_chat_2026-07-14_15/README.md	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
UDT_NATIVE_ACTION_ARM_C_LAUNCH_RECORD_2026-07-18.md	PRIMARY	NATIVE_ACTION	MARKDOWN	SELF_STATUS_BANNER:UDT_NATIVE_ACTION_ARM_C_LAUNCH_RECORD_2026-07-18.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
UDT_NATIVE_ACTION_ARM_C_RETURN_2026-07-18.md	PRIMARY	NATIVE_ACTION	MARKDOWN	SELF_STATUS_BANNER:UDT_NATIVE_ACTION_ARM_C_RETURN_2026-07-18.md	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	PRIMARY	NATIVE_ACTION	MARKDOWN	INDEX.md:29;native_action_final_adjudication_2026-07-18/PROVENANCE_FIREWALL.tsv:3	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
UDT_NATIVE_ACTION_COLD_PACKET.md	PRIMARY	NATIVE_ACTION	MARKDOWN	INDEX.md:30;native_action_final_adjudication_2026-07-18/PROVENANCE_FIREWALL.tsv:3	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md	PRIMARY	NATIVE_ACTION	MARKDOWN	INDEX.md:28;native_action_final_adjudication_2026-07-18/PROVENANCE_FIREWALL.tsv:2	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
UDT_NATIVE_ACTION_FINAL_ADJUDICATION_PREREG_2026-07-18.md	PRIMARY	NATIVE_ACTION	MARKDOWN	SELF_STATUS_BANNER:UDT_NATIVE_ACTION_FINAL_ADJUDICATION_PREREG_2026-07-18.md	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
UDT_NATIVE_ACTION_FINAL_ADJUDICATION_RETURN_2026-07-18.md	PRIMARY	NATIVE_ACTION	MARKDOWN	SELF_STATUS_BANNER:UDT_NATIVE_ACTION_FINAL_ADJUDICATION_RETURN_2026-07-18.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
UDT_NATIVE_ACTION_STAGE1_LAUNCH_RECORD_2026-07-17.md	PRIMARY	NATIVE_ACTION	MARKDOWN	SELF_STATUS_BANNER:UDT_NATIVE_ACTION_STAGE1_LAUNCH_RECORD_2026-07-17.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
UDT_NATIVE_ACTION_STAGE1_RETURN_2026-07-18.md	PRIMARY	NATIVE_ACTION	MARKDOWN	SELF_STATUS_BANNER:UDT_NATIVE_ACTION_STAGE1_RETURN_2026-07-18.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
UDT_NATIVE_ACTION_STAGE2_A1_A6_SHA256SUMS_2026-07-18.txt	PRIMARY	NATIVE_ACTION	TEXT	DEPENDENCY_STATUS_SOURCE:CANON.md;README.md;UDT_H3_STATIC_MASS_BACKREACTION_DISPATCH.md;UDT_NATIVE_ACTION_ARM_C_LAUNCH_RECORD_2026-07-18.md;UDT_NATIVE_ACTION_STAGE2_LAUNCH_RECORD_2026-07-18.md;UDT_NATIVE_ACTION_STAGE2_RETURN_2026-07-18.md;archive/native_action_chat_2026-07-14_15/README.md;archive/native_action_chat_2026-07-14_15/UDT_BOOTSTRAP_BACKGROUND_CARRIER_COUPLING_DERIVATION_RESULTS.md	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
UDT_NATIVE_ACTION_STAGE2_LAUNCH_RECORD_2026-07-18.md	PRIMARY	NATIVE_ACTION	MARKDOWN	SELF_STATUS_BANNER:UDT_NATIVE_ACTION_STAGE2_LAUNCH_RECORD_2026-07-18.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
UDT_NATIVE_ACTION_STAGE2_RETURN_2026-07-18.md	PRIMARY	NATIVE_ACTION	MARKDOWN	SELF_STATUS_BANNER:UDT_NATIVE_ACTION_STAGE2_RETURN_2026-07-18.md	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md	PRIMARY	NATIVE_ACTION	MARKDOWN	INDEX.md:31	R0_FROZEN_EVIDENCE	IMMUTABLE_PATH
UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md	PRIMARY	NATIVE_ACTION	MARKDOWN	SELF_STATUS_BANNER:UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	SECONDARY_CONSUMER	FOUNDATIONS	MARKDOWN	SELF_STATUS_BANNER:UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_MAP.md	SECONDARY_CONSUMER	FOUNDATIONS	MARKDOWN	SELF_STATUS_BANNER:UDT_RECIPROCAL_C_FOUNDING_POSTULATE_MAP.md	MANIFEST_EDGE_TARGET	MANIFEST_MIGRATION_REQUIRED
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md	SECONDARY_CONSUMER	FOUNDATIONS	MARKDOWN	SELF_STATUS_BANNER:UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md	MANIFEST_EDGE_TARGET	MANIFEST_MIGRATION_REQUIRED
UDT_S2_CARRIER_STATUS_CLARIFICATION_2026-07-15.md	SECONDARY_CONSUMER	FOUNDATIONS	MARKDOWN	SELF_STATUS_BANNER:UDT_S2_CARRIER_STATUS_CLARIFICATION_2026-07-15.md	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
UDT_WORKSTATION_TRANSFER_MANIFEST_2026-07-17.md	PRIMARY	NATIVE_ACTION	MARKDOWN	SELF_STATUS_BANNER:UDT_WORKSTATION_TRANSFER_MANIFEST_2026-07-17.md	R0_FROZEN_EVIDENCE;MANIFEST_EDGE_TARGET;ROOT_MANIFEST	IMMUTABLE_PATH
UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	SECONDARY_CONSUMER	FOUNDATIONS	MARKDOWN	SELF_STATUS_BANNER:UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
b1prime_3d_offround_residual.py	SECONDARY_CONSUMER	LEGACY_FROZEN	PYTHON	DEPENDENCY_STATUS_SOURCE:HANDOFF_ARCHIVE.md;archive/COMPLETION_PROGRAM.md;archive/INDEX_pre_simple_metric_WR_L_2026-07-09.md;archive/branch_operator_results.md;archive/pre_native_coupled/SOLVER_AUDIT_2026-06-29.md;branch_operator_contamination_ledger.md	NOT_FROZEN_OR_MANIFEST	IMPORT_MIGRATION_REQUIRED
branch_operator.py	PRIMARY	NATIVE_ACTION	PYTHON	NEGATIVES_REGISTRY.md:2133,2222	REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
cell_solver_universe_T3.py	SECONDARY_CONSUMER	LEGACY_FROZEN	PYTHON	DEPENDENCY_STATUS_SOURCE:archive/LIVE_universe_cell_ladder_arc_2026-07-02.md;d2a_switch_criterion_interior.md;d2c_gp_composite_conditions.md;microphysics_E0_ambient_tables.md;microphysics_E1_composite_closure_results.md;r1_route_fork_native_derivation.md;stageD_sweep_results_raw.md;udt_no_homogeneous_universe_results.md	NOT_FROZEN_OR_MANIFEST	IMPORT_MIGRATION_REQUIRED
d1_charge_channel_projection_MAP.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	SELF_STATUS_BANNER:d1_charge_channel_projection_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
einstein_3d_general_eval.py	SECONDARY_CONSUMER	LEGACY_FROZEN	PYTHON	DEPENDENCY_STATUS_SOURCE:archive/complete_solver_stage1_general_einstein_results.md	NOT_FROZEN_OR_MANIFEST	IMPORT_MIGRATION_REQUIRED
f_rtheta_free_field_MAP.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	SELF_STATUS_BANNER:f_rtheta_free_field_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
full3d_spectral.py	SECONDARY_CONSUMER	LEGACY_FROZEN	PYTHON	NEGATIVES_REGISTRY.md:1928	NOT_FROZEN_OR_MANIFEST	IMPORT_MIGRATION_REQUIRED
gp_switch_criterion_results.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	SELF_STATUS_BANNER:gp_switch_criterion_results.md	R0_FROZEN_EVIDENCE;REFERENCED_BY_SIX_FROZEN_PACKAGES	IMMUTABLE_PATH
i_flow_hbar_clock_MAP.md	SECONDARY_CONSUMER	LEGACY_FROZEN	MARKDOWN	SELF_STATUS_BANNER:i_flow_hbar_clock_MAP.md	NOT_FROZEN_OR_MANIFEST	POINTER_MIGRATION_REQUIRED
macro_spine_provenance_2026-07-06.md	SECONDARY_CONSUMER	MACRO	MARKDOWN	native_action_final_adjudication_2026-07-18/PROVENANCE_FIREWALL.tsv:13	REFERENCED_BY_SIX_FROZEN_PACKAGES;MANIFEST_EDGE_TARGET	IMMUTABLE_PATH
