item	status	role	forbidden_promotion
Universal_Reciprocity_DDR	OWNER_ADOPTED_PROVISIONAL_POSTULATE	upstream bounded dynamics ownership	derived theorem or canon
Local_Metric_Sufficiency	OWNER_ADOPTED_PROVISIONAL_POSTULATE	local finite-jet response scope	unique possible response principle
quiet_GR_principal_overlap	OWNER_ADOPTED_PROVISIONAL_POSTULATE	first-curvature bounded arena	vacuum GR imported as UDT theorem
tracefree_Ricci	CONDITIONAL_ACTIVE_EQUATION	linearized equation in bounded regular vacuum	full UDT field equation in every sector
G324_Taub_quotient	DERIVED_CONDITIONAL_EXTERNALLY_ACCEPTED	exact background MGHD family	selected physical universe
proper_time_synchronous_chart	PINNED_BY_G324_METRIC_PLUS_CATEGORY_A_GAUGE	makes the homogeneous diagonal equations explicit	preferred physical clock slicing
registered_split_T3	CHOSE_BOUNDED_DIAGNOSTIC_DOMAIN	fixed quotient for gauge-versus-modulus test	physical topology
homogeneous_diagonal_sector	CHOSE_BOUNDED_DIAGNOSTIC_SLICE	complete zero-Fourier diagonal census	complete perturbation space
linear_amplitude	CHOSE_CONTROLLED_FIRST_VARIATION	derivative of exact covariant residual at the G324 metric	nonlinear stability
perturbation_constants	FREE_AND_EXPLORED	all constants admitted by the sector equations	observed or populated values
connected_scalar_variation	FREE_AND_EXPLORED	G303/G310 regional scalar datum at first order	selected cosmological scale
periodic_quotient_diffeomorphisms	PINNED_BY_QUOTIENT_GEOMETRY	legal gauge transformations on fixed T3	arbitrary cover coordinate rescalings
tensor_algebra_and_ODE_solution	CATEGORY_A_MATHEMATICAL_METHOD	exact classification method	new UDT mechanism
c_E	OBSERVED_ANCHOR_INACTIVE	not used	perturbation selector
X_max	OPEN_INACTIVE	excluded	boundary condition or selected scale
