id	layer	object	status	bankable_content	open_joint	controlling_source
B01	foundation	founded phi identity	DERIVED	Additive logarithmic depth of reciprocal clock/ruler pair	Physical observer/path assignment and realized profile	CURRENT_SCIENTIFIC_PREMISES.tsv:G01
B02	foundation	reciprocal pair action	DERIVED	diag(exp(-phi),exp(+phi)) and additive composition	Complete angular/mixing extension and global physical realization	CURRENT_SCIENTIFIC_PREMISES.tsv:G02
B03	calibration	c_E and G_obs	OBSERVED	Physical calibration anchors remain active	Complete native dimensional placement and scale closure	CURRENT_SCIENTIFIC_PREMISES.tsv:G06
B04	configuration	complete coframe chart	DEFINED_CONFIGURATION_ARCHITECTURE	Three screen-metric plus four base-screen mixing chart directions around founded pair	Native reduced rank, dynamics and physical mode count	udt_factorized_whole_spacetime_skeleton_2026-08-04/AUDIT_REPORT.md
B05	configuration	global extension after supplied split	DERIVED_STANDARD_BUNDLE_FACT	Positive screen metric and Hom(N,Q) mixing fibers add no independent existence obstruction	Metric-native reciprocal/screen split, topology and variation ownership	udt_extension_bundle_globalization_variation_audit_2026-08-04/AUDIT_REPORT.md
B06	configuration	metric-natural reciprocal split	BRANCH_LOCAL_SELECTORS_ONLY_UNIVERSAL_OBSTRUCTED	Simple-spectrum and intrinsic-form strata can select a plane; round/rank-changing strata obstruct universal smooth uniqueness	Physical branch or stratified ownership law	udt_metric_natural_reciprocal_split_selector_audit_2026-08-04/AUDIT_REPORT.md
B07	geometry	projector neighborhoods	DERIVED_CONDITIONAL_BOUNDED_OFFSHELL	Open stationary complete neighborhoods retain intrinsic projector and nonzero relative curvature	On-shell law, physical relevance, source and stability	udt_projector_deformation_neighborhood_audit_2026-08-01/AUDIT_REPORT.md
B08	geometry	completion-to-local fibers	DERIVED_PARTIAL_KINEMATIC	Monodromy, seam order and conditional caps change legal local endpoint/jet data	Completion selector and interior native equation	udt_completion_parameterized_local_fiber_audit_2026-08-01/AUDIT_REPORT.md
B09	mass	F01 mass-bearing geometry	CONDITIONAL	Nonzero integrated branch and exact restricted inverse-stability surface	Pointwise census conflict, native response, complete Hessian and boundary	udt_post_july_mass_branch_reconciliation_2026-08-01/AUDIT_REPORT.md
B10	mass	F02 mass-bearing geometry	CONDITIONAL	Exact nonperiodic local witness and mass-size-stiffness sector inequality	Complete global join, native coefficient/response and full persistence	udt_f02_global_completion_admissibility_2026-08-01/AUDIT_REPORT.md
B11	matter	full-3D Hopfion	SETTLED_STATIC_FINITE_BOX_CONDITIONAL	Genuine Hopf-capable 3D carrier representation and corrected static finite-box stability	Carrier emergence, native action/mass, physical boundary and time persistence	native_hopfion_topology_audit_2026-07-19/AUDIT_REPORT.md
B12	bridge	projector L2/L4 structure	OPEN_COHERENT_ARCHITECTURE_WITH_EXACT_CONDITIONAL_THEOREM	For supplied rank-one P, path and loop invariants naturally give L2 and L4; bounded quartic uniqueness	Metric selection of P, response requirements, coefficient and boundary	udt_reciprocal_closure_joint_selector_audit_2026-08-01/AUDIT_REPORT.md
B13	bootstrap	global/local self-consistency	WORKING_COHERENT_ARCHITECTURE_NOT_DERIVED_OPERATION	Two-arrow type A(X,O)=0 with O=R[X] and nontrivial mutual dependence is precisely stated	Concrete metric-native A, complete R, same-solution witness and response	udt_global_local_self_consistency_premise_audit_2026-08-01/AUDIT_REPORT.md
B14	native law	law home/codomain/variation ownership	OPEN_AFTER_BOUNDED_TYPE_ATLAS	Query, ambient-spacetime and metric-reduced homes are cleanly distinguished	Foundational selection of actual residual, quantifier and variation domain	udt_native_law_home_codomain_ownership_audit_2026-08-04/AUDIT_REPORT.md
B15	kinematics	reciprocal composition	DERIVED_NONSELECTING	Rejects inconsistent free pair data; exact for endpoint potentials and additive cocycles	Metric-native physical depth plus independent loop/endpoint premise if route reopened	udt_reciprocal_path_composition_residual_audit_2026-08-04/AUDIT_REPORT.md
B16	curvature	C08 Gröbner certificate	OPEN_SIDE_CERTIFICATE	Nine-element rational candidate basis, quotient count 124 and exact partial checks	Rational reverse containment, other charts and real roots	udt_kernel_plane_global_curvature_holonomy_atlas_2026-08-02/C08_MODULAR_RETURN_STATUS.md
B17	observation	SNe relation	CONDITIONAL_OBSERVATIONAL_COMPATIBILITY_ANCHOR	d_L/X=z(z+2) distinguishes clock, areal, optical and pair-distance readouts	Complete branch and native upstream law	udt_native_law_home_codomain_ownership_audit_2026-08-04/AUDIT_REPORT.md
B18	global readout	X_max	WORKING_GLOBAL_OBSERVER_PAIR_SCHEMA	Maximum-separation concept retained without preferred center	Pairing/path functional, value and mass-density modulation	CURRENT_SCIENTIFIC_PREMISES.tsv:G14
B19	physics	complete action/source/boundary/mass	OPEN	No conditional result is promoted	Entire native closure	CURRENT_SCIENTIFIC_PREMISES.tsv:G16

