catch_id	failure_class	result
C01	missing_interpretation	REJECTED
C02	duplicate_interpretation	REJECTED
C03	equivariance_to_fixedness	REJECTED
C04	cocycle_to_realization	REJECTED
C05	unselected_average	REJECTED
C06	pairing_promotion	REJECTED
C07	finite_cell_splice	REJECTED
C08	graph_to_feedback	REJECTED
C09	permitted_to_selected_P4	REJECTED
C10	fixedness_smuggle	REJECTED
C11	naturality_to_law	REJECTED
C12	invertibility_without_zero_preservation	REJECTED
C13	false_return_pass	REJECTED
C14	false_fixedness	REJECTED
C15	false_complete_action	REJECTED
C16	unauthorized_solve	REJECTED
C17	orbit_fixed_confusion	REJECTED
C18	graph_called_selection	REJECTED
C19	common_offset_erased	REJECTED
C20	dual_pair_failure_ignored	REJECTED
C21	affine_counterexample_erased	REJECTED
