anchor_id	path	sha256	authority	role	ruling
A01	CURRENT_SCIENTIFIC_PREMISES.tsv	69342e40bc69cb89022efa8a3c68db63214040e3efe0f001278d995cd4c7ec0f	CURRENT_CONTROL	active premise registry	phi founded; bootstrap type-only; Xmax working schema; CSN inactive; complete physics open
A02	udt_three_reciprocity_delta_k_audit_2026-07-23/THREE_RECIPROCITY_ROLE_MAP.tsv	9badc7166abc59b185ffe9b3ddc4fc7ae6ad745114ddfdbddeb3eac40f531267	POST_FIREWALL_VERIFIED_EVIDENCE	three meanings	observer covariance does not imply Delta_K=0; dual pair and Xmax roles are separate
A03	udt_founding_reciprocity_object_audit_2026-07-27/AUDIT_REPORT.md	718878082fd4dc545df29ac626389f957514a6463cbc61ad9a5eff58dd786bb4	POST_FIREWALL_CONTROLLING_AUDIT	founding object	covariant local relational comparison is founded; global parallelism is not
A04	udt_founding_reciprocity_object_audit_2026-07-27/IMPLICATION_GRAPH.tsv	0437f530610259a1221ea6acebd647f3312dd130d74138902df50595526808d2	POST_FIREWALL_CONTROLLING_AUDIT	implication boundaries	observer covariance to endpoint lift and global parallel field are exact nonedges
A05	udt_founding_observer_comparison_semantics_audit_2026-07-27/AUDIT_REPORT.md	f5b048e1e3055e91933293037f9f3755068d4400ac01bd61ae19e008ebf9a730	POST_FIREWALL_CONTROLLING_AUDIT	observer semantics	abstract ordered operator derived; endpoint versus path physical semantics open
A06	udt_complete_coframe_native_selector_audit_2026-07-26/SELECTOR_CAPABILITY_LEDGER.tsv	92aff2ffac5cae6ce7088e3656135e9807c4ec8b0870a23385ca7809155ef286	POST_FIREWALL_VERIFIED_EVIDENCE	selector rank	observer-frame reciprocity has zero selector rank on the registered extension family
A07	udt_complete_coframe_physical_comparison_functor_audit_2026-07-27/AUDIT_REPORT.md	b2cb8ca000964e4a42a30f575ce3db7a2c7dfe0bedbbf45fff1e6f739ceb09e0	POST_FIREWALL_VERIFIED_EVIDENCE	comparison functor	composition is available for supplied data but physical comparison functor remains open
A08	udt_global_reciprocal_bundle_assembly_audit_2026-07-26/AUDIT_REPORT.md	d97ea230affe133e40dcac6374f126b51f5741b5af79749de634a1a41d8aee88	POST_FIREWALL_VERIFIED_EVIDENCE	global bundle	path-groupoid all lambda; endpoint-parallel lambda one only after an extra requirement
A09	udt_observer_pair_triangle_consistency_audit_2026-07-26/STATUS_LEDGER.tsv	de760da616db285d28186a4cdc89b62b946669a642cd89b21785fa94e75a1fce	POST_FIREWALL_VERIFIED_EVIDENCE	pair cocycle	abstract composition derived; endpoint section and finite-cell descent remain open
A10	udt_native_global_coframe_definition_audit_2026-07-28/AUDIT_REPORT.md	7aa0b81caa6504974e8ace4fc2c313a9e8394ad293b3d7c316412ca7ec6485f1	POST_FIREWALL_VERIFIED_EVIDENCE	global coframe definition	multiple independent selector gaps and arbitrary smooth phi/lambda controls remain
A11	udt_bootstrap_closure_ownership_audit_2026-08-01/AUDIT_REPORT.md	25e98f0d6c8022045b9b6b8aceb33bbbe7910c0f411ee094b5a1f033e2e914bd	IMMEDIATE_VERIFIED_PARENT	closure ownership	typed partial R exists; nonidentity return A remains open
A12	udt_jr_cert_native_derivation_2026-08-01/AUDIT_REPORT.md	4b50f9e0efaff8a9341c32cec6dbd7f4084487f14d38b3039f143c892fb071d4	VERIFIED_PARENT_EVIDENCE	native equation route census	zero of eight equation routes passes; identities reconstruct rather than select
A13	udt_p4_cold_review_repair_2026-08-01/CLOSURE_REPORT.md	31a2f717989299db69dd0ee5b63fc7575f5894a87297d0c7fc6058d722650cf8	POST_FIREWALL_COLD_REVIEW	P4 authority ceiling	formal response/census evidence; no response law selected
A14	UDT_NATIVE_ACTION_COLD_PACKET.md	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	HISTORICAL_FROZEN_PACKET	founding dual pair wording	usable for founded Reciprocity wording only; later registry controls CSN, finite-cell, and bootstrap grades
A15	macro_phase1_metric_only.md	9275d494249bf8170773f0bd041d0cde6f83066bd6c2f30075b54f5420b010b3	POST_FIREWALL_SCOPED_MACRO_RECORD	static macro reduction	R1-R3 leave transverse geometry, time dependence, topology, and phi profile open
