premise_id	object	status	allowed_use	forbidden_promotion
WCR-P01	observer-frame reciprocity	FOUNDING_OWNER_POSTULATE	mutual observer equivalence and exchange covariance	preferred frame or whole-field equation
WCR-P02	reciprocal clock/ruler pair	FOUNDING_INTERPRETATION_WITH_DERIVED_KINEMATICS	contragredient pair and determinant-one comparison	observer-exchange law or dynamics
WCR-P03	Xmax reciprocity	CONDITIONAL_WORKING_HYPOTHESIS	dimensionless positional compatibility only	founding premise or derived return law
WCR-P04	phi and reciprocal exponential family	DERIVED_SCOPED	configuration and comparison variables	realized phi profile
WCR-P05	complete coframe classes	DERIVED_EXISTENCE_CLASSES	whole-configuration domain candidates	on-shell physical universe
WCR-P06	observer/path comparison functor	DERIVED_OR_CONDITIONAL_BY_DOMAIN	argument-bearing readout and cocycle structure	path-free intrinsic scalar
WCR-P07	finite-cell and completion data	WORKING_SPLIT_READING	admissibility and domain branches	unique completion or boundary law
WCR-P08	bootstrap	WORKING_TYPE_ONLY	two-arrow architecture	equation optimizer or fixed point
WCR-P09	metric-native geometric readout	DERIVED_TYPED_PARTIAL_FAMILY	prior audit result	complete physical R metric
WCR-P10	native return A	OPEN	target of this audit	assumed whole-field operation
WCR-P11	c_E and G_obs	OBSERVED_ANCHORS	dimensional calibration after object definition	selector or response law
WCR-P12	strong local CSN	INACTIVE_CHALLENGED	counterfactual only	scale erasure or quotient selector
WCR-P13	action source carrier mass energy boundary	OPEN_OR_CONDITIONAL	blocker tracking	import or premise splice
WCR-P14	pre-July-1 material	PROVENANCE_ONLY	identify owner language or historical failure	provide affirmative UDT physics
WCR-P15	computation posture	CPU_ONLY_EXACT_AUDIT	finite algebra group and source controls	ODE PDE GPU T4 or live solve

