claim_id	claim	prior_status	corrected_status	scope
Q01	Xmax_is_maximum_possible_observer_pair_separation	owner_working_limit	WORKING_OWNER_MEANING	Xmax_is_a_global_supremum_until_attainment_is_derived
Q02	Xmax_is_edge_of_universe	sometimes_assumed_in_historical_language	NOT_DERIVED	finite_diameter_does_not_select_boundary_or_topology
Q03	Xmax_selects_preferred_center	historical_centered_reading	REFUTED_AS_LOGICAL_INFERENCE	pair_diameter_is_center_free
Q04	Xmax_is_attained_by_some_observer_pair	maximum_wording	OPEN	use_supremum_without compactness theorem
Q05	every_observer_has_partner_at_Xmax	frame_shared_limit_language	OPEN_STRONG_FORM	requires_transitive_global_completion
Q06	global_Xmax_is_same_scalar_for_all_frames	owner_locked conditional consistency	WORKING_OWNER_MEANING	diameter_is_global; this does_not imply an edge distance
Q07	observer_pair_exchange_symmetry	ordinary frame reciprocity	WORKING_REQUIRED_SYMMETRY	does_not_select a composition law
Q08	metric_defines_Dg_on_observer_pairs	implicitly missing	OPEN_SELECTOR	observer domain event pairing and nonnegative functional absent
Q09	fixed_WRL_X_equals_global_Xmax	open strongest candidate	OPEN_JOIN_DIAMETER_VS_RADIUS	complete geometry must derive coefficient and identification
Q10	WRL_A_equals_1_minus_r_over_X	derived conditional WRL	RETAINED_DERIVED_CONDITIONAL_WRL	local centered profile only
Q11	WRL_clock_factor_tends_zero_as_r_tends_X	derived conditional WRL	RETAINED_DERIVED_CONDITIONAL_WRL	local static centered chart
Q12	WRL_optical_reach_is_infinite_and_wall_is_regular_null_surface	derived conditional WRL	RETAINED_DERIVED_CONDITIONAL_WRL	does_not prove global pair-diameter boundary
Q13	native_mass_diverges_at_global_Xmax	working open	OPEN	native matter mass functional absent
Q14	SNe_profile_score	observed	RETAINED_OBSERVED	calibrates supplied local WRL profile shape; not global diameter join
Q15	SNe_derives_global_Xmax_definition	not claimed	NOT_DERIVED	observation does not supply observer-pair functional or topology
Q16	fractional_Xmax_composition_is_general_observer_distance_law	chose conditional signed interval	REFUTED_IN_GENERAL	exact only in supplied collinear oriented projective class
Q17	tanh_position_law	derived conditional projective	RETAINED_UNIQUE_CONDITIONAL	anchored first-degree projective readout; not derived global distance
Q18	three_observer_distance_composition_is_scalar	not explicitly separated	REFUTED_IN_GENERAL	angular relation is load-bearing
Q19	one_asymptotic_radial_boundary_follows_from_Xmax	adopted in invariant-Xmax audit	WITHDRAWN_INTERPRETATION	retain exact 1D action classification as conditional coordinate mathematics
Q20	finite_cell_seal_is_Xmax_edge	open or silent join	NOT_DERIVED	seal type and global completion remain open
Q21	boundary_functional_or_charge_follows_from_Xmax	open	OPEN	pair diameter is not a variational boundary datum
Q22	scale_theorem_compactness_GM_over_c2Xmax	derived dimensional theorem	RETAINED_DERIVED_SCOPED	uses Xmax only as a length
Q23	c_and_G_fix_absolute_Xmax	refuted by dimension and rank	RETAINED_NOT_DERIVED	observer-pair reinterpretation does_not add a scale equation
Q24	density_or_mass_bootstrap_selects_Xmax	open	OPEN	native mass volume response and complete global solution absent
Q25	constant_CSN_homothety_preserves_D_over_Xmax	scale-neutral	RETAINED_DERIVED_SCOPED	provided D and Xmax derive from same selected representative
Q26	local_CSN_or_representative_is_fixed_by_Xmax	refuted in bounded orbit	RETAINED_NOT_DERIVED	diameter does_not remove endpoint-flat representative freedom
Q27	local_Lorentz_frame_reciprocity	derived local calibrated	RETAINED_DERIVED_LOCAL	distinct from global observer separation
Q28	local_frame_reciprocity_derives_global_Dg	false excluded	RETAINED_FALSE_EXCLUDED	needs global isometry or pair metric
Q29	global_topology_boundary_quotient_or_seam	open	OPEN	countermodels show Xmax alone cannot choose
Q30	angular_sector_is_load_bearing_for_global_pair_geometry	bounded obstruction	STRENGTHENED_LOGICAL_REQUIREMENT	three-observer composition and radius-to-diameter join require full angular/global data
Q31	complete_action_source_carrier_mass	open	OPEN_UNCHANGED	not addressed
Q32	dual_systole_and_Hopf_metric_results	verified with caveats and conditional	UNCHANGED	their local/global toric premises do_not use Xmax as an edge
Q33	CANON_WRL_xmax_wall_language	canon local causal horizon	PRESERVED_CANON_LOCAL_SYMBOL	no global observer-pair equality is inferred; Charles alone canonizes
Q34	historical_Xmax_packages	conditional mathematics or withdrawn interpretation	PRESERVED_WITH_OVERLAY	bytes and provenance unchanged
