catch_id	test	expected	result
C01	missing_candidate	REJECT	PASS
C02	duplicate_candidate	REJECT	PASS
C03	pair_functional_silently_derived	REJECT	PASS
C04	maximum_silently_attained	REJECT	PASS
C05	edge_inferred	REJECT	PASS
C06	center_inferred	REJECT	PASS
C07	WRL_local_global_join_promoted	REJECT	PASS
C08	fractional_law_globalized	REJECT	PASS
C09	projective_conditional_math_erased	REJECT	PASS
C10	WRL_local_result_erased	REJECT	PASS
C11	SNe_score_promoted_to_global_definition	REJECT	PASS
C12	boundary_promoted	REJECT	PASS
C13	scale_theorem_erased	REJECT	PASS
C14	negative_regression	REJECT	PASS
C15	GPU_scope_violation	REJECT	PASS
C16	frozen_mutation_claim	REJECT	PASS
