family	classification	path_count	ruling_basis	family_review
CANON.md	FROZEN_EVIDENCE	1	manifest_or_controller_immutability	EXPLICIT_RULE
HANDOFF.md	RELATIONAL_COMPATIBLE	1	current_control_requires_correction_overlay	EXPLICIT_RULE
HANDOFF_ARCHIVE.md	HISTORICAL_SNAPSHOT	1	historical_or_reorganization_provenance	EXPLICIT_RULE
INDEX.md	RELATIONAL_COMPATIBLE	1	current_control_requires_correction_overlay	EXPLICIT_RULE
LIVE.md	RELATIONAL_COMPATIBLE	1	current_control_requires_correction_overlay	EXPLICIT_RULE
MEMORY.md	HISTORICAL_SNAPSHOT	1	historical_or_reorganization_provenance	EXPLICIT_RULE
NEGATIVES_REGISTRY.md	RELATIONAL_COMPATIBLE	1	frame_level_centered_bearing_already_retracted	EXPLICIT_RULE
UDT_ELEGANT_FRAME.md	ASYMPTOTIC_LIMIT_COMPATIBLE	1	projective_1D_law_requires_scope_regrade	EXPLICIT_RULE
UDT_METHOD_MUSIC.md	GENERATED_AUDIT_RECORD	1	non_load_bearing_context_or_inherited_open_status	CONTEXTUAL_NO_PROMOTION
UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	FROZEN_EVIDENCE	1	manifest_or_controller_immutability	EXPLICIT_RULE
UDT_NATIVE_ACTION_COLD_PACKET.md	FROZEN_EVIDENCE	1	manifest_or_controller_immutability	EXPLICIT_RULE
UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md	FROZEN_EVIDENCE	1	manifest_or_controller_immutability	EXPLICIT_RULE
UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md	FROZEN_EVIDENCE	1	manifest_or_controller_immutability	EXPLICIT_RULE
UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md	FROZEN_EVIDENCE	1	manifest_or_controller_immutability	EXPLICIT_RULE
UDT_NATURE_LEAN_FRAME.md	GENERATED_AUDIT_RECORD	1	non_load_bearing_context_or_inherited_open_status	CONTEXTUAL_NO_PROMOTION
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	GENERATED_AUDIT_RECORD	1	non_load_bearing_context_or_inherited_open_status	CONTEXTUAL_NO_PROMOTION
UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md	GENERATED_AUDIT_RECORD	1	non_load_bearing_context_or_inherited_open_status	CONTEXTUAL_NO_PROMOTION
UDT_S2_CARRIER_STATUS_CLARIFICATION_2026-07-15.md	GENERATED_AUDIT_RECORD	1	non_load_bearing_context_or_inherited_open_status	CONTEXTUAL_NO_PROMOTION
UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	RELATIONAL_COMPATIBLE	1	current_control_requires_correction_overlay	EXPLICIT_RULE
UDT_WORKSTATION_TRANSFER_MANIFEST_2026-07-17.md	FROZEN_EVIDENCE	1	manifest_or_controller_immutability	EXPLICIT_RULE
UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	RELATIONAL_COMPATIBLE	1	current_control_requires_correction_overlay	EXPLICIT_RULE
angular_derivative_weight_selector_2026-07-20	GENERATED_AUDIT_RECORD	6	mechanical_or_replay_record	CONTEXTUAL_NO_PROMOTION
angular_derivative_weight_selector_2026-07-20	SCALE_ONLY_UNAFFECTED	13	dimensional_or_common_homothety_use	EXPLICIT_RULE
archive	HISTORICAL_SNAPSHOT	13	historical_or_reorganization_provenance	EXPLICIT_RULE
asymptotic_boundary_lineage_audit_2026-07-19	GENERATED_AUDIT_RECORD	7	mechanical_or_replay_record	CONTEXTUAL_NO_PROMOTION
asymptotic_boundary_lineage_audit_2026-07-19	LOCAL_X_DISTINCT	15	WRL_or_local_boundary_scale	EXPLICIT_RULE
boundary_bootstrap_representative_selector_audit_2026-07-19	BOUNDARY_DEPENDENT	12	requires_surface_seal_or_variation_data	EXPLICIT_RULE
boundary_bootstrap_representative_selector_audit_2026-07-19	GENERATED_AUDIT_RECORD	7	mechanical_or_replay_record	CONTEXTUAL_NO_PROMOTION
c2_angular_reduction_selector_2026-07-20	GENERATED_AUDIT_RECORD	11	non_load_bearing_context_or_inherited_open_status	CONTEXTUAL_NO_PROMOTION
c2_coupled_reciprocal_twist_onshell_2026-07-20	GENERATED_AUDIT_RECORD	2	non_load_bearing_context_or_inherited_open_status	CONTEXTUAL_NO_PROMOTION
c2_failed_basin_homotopy_2026-07-20	GENERATED_AUDIT_RECORD	8	non_load_bearing_context_or_inherited_open_status	CONTEXTUAL_NO_PROMOTION
c2_finite_cell_boundary_variation_2026-07-20	BOUNDARY_DEPENDENT	5	requires_surface_seal_or_variation_data	EXPLICIT_RULE
c2_finite_cell_boundary_variation_2026-07-20	GENERATED_AUDIT_RECORD	3	mechanical_or_replay_record	CONTEXTUAL_NO_PROMOTION
c2_intrinsic_angular_product_selector_2026-07-20	GENERATED_AUDIT_RECORD	2	non_load_bearing_context_or_inherited_open_status	CONTEXTUAL_NO_PROMOTION
c2_nonlinear_stationary_solution_space_2026-07-20	GENERATED_AUDIT_RECORD	6	non_load_bearing_context_or_inherited_open_status	CONTEXTUAL_NO_PROMOTION
c2_open_path_checkpoint_continuation_2026-07-20	GENERATED_AUDIT_RECORD	2	non_load_bearing_context_or_inherited_open_status	CONTEXTUAL_NO_PROMOTION
c2_reciprocal_transverse_twist_jacobi_2026-07-20	GENERATED_AUDIT_RECORD	2	non_load_bearing_context_or_inherited_open_status	CONTEXTUAL_NO_PROMOTION
c2_rigidity_three_route_zoomout_2026-07-20	GENERATED_AUDIT_RECORD	13	non_load_bearing_context_or_inherited_open_status	CONTEXTUAL_NO_PROMOTION
