premise_id	premise	stamp	role	restriction
P01	Xmax_means_maximum_possible_separation_between_two_observers	WORKING_OWNER_MEANING	load_bearing_correction	not_yet_metric_derived
P02	no_edge_follows_from_the_word_maximum	DERIVED_LOGICAL_CONSEQUENCE	type_discipline	boundary_requires_separate_geometry
P03	no_preferred_center_or_radial_origin_is_selected	DERIVED_LOGICAL_NONIMPLICATION	frame_discipline	geometry_may_have_other_structure_not_inferred_here
P04	observer_pair_exchange_reciprocity	WORKING_REQUIRED_SYMMETRY	relational_candidate	separation_functional_still_open
P05	set_of_admissible_observers	OPEN	missing_domain	no_observer_class_invented
P06	event_pairing_or_simultaneity_rule	OPEN	missing_domain	no_GR_or_SR_rule_imported
P07	metric_native_nonnegative_separation_functional	OPEN	load_bearing_missing_object	Lorentzian_interval_not_silently_called_distance
P08	maximum_is_attained	OPEN	global_regularization	supremum_retained_when_compactness_unproved
P09	global_topology_or_compactness	OPEN	global_completion	no_boundary_or_quotient_selected
P10	local_WRL_scale_X_equals_global_Xmax	OPEN	join_to_audit	no_symbolic_identification
P11	finite_cell_seal_is_physical_edge	REJECTED_AS_AUTOMATIC_CONSEQUENCE	boundary_discipline	may_be_chart_seam_horizon_quotient_or_other_completion
P12	asymptotic_clock_and_mass_behavior_at_pair_separation_limit	WORKING_TO_REGRADE	metric_limit_claim	must_trace_to_complete_pairwise_metric
P13	Xmax_reciprocity_law	WORKING_TO_REGRADE	structural_hypothesis	definition_does_not_supply_fractional_law
P14	common_Xmax_value_for_all_observational_frames	WORKING_OWNER_MEANING	global_scalar	same_diameter_not_same_distance_to_an_edge
P15	c_and_G_observational_anchors	OBSERVED	outside_primary_audit	no_numeric_use
P16	total_density_selects_Xmax	OPEN	bootstrap_dependency	no_density_to_geometry_law
P17	complete_native_action_source_boundary_mass	OPEN	outside_scope	no_promotion
P18	external_field_equations	REJECTED_AS_DERIVATION	provenance_firewall	comparison_only_if_encountered
P19	historical_and_frozen_records	IMMUTABLE	provenance_control	correction_overlay_only
P20	density_matter_time_live_GPU_work	OUT_OF_SCOPE	compute_boundary	not_launched
