candidate_id	path	git_blob	sha256	size_bytes	matching_lines
X0001	HANDOFF.md	f4b0a1e0edc4a70eb69d81882a513b3fd21ce95c	68ff8553ec327f8773d596b620eab970cd0bbd6663e692837af6aad1f4517f69	39498	21
X0002	HANDOFF_ARCHIVE.md	b257b2563729d016a430a7378baaeb21c8b75905	23340d081d4b52d1fbb7f019f0240d79891ca2c67ccd438698c7e29ef0cc85ec	130383	8
X0003	INDEX.md	dfbc2cc45b4070559a8c18196dec78581a6030d1	e7723735426bdc5e619d41be361a76b49de5ab9ddd53bb7ee00be0f63cb86567	22961	12
X0004	LIVE.md	229cb666d768e5227e6e2ab0d357b4a7c5e1ca7d	ec6fc2b65c1a338eddd4a339e9212de7542ae80dba9c8e5ee36f3a962512850d	83708	25
X0005	MEMORY.md	6e8215f88b981f3695a05bc8740e7e575e18ac35	4bf79e52c83356148f2dcc54144a8e2c4f5cc200df15bd8516c8e2f3643af713	5735	1
X0006	NEGATIVES_REGISTRY.md	71c7cae1f659c40636537db211311f8bdb972025	981786b260b2671fdd66638b4b64d9c40a0994c1a1e09bb33f461751593d7cdc	164174	1
X0007	UDT_ELEGANT_FRAME.md	68af4e4954563faee3679e12b3480675da5efd99	4ce2f13400c0bc4e82ae3fcbc256f9c3addba259cdb79ba1892f1bc801b33f6a	4056	1
X0008	UDT_NATIVE_ACTION_COLD_PACKET.md	dbe0292e446291cdc620abfb261447cb9f7d969f	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0	13221	3
X0009	UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md	69d7febeaf61e6a64c0fa350f361543f347efffd	f1b6b03c1d3aeed59e3476d0c50e61d884408ca435af97d191ac12c1f088fb87	9694	3
X0010	UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md	33b54d3472f6759523a237a7e18258069fcfa36c	53859e31068721a27098bea865bc8b29a86ac7686e14d8ee1f0dfb4571b84056	6071	2
X0011	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	a8d29384a514f9d3be588dad1818c4c614dc6d70	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003	11418	1
X0012	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md	ddca988b51f72d8707caaa5975ffd1bd4388dfce	99357a22cb1d92bafaeca4ab844f239d911d257725b9c922951bee2b0675f928	4278	1
X0013	UDT_S2_CARRIER_STATUS_CLARIFICATION_2026-07-15.md	ab394adfd7174b39383b2d80f745cd772d9833f2	afeecd68e220074f9609a9488b11cf91532cf708785510a492d0e9814fe4eee1	2015	1
X0014	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	64b419c5849586de147a4f4fe040e18365521aed	4cd1f8d674c594f07d1667fc419d9ff977dea1a2c0c59292cf44914889970b7f	49366	29
