candidate_id	path	family	classification	current_authority_effect	evidence_basis	load_bearing	base_git_blob	base_sha256
X0001	CANON.md	CANON.md	FROZEN_EVIDENCE	PRESERVE_WITH_OVERLAY	manifest_or_controller_immutability	NO	a67e518b623c8715679b26d5736c7409e3ffcae3	5d99c0ba09fcee0429a34ac6b3dda4faff489b7d214b622fcbd286deb3785314
X0002	HANDOFF.md	HANDOFF.md	RELATIONAL_COMPATIBLE	RETAIN_WITH_PREMISE_STAMP	current_control_requires_correction_overlay	YES	f4b0a1e0edc4a70eb69d81882a513b3fd21ce95c	68ff8553ec327f8773d596b620eab970cd0bbd6663e692837af6aad1f4517f69
X0003	HANDOFF_ARCHIVE.md	HANDOFF_ARCHIVE.md	HISTORICAL_SNAPSHOT	PRESERVE_WITH_OVERLAY	historical_or_reorganization_provenance	NO	b257b2563729d016a430a7378baaeb21c8b75905	23340d081d4b52d1fbb7f019f0240d79891ca2c67ccd438698c7e29ef0cc85ec
X0004	INDEX.md	INDEX.md	RELATIONAL_COMPATIBLE	RETAIN_WITH_PREMISE_STAMP	current_control_requires_correction_overlay	YES	dfbc2cc45b4070559a8c18196dec78581a6030d1	e7723735426bdc5e619d41be361a76b49de5ab9ddd53bb7ee00be0f63cb86567
X0005	LIVE.md	LIVE.md	RELATIONAL_COMPATIBLE	RETAIN_WITH_PREMISE_STAMP	current_control_requires_correction_overlay	YES	229cb666d768e5227e6e2ab0d357b4a7c5e1ca7d	ec6fc2b65c1a338eddd4a339e9212de7542ae80dba9c8e5ee36f3a962512850d
X0006	MEMORY.md	MEMORY.md	HISTORICAL_SNAPSHOT	PRESERVE_WITH_OVERLAY	historical_or_reorganization_provenance	NO	6e8215f88b981f3695a05bc8740e7e575e18ac35	4bf79e52c83356148f2dcc54144a8e2c4f5cc200df15bd8516c8e2f3643af713
X0007	NEGATIVES_REGISTRY.md	NEGATIVES_REGISTRY.md	RELATIONAL_COMPATIBLE	RETAIN_WITH_PREMISE_STAMP	frame_level_centered_bearing_already_retracted	YES	71c7cae1f659c40636537db211311f8bdb972025	981786b260b2671fdd66638b4b64d9c40a0994c1a1e09bb33f461751593d7cdc
X0008	UDT_ELEGANT_FRAME.md	UDT_ELEGANT_FRAME.md	ASYMPTOTIC_LIMIT_COMPATIBLE	RETAIN_CONDITIONAL	projective_1D_law_requires_scope_regrade	YES	68af4e4954563faee3679e12b3480675da5efd99	4ce2f13400c0bc4e82ae3fcbc256f9c3addba259cdb79ba1892f1bc801b33f6a
X0009	UDT_METHOD_MUSIC.md	UDT_METHOD_MUSIC.md	GENERATED_AUDIT_RECORD	FAMILY_ADJUDICATION_ALLOWED	non_load_bearing_context_or_inherited_open_status	NO	2d7688b24a88e4bde21c2729683fbb6ebb5475d5	7859ad264644e874b4221743a1a235eb5530ec3417961e3b4739f157f8cb12d6
X0010	UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	UDT_NATIVE_ACTION_COLD_ARM_DISPATCH.md	FROZEN_EVIDENCE	PRESERVE_WITH_OVERLAY	manifest_or_controller_immutability	NO	6d2d5bacf86cc068d2b3f7eae6f3ff705151c038	6e977717ca028cabaa198dd14a6a97b3b15740e45485d0ab735f3df0326df192
X0011	UDT_NATIVE_ACTION_COLD_PACKET.md	UDT_NATIVE_ACTION_COLD_PACKET.md	FROZEN_EVIDENCE	PRESERVE_WITH_OVERLAY	manifest_or_controller_immutability	NO	dbe0292e446291cdc620abfb261447cb9f7d969f	d38232792ac78188687db433a3f60a08c775c46e9ecf5fc42ad7953dc89fadb0
X0012	UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md	UDT_NATIVE_ACTION_DERIVATION_DISPATCH.md	FROZEN_EVIDENCE	PRESERVE_WITH_OVERLAY	manifest_or_controller_immutability	NO	beaf9c20e607b9160ee466a31c43a329a2b13db5	9b7c172a395084bf9a7fede33a261de7a61ca7704c3650e9b7828f9ec814b668
X0013	UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md	UDT_NATIVE_ACTION_WORKSTATION_SYNC_AUDIT_2026-07-17.md	FROZEN_EVIDENCE	PRESERVE_WITH_OVERLAY	manifest_or_controller_immutability	NO	69d7febeaf61e6a64c0fa350f361543f347efffd	f1b6b03c1d3aeed59e3476d0c50e61d884408ca435af97d191ac12c1f088fb87
X0014	UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md	UDT_NATIVE_ACTION_WORKSTATION_SYNC_DISPATCH.md	FROZEN_EVIDENCE	PRESERVE_WITH_OVERLAY	manifest_or_controller_immutability	NO	33b54d3472f6759523a237a7e18258069fcfa36c	53859e31068721a27098bea865bc8b29a86ac7686e14d8ee1f0dfb4571b84056
X0015	UDT_NATURE_LEAN_FRAME.md	UDT_NATURE_LEAN_FRAME.md	GENERATED_AUDIT_RECORD	FAMILY_ADJUDICATION_ALLOWED	non_load_bearing_context_or_inherited_open_status	NO	caaad5f1c276b09677a8b6f0a578a9a62deab73c	b0d3eae792bd7072a5d13efbf45fa87efb141caed719dbf935c6583d3a9aae4f
X0016	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	GENERATED_AUDIT_RECORD	FAMILY_ADJUDICATION_ALLOWED	non_load_bearing_context_or_inherited_open_status	NO	a8d29384a514f9d3be588dad1818c4c614dc6d70	b2bdf9dd427871c6e951c6b47748b7663aa4a6264fcfcbff59b51f1ea2272003
X0017	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_VERIFY_DISPATCH.md	GENERATED_AUDIT_RECORD	FAMILY_ADJUDICATION_ALLOWED	non_load_bearing_context_or_inherited_open_status	NO	ddca988b51f72d8707caaa5975ffd1bd4388dfce	99357a22cb1d92bafaeca4ab844f239d911d257725b9c922951bee2b0675f928
X0018	UDT_S2_CARRIER_STATUS_CLARIFICATION_2026-07-15.md	UDT_S2_CARRIER_STATUS_CLARIFICATION_2026-07-15.md	GENERATED_AUDIT_RECORD	FAMILY_ADJUDICATION_ALLOWED	non_load_bearing_context_or_inherited_open_status	NO	ab394adfd7174b39383b2d80f745cd772d9833f2	afeecd68e220074f9609a9488b11cf91532cf708785510a492d0e9814fe4eee1
X0019	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	UDT_SCIENTIFIC_FRONTIER_2026-07-19.md	RELATIONAL_COMPATIBLE	RETAIN_WITH_PREMISE_STAMP	current_control_requires_correction_overlay	YES	64b419c5849586de147a4f4fe040e18365521aed	4cd1f8d674c594f07d1667fc419d9ff977dea1a2c0c59292cf44914889970b7f
X0020	UDT_WORKSTATION_TRANSFER_MANIFEST_2026-07-17.md	UDT_WORKSTATION_TRANSFER_MANIFEST_2026-07-17.md	FROZEN_EVIDENCE	PRESERVE_WITH_OVERLAY	manifest_or_controller_immutability	NO	79ba10937e5e6c46bfb5dc4557dc72ae21ea3a71	6b9c3918749fe66879fd572005cef8306c2c4556f1098207ec33f75bb832194f
X0021	UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	UDT_XMAX_STATUS_CLARIFICATION_2026-07-15.md	RELATIONAL_COMPATIBLE	RETAIN_WITH_PREMISE_STAMP	current_control_requires_correction_overlay	YES	6b01ad9424a26c549a970fbcac9cd6f011cabe09	bd82e07c252fa3aa055e9e4029b964f8a4e415fd50097dd5cec8a6ba928850a1
X0022	angular_derivative_weight_selector_2026-07-20/AUDIT_REPORT.md	angular_derivative_weight_selector_2026-07-20	SCALE_ONLY_UNAFFECTED	RETAIN_UNCHANGED	dimensional_or_common_homothety_use	YES	ddd5b965f7c637bf558005bf07f97cb5afeb93c4	26d5b09bbfac932c3982d6c1bc44e53ff6e9c901f5ae533b86f496bb6649de50
X0023	angular_derivative_weight_selector_2026-07-20/CATCH_PROOFS.tsv	angular_derivative_weight_selector_2026-07-20	GENERATED_AUDIT_RECORD	FAMILY_ADJUDICATION_ALLOWED	mechanical_or_replay_record	NO	036fb00705956b3aad0459bce82a897847f22206	0f65d8508d072cf024d47638b2fd47cca0795930db1e059e73352ca55a18aaca
X0024	angular_derivative_weight_selector_2026-07-20/COMPLETENESS_SCOPE.tsv	angular_derivative_weight_selector_2026-07-20	SCALE_ONLY_UNAFFECTED	RETAIN_UNCHANGED	dimensional_or_common_homothety_use	NO	0b454094f98b4e239248ada04711ff6b578359a5	1496cb44cdb73d2b425614978bd92d2728ab61bf9debf98d2737f079ccd3d99f
X0025	angular_derivative_weight_selector_2026-07-20/COUNTERFAMILY_LEDGER.tsv	angular_derivative_weight_selector_2026-07-20	SCALE_ONLY_UNAFFECTED	RETAIN_UNCHANGED	dimensional_or_common_homothety_use	NO	b17af164797474801d987eb81e81e390b5e3ec50	bb06f79e7b0d45e04cdfd3422b53d50f328bedc87f87556fd26a69ad12898a94
X0026	angular_derivative_weight_selector_2026-07-20/DERIVATION_RESULT.json	angular_derivative_weight_selector_2026-07-20	GENERATED_AUDIT_RECORD	FAMILY_ADJUDICATION_ALLOWED	mechanical_or_replay_record	NO	2b215535599c0faf48f545adf0e58d46dfc6625d	68e460193f4618091f1bedca157f68150767ee136752c3071e4679f057d68867
X0027	angular_derivative_weight_selector_2026-07-20/INVARIANT_LEDGER.tsv	angular_derivative_weight_selector_2026-07-20	SCALE_ONLY_UNAFFECTED	RETAIN_UNCHANGED	dimensional_or_common_homothety_use	NO	212fc6463cfdc0d3f9cfb58297371a2b61282d1f	f7f84d9fff648b7983f67993d9f044787ea0e2917c18c40593b45fe2134659dc
X0028	angular_derivative_weight_selector_2026-07-20/LAY_DECISION_TREE.md	angular_derivative_weight_selector_2026-07-20	SCALE_ONLY_UNAFFECTED	RETAIN_UNCHANGED	dimensional_or_common_homothety_use	NO	688e3d6a63c914328ac31d6493e94d567f729c6e	763f2e1b9755e3082aaf11916c6aadd2fbc44f2b9f74b24cfb06625ffc0a915f
X0029	angular_derivative_weight_selector_2026-07-20/NEXT_SCIENTIFIC_DECISION.md	angular_derivative_weight_selector_2026-07-20	SCALE_ONLY_UNAFFECTED	RETAIN_UNCHANGED	dimensional_or_common_homothety_use	NO	42b8b397216235c8600f38c68ae9fbf6c69b9a04	e8999606b438d4bc50a4b04e1bf30fe17bfafd2d71d5e731dbdb2538a31147cb
X0030	angular_derivative_weight_selector_2026-07-20/PREREGISTRATION.md	angular_derivative_weight_selector_2026-07-20	SCALE_ONLY_UNAFFECTED	RETAIN_UNCHANGED	dimensional_or_common_homothety_use	NO	a576e98ff1bcf07056ee70b5620ee43d147f44ab	5e1037fdf0b0a992a68138a4140e25793e86a699dc95f586e75a016de5669082
X0031	angular_derivative_weight_selector_2026-07-20/REPOSITORY_GATES.json	angular_derivative_weight_selector_2026-07-20	GENERATED_AUDIT_RECORD	FAMILY_ADJUDICATION_ALLOWED	mechanical_or_replay_record	NO	697e47a981106138f6d1fd796f1efc74bc4b196a	cffab2ce148956dca9326f5c883b04f1f99f19d9f60d8456ae33fd6cf0a8d45b
X0032	angular_derivative_weight_selector_2026-07-20/SOURCE_ADJUDICATION.tsv	angular_derivative_weight_selector_2026-07-20	GENERATED_AUDIT_RECORD	FAMILY_ADJUDICATION_ALLOWED	mechanical_or_replay_record	NO	1a503cf957d1b20efb83cf75d958308f708e2602	41f68a0eed57ffa59831b4c9fc6996cbab2908c745e8a62709e03faf3b17dc29
X0033	angular_derivative_weight_selector_2026-07-20/SOURCE_CENSUS.tsv	angular_derivative_weight_selector_2026-07-20	GENERATED_AUDIT_RECORD	FAMILY_ADJUDICATION_ALLOWED	mechanical_or_replay_record	NO	7ed823cc949bf46a12cfea4660858acb0cfc3b53	e7d2c3a06d2f51f2329d0490b6781dad776e516887ce5ac737875e969e02723a
X0034	angular_derivative_weight_selector_2026-07-20/STATUS_LEDGER.tsv	angular_derivative_weight_selector_2026-07-20	SCALE_ONLY_UNAFFECTED	RETAIN_UNCHANGED	dimensional_or_common_homothety_use	YES	f99f808a46a78280cfb12031de3d58693afd551f	7610f0eef3b5f05bead9e5c969317dbfd3db1d57bd3348d7d7346e298403f37b
X0035	angular_derivative_weight_selector_2026-07-20/VERIFICATION_RESULT.json	angular_derivative_weight_selector_2026-07-20	GENERATED_AUDIT_RECORD	FAMILY_ADJUDICATION_ALLOWED	mechanical_or_replay_record	NO	08b3b881dfa8ffad80db0e145a908489b1c612f7	b4107177e18ea38d3913d5193ab46a9e36b4b9cba0ae0698e6614a60833756b7
X0036	angular_derivative_weight_selector_2026-07-20/build_source_adjudication.py	angular_derivative_weight_selector_2026-07-20	SCALE_ONLY_UNAFFECTED	RETAIN_UNCHANGED	dimensional_or_common_homothety_use	NO	5382fb1260347128366610a1dd741c9a8d08a030	78dc4e1134f833cb1e993b3a6f8eff4cbce1ded8cad26daa967ccfab0e9567ad
