gate_id	required_check	failure_condition	maximum_response
F01	candidate_completeness	missing_or_duplicate_tracked_Xmax_text_path	STOP_CENSUS
F02	owner_vs_derivation	owner_meaning_labeled_metric_derived	REJECT_PROMOTION
F03	pair_symmetry	preferred_observer_or_ordered_distance_assumed_without_evidence	REJECT_FORMULATION
F04	event_pairing	Lorentzian_interval_called_nonnegative_distance_without_comparison_rule	LEAVE_FUNCTIONAL_OPEN
F05	maximum_vs_supremum	maximum_attainment_claimed_without_global_compactness_or_proof	RETAIN_SUPREMUM
F06	edge_nonimplication	edge_boundary_or_center_inferred_from_pairwise_maximum	REJECT_EDGE_CLAIM
F07	local_global_join	local_WRL_X_or_chart_radius_identified_with_global_Xmax_without_bridge	LEAVE_JOIN_OPEN
F08	boundary_dependency	boundary_action_or_charge_retained_when_its_only_source_was_edge_conflation	CONDITIONS_CHANGED
F09	reciprocity_scope	pair_exchange_symmetry_called_a_fractional_Xmax_law	REJECT_PROMOTION
F10	asymptotic_scope	clock_or_mass_limit_globalized_from_a_local_static_ansatz	REGRADE_CONDITIONAL
F11	scale_scope	dimensional_length_use_called_absolute_scale_selection	REJECT_PROMOTION
F12	historical_integrity	frozen_or_historical_evidence_modified	REJECT_PACKAGE
F13	physics_scope	topology_action_source_density_mass_or_boundary_invented	REJECT_SCOPE
F14	compute_scope	matter_time_live_or_GPU_solve_launched	REJECT_SCOPE
F15	negative_regression	negative_depending_on_edge_premise_left_blocking_without_regrade	CONDITIONS_CHANGED
F16	authority_navigation	current_docs_continue_to_call_Xmax_an_edge_without_correction	REJECT_HANDOFF
