path_id	from_configuration	to_configuration	delta_determinant	delta_scalar_curvature	delta_mixed_curvature_max_abs	ricci_rank_change	curvature_rank_change	compatibility_verdict
B0_P0_0_1	B0_L0_P0	B0_L1_P0	0.0	-0.06226391962881779	-0.08151442184627332	0	0	NOT_ASSIGNED_OBSERVED_DEFORMATION_ONLY
B0_P0_1_2	B0_L1_P0	B0_L2_P0	0.0	-0.03674370845522944	-0.060042230238379804	-4	-6	NOT_ASSIGNED_OBSERVED_DEFORMATION_ONLY
B0_P0_2_3	B0_L2_P0	B0_L3_P0	0.0	-0.011223497281640783	0.07485176122818145	4	6	NOT_ASSIGNED_OBSERVED_DEFORMATION_ONLY
B0_P0_3_4	B0_L3_P0	B0_L4_P0	0.0	0.014296713891947664	0.11553923902902812	0	0	NOT_ASSIGNED_OBSERVED_DEFORMATION_ONLY
B0_P1_0_1	B0_L0_P1	B0_L1_P1	-0.13315093776212028	-0.08147316287022083	-0.075649264070894	0	0	NOT_ASSIGNED_OBSERVED_DEFORMATION_ONLY
B0_P1_1_2	B0_L1_P1	B0_L2_P1	-0.1481633150223549	-0.03803023325735976	-0.05575341426529279	-4	-6	NOT_ASSIGNED_OBSERVED_DEFORMATION_ONLY
B0_P1_2_3	B0_L2_P1	B0_L3_P1	-0.16486829373768463	-0.016344449463550854	0.07109787754435576	4	6	NOT_ASSIGNED_OBSERVED_DEFORMATION_ONLY
B0_P1_3_4	B0_L3_P1	B0_L4_P1	-0.18345670975217176	-0.011589046818704062	0.09502293762955946	0	0	NOT_ASSIGNED_OBSERVED_DEFORMATION_ONLY
B0_P2_0_1	B0_L0_P2	B0_L1_P2	0.1418183393464747	-0.014559871678818503	-0.09782796557757346	0	0	NOT_ASSIGNED_OBSERVED_DEFORMATION_ONLY
B0_P2_1_2	B0_L1_P2	B0_L2_P2	0.13022163954627963	-0.023747615803986655	-0.065563859732659	-4	-6	NOT_ASSIGNED_OBSERVED_DEFORMATION_ONLY
B0_P2_2_3	B0_L2_P2	B0_L3_P2	0.11957321940353594	-0.019261959856192088	0.07791409357624657	4	6	NOT_ASSIGNED_OBSERVED_DEFORMATION_ONLY
B0_P2_3_4	B0_L3_P2	B0_L4_P2	0.10979553665844244	0.0013520357618878077	0.1302924455544352	0	0	NOT_ASSIGNED_OBSERVED_DEFORMATION_ONLY
B0_P3_0_1	B0_L0_P3	B0_L1_P3	0.08872440713966334	-0.03301389982263356	-0.08210412261722168	0	0	NOT_ASSIGNED_OBSERVED_DEFORMATION_ONLY
B0_P3_1_2	B0_L1_P3	B0_L2_P3	0.08390947565776496	-0.026140153891227688	-0.06019619227008051	-4	-6	NOT_ASSIGNED_OBSERVED_DEFORMATION_ONLY
B0_P3_2_3	B0_L2_P3	B0_L3_P3	0.07935584279619978	-0.023146000020744736	0.07697141641398117	4	6	NOT_ASSIGNED_OBSERVED_DEFORMATION_ONLY
B0_P3_3_4	B0_L3_P3	B0_L4_P3	0.07504932829731414	-0.024200954937823854	0.12188205958030288	0	0	NOT_ASSIGNED_OBSERVED_DEFORMATION_ONLY
B0_P4_0_1	B0_L0_P4	B0_L1_P4	-0.056188667978755324	-0.1025247324777672	-0.08061067380613109	0	0	NOT_ASSIGNED_OBSERVED_DEFORMATION_ONLY
B0_P4_1_2	B0_L1_P4	B0_L2_P4	-0.058531536671989626	-0.05015247504877971	-0.06009627925778403	-4	-6	NOT_ASSIGNED_OBSERVED_DEFORMATION_ONLY
