configuration_id	sample_parameters	sample_parameter_count	sampled_tangent_rank	sampled_tangent_status	abstract_latent_to_slot_rank	ten_amplitudes_independently_scanned	interpretation
B0_L0_P0	lambda,x0,x1,x2,x3	5	4	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L0_P1	lambda,x0,x1,x2,x3	5	5	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L0_P2	lambda,x0,x1,x2,x3	5	5	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L0_P3	lambda,x0,x1,x2,x3	5	5	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L0_P4	lambda,x0,x1,x2,x3	5	5	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L0_P5	lambda,x0,x1,x2,x3	5	5	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L0_P6	lambda,x0,x1,x2,x3	5	5	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L0_P7	lambda,x0,x1,x2,x3	5	5	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L1_P0	lambda,x0,x1,x2,x3	5	4	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L1_P1	lambda,x0,x1,x2,x3	5	5	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L1_P2	lambda,x0,x1,x2,x3	5	5	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L1_P3	lambda,x0,x1,x2,x3	5	5	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L1_P4	lambda,x0,x1,x2,x3	5	5	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L1_P5	lambda,x0,x1,x2,x3	5	5	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L1_P6	lambda,x0,x1,x2,x3	5	5	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L1_P7	lambda,x0,x1,x2,x3	5	5	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L2_P0	lambda,x0,x1,x2,x3	5	0	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L2_P1	lambda,x0,x1,x2,x3	5	1	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L2_P2	lambda,x0,x1,x2,x3	5	1	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L2_P3	lambda,x0,x1,x2,x3	5	1	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L2_P4	lambda,x0,x1,x2,x3	5	1	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L2_P5	lambda,x0,x1,x2,x3	5	1	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
B0_L2_P6	lambda,x0,x1,x2,x3	5	1	NUMERIC_CLASSIFIED	10	NO	CORRELATED_PATH_TANGENT_NOT_FULL_TEN_PARAMETER_SCAN
