id	failure_mode	present
A01	desired boundary seal topology or quotient target	ABSENT
A02	action or EOM residual used as filter	ABSENT
A03	particle lump mass spectrum or stability target	ABSENT
A04	GR empirical or cosmological merit comparison	ABSENT
A05	diagonal round static or twist-free whole ansatz	ABSENT
A06	mixed shifts screen shear or angular dependence omitted	ABSENT
A07	time-dependent configuration called evolution	ABSENT
A08	singular or other-signature branch discarded	ABSENT
A09	numeric rank used as physical acceptance	ABSENT
A10	gauge copies counted as distinct geometry	ABSENT
A11	CSN representative selected	ABSENT
A12	finite witness set called exhaustive	ABSENT
A13	metric-derived phi relation invented	ABSENT
A14	compatibility verdict assigned before observation	ABSENT
A15	P06 readiness or physical solution inferred	ABSENT
