configuration_id	bank	deformation	point_id	configuration_sha256	metric_jet_sha256	determinant	inertia	identity_residual	latent_to_slot_rank	latent_rank_status	scalar_curvature	ricci_rank	ricci_rank_status	curvature_operator_rank	curvature_rank_status	riemann_max_abs	ricci_max_abs	weyl_max_abs	weyl_trace_residual	ricci_square	riemann_square	weyl_square	mixed_curvature_max_abs	time_derivative_activity	depth_derivative_activity	angular2_derivative_activity	angular3_derivative_activity	expansion_0	expansion_1	expansion_rank	shear_rank	twist_rank	twist_max_abs	shear_max_abs	phi	phi_gradient_norm	phi_gradient_max_abs	phi_horizontal_support	phi_vertical_support	phi_hessian_max_abs	sampled_tangent_rank	sampled_tangent_status	retained	physical_merit
B0_L0_P0	B0	-1.0	P0	8084c833753f659cd3f0cf9de16b52c265190c4d9151d65c772b5f56b3c7874e	b50575f946a768ffa952ef6ffeefc782f2ec768fa37697de0a313c08ab7fe29f	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.09900762808404723	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.14155665208465312	0.1583728327313519	0.13299830465947596	3.859759734048396e-17	0.03651504826318523	0.15845520805965174	0.08869261500622379	0.14155665208465312	0.3520532612975431	0.22561476856733675	0.29662480174166117	0.33755127542269436	0.25433333333333336	0.23983333333333332	1	2	1	0.18233333333333335	0.18051362575591334	-0.25	0.006488801591812709	0.11666666666666667	0.1	0.11666666666666667	0.08888888888888889	4	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
B0_L0_P1	B0	-1.0	P1	eeb3da5d817f00bc44ebbea6f88ed553527d4a29d3ca3af2bee026459204b144	8de871080d703441f3f93fbeefd0b5b11c0e30be4e46748ec301088fc64c7780	-1.1809703366497497	1,3,0	1.1102230246251565e-16	10	NUMERIC_CLASSIFIED	0.1195033961275806	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.1314026783361868	0.134308200341774	0.12019409958648557	4.163336342344337e-17	0.044339515490616335	0.17367245945490425	0.08975378236901378	0.1314026783361868	0.31087430594076604	0.24493748906881124	0.25530602655226536	0.39623531913283405	0.2329867636888432	0.22064890067729764	1	2	1	0.22332755544124372	0.17861852868051012	-0.2559074074074074	3.088342636615657e-05	0.14671296296296293	0.1228703703703704	0.14671296296296293	0.08888888888888889	5	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
B0_L0_P2	B0	-1.0	P2	a4bab6ec727ce5a4ae89f5f1d671cbb758090ff34137f698b57e62ddaa2ecc61	216376ca5359c222853caae9fc18ec7637ed9587538d8daf33417d4a722222d5	-1.7343245683269792	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.03830748748280516	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.1633918253102325	0.14355852684044873	0.14457839589652033	3.0357660829594124e-17	0.02964377263573134	0.14720483666342524	0.08840644592437834	0.16339182531023247	0.3722801837540679	0.21585172389241042	0.39272475873810236	0.3946546990623147	0.2776522365730659	0.2591816568970451	1	2	1	0.19403282602620706	0.19247570158595348	-0.2358402620307382	0.011837852223119665	0.13380291005291003	0.08162698412698413	0.13380291005291003	0.08888888888888889	5	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
B0_L0_P3	B0	-1.0	P3	8fed42e719f1faae1ae0c8f67619381d5eb9b3b822dae6f0f6247e0ce7ceb9f6	2c1cb6a509369d151cb1cbc4f94150b85415101009cddd853e3d83a916c5e24d	-1.6349184722316532	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.059154053713861246	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.14230031488730227	0.16848461673408277	0.12865716731797858	3.8163916471489756e-17	0.03730491060841219	0.11476480959561718	0.04132138906905372	0.1423003148873022	0.34330553645996603	0.24228176610532398	0.3220627557742148	0.34706370750422133	0.26003470405345036	0.21702098161553435	1	2	1	0.1484028808681624	0.20592222965241996	-0.22811457545981356	0.007616573208652999	0.10603174603174603	0.08282738095238096	0.10603174603174603	0.08888888888888889	5	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
B0_L0_P4	B0	-1.0	P4	5483ae88ee358f7a87c9465ce1c05b51eab7e66e24f2548054f1bd221d288a5b	0ef2379cfade5f51a064a3ae04dc0412b2ff7dcd0472f5660aabd85db4bcda87	-1.34756438478348	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.1526772075265469	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.14070695306391512	0.15114645463071924	0.13535767106457747	4.163336342344337e-17	0.04008104114726293	0.20578332261090704	0.13339135021574894	0.14070695306391512	0.36908559520904727	0.21055445514357934	0.271176893162113	0.35184396809656054	0.2484557024706825	0.2577274654871394	1	2	1	0.23301065616557415	0.15781278511759242	-0.2688848558970913	0.005509752853236998	0.12985008818342153	0.11506283068783069	0.12985008818342153	0.08888888888888889	5	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
B0_L0_P5	B0	-1.0	P5	d0a6fa00e285b5b9b22cb0f409204c7a16447fdb73da8673c6322752131fdaba	13404015ec06093744b082f640ccfaf12627c0639e09650ff8b511d674ab5598	-1.758823398182376	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.1162218501728037	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.1675422036215343	0.14312682261506235	0.14523593589536915	3.469446951953614e-17	0.03142098198551443	0.06207815482372002	0.0037386970052210797	0.1675422036215343	0.5685472394547804	0.19255288466629933	0.3202074755812665	0.5028989025535437	0.2718979248828303	0.2855734596479196	1	2	1	0.13183088455932784	0.25519466299242266	-0.14263117283950616	0.0012760034685729534	0.1236111111111111	0.08680555555555557	0.1236111111111111	0.08888888888888889	5	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
B0_L0_P6	B0	-1.0	P6	ec0e46c205e09e6f4ddf04d1f33f68c90c1f61ee1a1ed3ff1ccbaec019415c7b	fe0fb9cb6ed4938f3647e0dbb3b44a5eb4d36654229ab4069400e17bdfb49814	-1.0251410848901283	1,3,0	1.1102230246251565e-16	10	NUMERIC_CLASSIFIED	0.030227968192150567	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.13708738811676105	0.1257900251160116	0.1204212015891417	2.7755575615628914e-17	0.05288961057120732	0.26561877194623	0.16014412749082396	0.13708738811676105	0.40826735929858454	0.22221714410018942	0.20660250398344132	0.3188477270190485	0.2304542895518976	0.22009260330932784	1	2	1	0.3064851537494284	0.16268996568245342	-0.3373070987654321	0.01226498962491166	0.1550925925925926	0.12708333333333333	0.1550925925925926	0.08888888888888889	5	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
B0_L0_P7	B0	-1.0	P7	da6a105c6a254d71aa939c05319aa7c23309d52876dcc5aecd997e71833fac18	4546d03afd230b6e2e351d4ae80d152671a15b4ee1200ba93a24bda064fa4dd1	-1.4777103472359947	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.26979003189462214	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.13455958391041395	0.21609753523508168	0.12437086814602093	8.673617379884035e-17	0.05151773807418405	0.1096575277649362	0.03088427205313488	0.13455958391041395	0.3572933112386196	0.2804765510728091	0.29871467175938654	0.476547288195506	0.24279743941472334	0.22735939643347045	1	2	1	0.16509585048010972	0.13704847300116824	-0.20185185185185184	-0.002983116430345264	0.12592592592592594	0.12592592592592594	0.11851851851851854	0.08888888888888889	5	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
B0_L1_P0	B0	-0.5	P0	f07dc26986bfe0fc2c57688feccd89ff3ea644d32159984b343e87c801e42df3	0d5f0565359084830d0083632c97a43e91899aebf85c89e62b7419908a1f2f72	-1.462284589434225	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.03674370845522944	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.060042230238379804	0.07440346499395598	0.06391024083506842	1.734723475976807e-17	0.006297236333442514	0.030998803916970442	0.01885436462043305	0.060042230238379804	0.17602663064877155	0.11280738428366838	0.14831240087083059	0.16877563771134718	0.12716666666666668	0.11991666666666666	1	2	1	0.09116666666666667	0.09025681287795667	-0.25	0.0016222003979531772	0.058333333333333334	0.05	0.058333333333333334	0.044444444444444446	4	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
B0_L1_P1	B0	-0.5	P1	3c82d3b801876af09c595ce8f06aa2bdaa60546474edf62cb67948104d75724a	727ec58482803473fb58f57a6497d1dacf5fabb8334b3e77962c885158a5187a	-1.31412127441187	1,3,0	2.220446049250313e-16	10	NUMERIC_CLASSIFIED	0.03803023325735976	4	NUMERIC_CLASSIFIED	6	NUMERIC_CLASSIFIED	0.055753414265292796	0.0692306451085771	0.06082267862607658	1.431146867680866e-17	0.007094172698148048	0.03139196153569806	0.017685715686604993	0.05575341426529279	0.1649261275453878	0.1241806252012462	0.13012300969848756	0.20123415586656493	0.11057180666295154	0.10773085942858368	1	2	1	0.10983512960105168	0.08848767958880903	-0.2529537037037037	0.0005799823087347094	0.07335648148148147	0.0614351851851852	0.07335648148148147	0.044444444444444446	5	NUMERIC_CLASSIFIED	YES	NOT_EVALUATED
