configuration_id	time_active	depth_active	angular2_active	angular3_active	mixed_shift_values_active	screen_offdiagonal_active	shear_rank	twist_rank	mixed_curvature_active	dynamical_interpretation
B0_L0_P0	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L0_P1	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L0_P2	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L0_P3	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L0_P4	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L0_P5	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L0_P6	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L0_P7	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L1_P0	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L1_P1	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L1_P2	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L1_P3	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L1_P4	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L1_P5	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L1_P6	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L1_P7	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L2_P0	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B0_L2_P1	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B0_L2_P2	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B0_L2_P3	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B0_L2_P4	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B0_L2_P5	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B0_L2_P6	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B0_L2_P7	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B0_L3_P0	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L3_P1	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L3_P2	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L3_P3	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L3_P4	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L3_P5	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L3_P6	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L3_P7	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L4_P0	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L4_P1	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L4_P2	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L4_P3	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L4_P4	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L4_P5	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L4_P6	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B0_L4_P7	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L0_P0	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L0_P1	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L0_P2	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L0_P3	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L0_P4	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L0_P5	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L0_P6	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L0_P7	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L1_P0	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L1_P1	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L1_P2	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L1_P3	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L1_P4	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L1_P5	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L1_P6	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L1_P7	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L2_P0	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B1_L2_P1	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B1_L2_P2	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B1_L2_P3	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B1_L2_P4	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B1_L2_P5	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B1_L2_P6	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B1_L2_P7	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B1_L3_P0	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L3_P1	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L3_P2	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L3_P3	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L3_P4	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L3_P5	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L3_P6	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L3_P7	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L4_P0	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L4_P1	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L4_P2	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L4_P3	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L4_P4	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L4_P5	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L4_P6	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B1_L4_P7	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L0_P0	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L0_P1	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L0_P2	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L0_P3	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L0_P4	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L0_P5	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L0_P6	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L0_P7	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L1_P0	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L1_P1	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L1_P2	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L1_P3	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L1_P4	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L1_P5	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L1_P6	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L1_P7	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L2_P0	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B2_L2_P1	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B2_L2_P2	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B2_L2_P3	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B2_L2_P4	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B2_L2_P5	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B2_L2_P6	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B2_L2_P7	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B2_L3_P0	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L3_P1	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L3_P2	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L3_P3	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L3_P4	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L3_P5	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L3_P6	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L3_P7	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L4_P0	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L4_P1	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L4_P2	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L4_P3	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L4_P4	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L4_P5	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L4_P6	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B2_L4_P7	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L0_P0	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L0_P1	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L0_P2	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L0_P3	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L0_P4	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L0_P5	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L0_P6	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L0_P7	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L1_P0	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L1_P1	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L1_P2	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L1_P3	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L1_P4	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L1_P5	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L1_P6	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L1_P7	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L2_P0	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B3_L2_P1	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B3_L2_P2	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B3_L2_P3	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B3_L2_P4	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B3_L2_P5	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B3_L2_P6	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B3_L2_P7	NO	NO	NO	NO	YES	YES	0	0	NO	NONE_CONFIGURATION_ONLY
B3_L3_P0	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L3_P1	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L3_P2	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L3_P3	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L3_P4	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L3_P5	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L3_P6	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L3_P7	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L4_P0	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L4_P1	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L4_P2	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L4_P3	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L4_P4	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L4_P5	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L4_P6	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
B3_L4_P7	YES	YES	YES	YES	YES	YES	2	1	YES	NONE_CONFIGURATION_ONLY
