family_id	parameter	determinant	rank	inertia	p01_status	retained	merit
D01_BASE_CLOCK	-1.0	-1.0	4	1,3,0	EVALUATED_REGULAR_LORENTZIAN	YES	NOT_EVALUATED
D01_BASE_CLOCK	-0.5	-0.5	4	1,3,0	EVALUATED_REGULAR_LORENTZIAN	YES	NOT_EVALUATED
D01_BASE_CLOCK	0.0	0.0	3	0,3,1	NOT_EVALUATED_SINGULAR_OR_NONLORENTZIAN	YES	NOT_EVALUATED
D01_BASE_CLOCK	0.5	0.5	4	0,4,0	NOT_EVALUATED_SINGULAR_OR_NONLORENTZIAN	YES	NOT_EVALUATED
D01_BASE_CLOCK	1.0	1.0	4	0,4,0	NOT_EVALUATED_SINGULAR_OR_NONLORENTZIAN	YES	NOT_EVALUATED
D02_BASE_SECOND	-1.0	1.0	4	2,2,0	NOT_EVALUATED_SINGULAR_OR_NONLORENTZIAN	YES	NOT_EVALUATED
D02_BASE_SECOND	-0.5	0.5	4	2,2,0	NOT_EVALUATED_SINGULAR_OR_NONLORENTZIAN	YES	NOT_EVALUATED
D02_BASE_SECOND	0.0	0.0	3	1,2,1	NOT_EVALUATED_SINGULAR_OR_NONLORENTZIAN	YES	NOT_EVALUATED
D02_BASE_SECOND	0.5	-0.5	4	1,3,0	EVALUATED_REGULAR_LORENTZIAN	YES	NOT_EVALUATED
D02_BASE_SECOND	1.0	-1.0	4	1,3,0	EVALUATED_REGULAR_LORENTZIAN	YES	NOT_EVALUATED
D03_SCREEN_FIRST	-1.0	1.0	4	2,2,0	NOT_EVALUATED_SINGULAR_OR_NONLORENTZIAN	YES	NOT_EVALUATED
D03_SCREEN_FIRST	-0.5	0.5	4	2,2,0	NOT_EVALUATED_SINGULAR_OR_NONLORENTZIAN	YES	NOT_EVALUATED
D03_SCREEN_FIRST	0.0	0.0	3	1,2,1	NOT_EVALUATED_SINGULAR_OR_NONLORENTZIAN	YES	NOT_EVALUATED
D03_SCREEN_FIRST	0.5	-0.5	4	1,3,0	EVALUATED_REGULAR_LORENTZIAN	YES	NOT_EVALUATED
D03_SCREEN_FIRST	1.0	-1.0	4	1,3,0	EVALUATED_REGULAR_LORENTZIAN	YES	NOT_EVALUATED
D04_SIMULTANEOUS	-1.0	1.0	4	2,2,0	NOT_EVALUATED_SINGULAR_OR_NONLORENTZIAN	YES	NOT_EVALUATED
D04_SIMULTANEOUS	-0.5	0.25	4	2,2,0	NOT_EVALUATED_SINGULAR_OR_NONLORENTZIAN	YES	NOT_EVALUATED
D04_SIMULTANEOUS	0.0	0.0	2	0,2,2	NOT_EVALUATED_SINGULAR_OR_NONLORENTZIAN	YES	NOT_EVALUATED
D04_SIMULTANEOUS	0.5	0.25	4	0,4,0	NOT_EVALUATED_SINGULAR_OR_NONLORENTZIAN	YES	NOT_EVALUATED
D04_SIMULTANEOUS	1.0	1.0	4	0,4,0	NOT_EVALUATED_SINGULAR_OR_NONLORENTZIAN	YES	NOT_EVALUATED
