bank	field	dx0_linear	dx1_linear	dx2_linear	dx3_linear	all_coordinate_coefficients_nonzero
B0	a	0.15	-0.06666666666666667	0.03333333333333333	0.13333333333333333	YES
B0	b	-0.03333333333333333	0.06666666666666667	-0.15	-0.05	YES
B0	c	0.1	-0.11666666666666667	-0.016666666666666666	0.08333333333333333	YES
B0	d	-0.08333333333333333	0.016666666666666666	0.11666666666666667	-0.1	YES
B0	e	0.05	0.15	-0.06666666666666667	0.03333333333333333	YES
B0	f	-0.13333333333333333	-0.03333333333333333	0.06666666666666667	-0.15	YES
B0	A2_0	0.016666666666666666	0.1	-0.11666666666666667	-0.016666666666666666	YES
B0	A3_0	0.13333333333333333	-0.08333333333333333	0.016666666666666666	0.11666666666666667	YES
B0	A2_1	-0.05	0.05	0.15	-0.06666666666666667	YES
B0	A3_1	0.08333333333333333	-0.13333333333333333	-0.03333333333333333	0.06666666666666667	YES
B0	phi	-0.1	-0.016666666666666666	0.1	-0.11666666666666667	YES
B1	a	0.06666666666666667	-0.13333333333333333	-0.016666666666666666	0.1	YES
B1	b	-0.1	0.016666666666666666	0.13333333333333333	-0.06666666666666667	YES
B1	c	0.05	-0.15	-0.03333333333333333	0.08333333333333333	YES
B1	d	-0.11666666666666667	-0.016666666666666666	0.11666666666666667	-0.08333333333333333	YES
B1	e	0.03333333333333333	0.15	-0.05	0.06666666666666667	YES
B1	f	-0.13333333333333333	-0.016666666666666666	0.1	-0.1	YES
B1	A2_0	0.016666666666666666	0.13333333333333333	-0.06666666666666667	0.05	YES
B1	A3_0	-0.15	-0.03333333333333333	0.08333333333333333	-0.11666666666666667	YES
B1	A2_1	-0.016666666666666666	0.11666666666666667	-0.08333333333333333	0.03333333333333333	YES
B1	A3_1	0.15	-0.05	0.06666666666666667	-0.13333333333333333	YES
B1	phi	-0.016666666666666666	0.1	-0.1	0.016666666666666666	YES
B2	a	-0.016666666666666666	0.11666666666666667	-0.06666666666666667	0.06666666666666667	YES
B2	b	0.15	-0.03333333333333333	0.1	-0.08333333333333333	YES
B2	c	0.016666666666666666	0.13333333333333333	-0.05	0.08333333333333333	YES
B2	d	-0.15	-0.016666666666666666	0.11666666666666667	-0.06666666666666667	YES
B2	e	0.016666666666666666	0.15	-0.03333333333333333	0.1	YES
B2	f	-0.13333333333333333	0.016666666666666666	0.13333333333333333	-0.05	YES
B2	A2_0	0.03333333333333333	-0.15	-0.016666666666666666	0.11666666666666667	YES
B2	A3_0	-0.11666666666666667	0.016666666666666666	0.15	-0.03333333333333333	YES
B2	A2_1	0.05	-0.13333333333333333	0.016666666666666666	0.13333333333333333	YES
B2	A3_1	-0.1	0.03333333333333333	-0.15	-0.016666666666666666	YES
B2	phi	0.06666666666666667	-0.11666666666666667	0.016666666666666666	0.15	YES
B3	a	-0.1	0.05	-0.11666666666666667	0.03333333333333333	YES
B3	b	0.08333333333333333	-0.08333333333333333	0.06666666666666667	-0.1	YES
B3	c	-0.05	0.1	-0.06666666666666667	0.08333333333333333	YES
B3	d	0.13333333333333333	-0.03333333333333333	0.11666666666666667	-0.05	YES
B3	e	-0.016666666666666666	0.15	-0.016666666666666666	0.13333333333333333	YES
B3	f	-0.13333333333333333	0.016666666666666666	-0.15	-0.016666666666666666	YES
B3	A2_0	0.05	-0.11666666666666667	0.03333333333333333	-0.13333333333333333	YES
B3	A3_0	-0.08333333333333333	0.06666666666666667	-0.1	0.05	YES
B3	A2_1	0.1	-0.06666666666666667	0.08333333333333333	-0.08333333333333333	YES
B3	A3_1	-0.03333333333333333	0.11666666666666667	-0.05	0.1	YES
B3	phi	0.15	-0.016666666666666666	0.13333333333333333	-0.03333333333333333	YES
