id	criterion	covered	open
Q01	FIELDS	ten metric slots and independent signed phi in C02 branch	other phi/coframe/connection field realizations open
Q02	ACTION_TERMS	none loaded	native and conditional actions excluded
Q03	FULL_EQUATIONS	none solved	no EOM solution claim
Q04	DOMAIN_COORDINATES	all four dependencies in four bounded analytic banks	arbitrary functions charts and global cover open
Q05	BOUNDARY_REGULARITY	degenerate zero-jet closures only	finite-cell boundary and matching unsolved
Q06	TOPOLOGICAL_SECTOR	none selected	all global topology open
Q07	DYNAMICAL_CHARACTER	static reference and time-dependent configurations	no physical evolution law
Q08	BRANCH_BIFURCATION	bounded deformation incidence	EOM branches nonexistent without law
Q09	STABILITY	not entered	no perturbation operator
Q10	REGIME_VALIDITY	local/regional smooth analytic chart sample	nonsmooth arbitrary global and on-shell regimes open
