source_id	sha256	bytes	path
S01	45fa4a9a2a7ff911e3abf20ceae33eb88b2622c9201b4e0c63e9f63693fb9a13	4845	udt_uncompressed_pair_kernel_reconstruction_2026-08-14/AUDIT_REPORT.md
S02	8799cbd00493eaa8c54a8c136f6606e2ee5945988e27486e616f78905253493c	2036	udt_g119_finite_radius_timelive_spherical_screen_theorem_2026-08-16/AUDIT_REPORT.md
S03	0782f890b3cfe48c874d4b90b850edf673fcb79042d4622e7cd6394374afb7b5	3686	udt_g141_endpoint_triangular_transition_inverse_join_2026-08-17/AUDIT_REPORT.md
S04	aac5a2ec5c4ed4ea508aff4f65514e54e8d0502980c49f57f3595560596bd96d	2692	udt_g142_abstract_carrier_physical_carry_join_2026-08-17/AUDIT_REPORT.md
S05	e89a2d283ccf5685cbef8a20ad03c9855586c54d8f3c1717b2fd31b26db65d30	1763	udt_g143_single_pair_domain_carry_ownership_2026-08-17/AUDIT_REPORT.md
S06	ea2db403469b8e237635d47da7ee1848c62b7c9c753f669fb4beadd8edc0224c	1739	udt_g144_cross_query_overlap_carry_descent_2026-08-17/AUDIT_REPORT.md
S07	9aa11fffc1f789500fbd7e91fd42a3b10ce35eef06dcf39be7fa711c25293c92	4743	udt_g145_copresent_relation_history_descent_equivalence_2026-08-17/AUDIT_REPORT.md
S08	879a942403bfd5d80d8b0db15f97e5dfa9afb43eb6a43afc76c18b63c17bfc36	4169	udt_g146_multidirectional_relational_position_composition_2026-08-17/AUDIT_REPORT.md
S09	19cafc48140aaee8fdd7fbb510a68f48f1528c67d2d71d185774e220945d58c9	8872	udt_g141_endpoint_triangular_transition_inverse_join_2026-08-17/EXACT_DERIVATION.md
S10	19e72eb22393648846ffef8231e4c741ee5b5564eb6311c33901ec5f73b12519	3096	udt_g147_pair_directional_metric_screen_solder_2026-08-17/AUDIT_REPORT.md
S11	2c7c50232acb22b86d2393c570f7fa799d3fdb0bf96c433ef00d5e3ccd5c6e5d	3466	udt_g148_relation_first_pair_first_jet_decomposition_2026-08-17/AUDIT_REPORT.md
S12	670f7bd6d83a6724f9c79ac67aed08151ff851eaa76046abcb9ec8d313517e52	3344	udt_g149_genuine_spacetime_pair_first_jet_join_2026-08-17/AUDIT_REPORT.md
S13	d391da7feaf4ef99a44e01f76bc90b7224a46374cf5ca054711874a491746d43	2041	udt_g150_first_order_pair_chord_freedom_ceiling_2026-08-17/AUDIT_REPORT.md
S14	40247fa57d32690d9249f6f05e08c22ab460bcfd346859db2068f39962711491	2596	udt_g151_pair_chord_generalized_deviation_join_2026-08-17/AUDIT_REPORT.md
S15	d8ea9eb9b16257cd61f9cd694b9c202657636c74baf1c2f1274a88f1f7502383	2309	udt_g152_pair_immersion_variational_chord_ownership_2026-08-17/AUDIT_REPORT.md
S16	5a75bbb5b37704b440701aa55e25169ca92bdada6743a577f3297b7c689e3b56	2326	udt_g153_relational_position_ruler_differential_join_2026-08-17/AUDIT_REPORT.md
S17	105c198e887a843e86ad1bc9d6b6327e3521eef212c907857c311d04369a4c69	4060	udt_g154_shared_xmax_asymptotic_response_classification_2026-08-18/AUDIT_REPORT.md
S18	2c4d58048842b0bac290490294ecab05e8003ced46f4b743708f0e7144e87fb1	6631	udt_g155_scale_sector_closure_whiteboard_2026-08-18/AUDIT_REPORT.md
S19	14498cb47337face0529524c83e0241a3124a50ff072aa760e2e2133513be843	4608	udt_g156_three_observer_scale_carry_audit_2026-08-18/AUDIT_REPORT.md
S20	0ffb00e2cbaa0c1fc95bad3a35c4acc6d970d29c4f43831a61c8dc5211b4d519	8092	CURRENT_RESEARCH_PROGRAM.md
