object	status	exact_scope	remaining_open
founded_reciprocal_arrow	DERIVED_ON_SUPPLIED_ORDERED_DEPTH	D(delta)=diag(exp(-delta),exp(+delta)) with exact composition and reversal	physical pair/path assignment
signed_depth_extractor	DERIVED_FROM_SUPPLIED_FOUNDED_ARROW	delta(D)=one-half log(D_22/D_11); continuous additive coordinate unique after registered sign/unit	complete-metric universal arrow construction
reciprocal_group_magnitude	DERIVED_FROM_SUPPLIED_FOUNDED_ARROW	rho(D)=arcosh(Tr(D)/2)=abs(delta); reversal even and triangle inequality	physical positional interpretation and dimensional profile
one_arrow_two_readouts	DERIVED_KINEMATIC_SPLIT	signed orientation and nonnegative reciprocal magnitude are exact readouts of one founded arrow	complete angular/mixing/path/global readout
physical_separation_as_preexisting_independent_scalar	NOT_REQUIRED_BY_PROPOSED_ARCHITECTURE	UDT may instead constitute separation through complete observer comparison	physical identification remains owner-proposed not source-derived
reciprocal_magnitude_equals_complete_physical_separation	NOT_DERIVED_AND_FALSE_FOR_SCALAR_ONLY_WITH_LIVE_ANGULAR_SECTOR	equal-depth angularly separated pair has zero reciprocal difference and nonzero angular arc	complete comparison norm or reduction rule
c_E_calibration	OBSERVED_LOCAL_CLOCK_LENGTH_ANCHOR	can fix ordinary-regime dimensional slope	global distance-depth profile
Xmax_profile	OPEN_NONUNIQUE	Xmax*tanh(kappa rho) and Xmax*(1-exp(-kappa rho)) share origin slope asymptote monotonicity and subadditivity	metric-native profile selector and numerical Xmax
pointwise_factorization_extraction	REFUTED_ON_SUPPLIED_FACTORIZED_ARCHITECTURE	independent reference shifts preserve complete coframes while changing representative endpoint depth	physical reciprocal section or pair arrow owner
Levi_Civita_transport_as_reciprocal_dilation	TYPE_MISMATCH	metric-isometric transport cannot simply be renamed the nonzero unbalanced reciprocal physical readout	separate physical comparison operation
path_labelled_complete_comparison	AVAILABLE_CONDITIONAL_EXACT	composes for supplied path depth and transported extension generator	path ontology depth and generator selection
endpoint_complete_comparison	OBSTRUCTED_ON_FULL_HOLONOMY_CONTROL	full so(1,3) centralizer dimension one excludes non-scalar founded extension	reduced-holonomy branch or path/reset semantics
stationary_Killing_two_readouts	CONDITIONAL_BRANCH_LOCAL_METRIC_DERIVED	delta_K=log(N_p/N_q) and rho_K=abs(delta_K)	nonstationary angular and global realization
holistic_distance_identification	OWNER_PROPOSED_CONCEPTUAL_FRAME	physical separation is a readout of one complete reciprocal observer comparison rather than an independent input	formal adoption status and complete comparison construction
complete_observer_pair_comparison_map	OPEN_SHARPENED_TARGET	must be metric-natural reference-independent locally Lorentz typed and retain angular/path/global data	native construction or explicit additional premise
action_source_boundary_bootstrap_mass_dynamics	OPEN_UNCHANGED	no downstream physics follows from kinematic split	complete realization law
overall	DERIVED_RECIPROCAL_SUBGROUP_TWO_READOUT_THEOREM__COMPLETE_PHYSICAL_DISTANCE_IDENTIFICATION_OPEN	algebraic core closes; external adversarial review accepted it after a mechanical scope-gate repair	complete metric-natural observer-pair comparison construction and physical separation readout remain open
