item	status	note
strengthened_founding_chain	DERIVED_NONSELECTION_IN_BOUNDED_ARENA	compatibility/readout statements admit the smooth time-live counterfamily
round_time_live_counterfamily	DERIVED	positive smooth globally hyperbolic metrics agree on whole quiet half-history and later differ invariantly
hopf_family_existence	DERIVED_CONDITIONAL	retained for every positive round slice scale
normalized_hopf_time_carry	DERIVED_CONDITIONAL	identity for arbitrary positive a(T)
hopf_selection_of_time_profile	NOT_DERIVED	scale-blind topology and carry do not reject deformation
G301_tracefree_residual	CONDITIONAL_CANDIDATE_LAW	rejects the preregistered deformation
positive_standard_history_shape	DERIVED_CONDITIONAL	a=X*cosh((T-T0)/X) after adopting G301 trace-free residual
remaining_history_freedom_in_bounded_conditional_branch	ONE_SCALE	X remains; T0 is time-origin/isometry freedom
G301_ownership_by_founding_postulates	OPEN	no implication derived
scale_calibration	OPEN	may use valid anchor only after conditional law adoption
physical_chirality	OPEN	mirror-related sectors remain
mass_source_stability_Xmax	OPEN	not tested
canonization	NOT_AUTHORIZED	Charles owns verdict

