claim_id	source_path	claim	status_before_audit	semantic_capability
C01	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	L_equals_cT_and_T_equals_L_over_c_are_coequal_and_respected_by_positional_comparisons	FOUNDING	NAMES_PAIR_CHANNELS
C02	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	positive_diagonal_comparison_is_parameterized_by_relative_depth_delta	DERIVED_CONDITIONAL	ABSTRACT_ORDERED_DEPTH
C03	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	dual_reciprocity_forces_u_times_v_equals_one	DERIVED	PAIR_RECIPROCITY
C04	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	continuous_relative_comparisons_compose_by_delta_addition	POSIT	ABSTRACT_COMPOSITION
C05	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	reversal_is_inverse_S_minus_phi_equals_S_phi_inverse	DERIVED	ORDER_REVERSAL
C06	UDT_RECIPROCAL_C_FOUNDING_POSTULATE_DERIVATION_RESULTS.md	local_metric_readout_and_spherical_sector_are_declared_continuity premises	CONDITIONAL	LOCAL_READOUT_ONLY
C07	UDT_NATIVE_ACTION_COLD_PACKET.md	positional_comparison_is_physical_relational_and_no_position_is_privileged	FOUNDING_PLUS_POSIT	RELATIONAL_COMPARISON
C08	UDT_NATIVE_ACTION_COLD_PACKET.md	difference_composition_reversal_and_regular_positive comparison form the local formalization	POSIT	ABSTRACT_RELATION_LAWS
C09	external.md	comparisons_compose_consistently_through_an_intermediate_position	OWNER_POSTULATE_EXPOSITION	ABSTRACT_INTERMEDIATE_COMPOSITION
C10	external.md	mutual_reciprocity_says_each_position_sees_the_other_clock_slow_with_neither preferred	OWNER_POSTULATE_EXPOSITION	SYMMETRIC_PHYSICAL_MOTIVATION
C11	external.md	R1_to_R3_fix_metric_form_not_phi_profile_or_transverse function	EXPLICIT_SCOPE	NO_GLOBAL_REALIZATION
C12	CURRENT_SCIENTIFIC_PREMISES.tsv	founded_phi_identity_and_pair_action_are_derived	ACTIVE_FOUNDATION	ABSTRACT_OPERATOR_FIXED
C13	CURRENT_SCIENTIFIC_PREMISES.tsv	physical_observer_path_assignment_and_complete_4D_extension_are_open	ACTIVE_OPEN_GATE	SEMANTICS_NOT_CLOSED
C14	CURRENT_SCIENTIFIC_PREMISES.tsv	strong_local_CSN_is_inactive	CURRENT_PRECEDENCE	NO_CSN_SELECTOR
C15	udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	abstract_ordered_operator_is_derived_before_a_path	VERIFIED_WITH_CAVEATS	PATH_NOT_NEEDED_ABSTRACTLY
C16	udt_observer_pair_clock_operator_audit_2026-07-24/AUDIT_REPORT.md	path_enters_when_complete_metric_assigns_depth_and_angular_shift transport	VERIFIED_WITH_CAVEATS	DOWNSTREAM_PATH_ROLE
C17	udt_observer_pair_clock_operator_audit_2026-07-24/EXACT_DERIVATION.md	endpoint_factorization_requires_a_supplied_common_section_and_flat_path independent trivialization	CONDITIONAL	ENDPOINT_COLLAPSE_NOT_FOUNDING
