id	object	status	scope	remaining_open
S01	reciprocal_clock_ruler_pair	DERIVED_WITH_FOUNDING_STAMPS	abstract_pair	complete_lift
S02	ordered_relational_comparison	DERIVED_WITH_FOUNDING_STAMPS	abstract_pair_roles	physical_event_pairing
S03	additive_character_composition_and_reversal	DERIVED_CONDITIONAL	registered_regular_positive_depth	physical_depth_assignment
S04	abstract_S_delta_operator	DERIVED	ordered_additive_depth	complete_metric_realization
S05	abstract_comparison_requires_path	REFUTED	operator_once_delta_supplied	path_may_enter_downstream
S06	physical_path_label_is_founded	NOT_DERIVED	complete_observer_comparison	path_authority
S07	physical_endpoint_only_is_founded	NOT_DERIVED	complete_observer_comparison	path_independence
S08	observer_frame_reciprocity	OWNER_FOUNDING_MACRO	covariance_no_preferred_observer	global_observer_mechanics
S09	endpoint_factorization	DERIVED_CONDITIONAL	global_exact_section	physical_section_and_flatness
S10	typed_path_groupoid	DERIVED_GIVEN_INPUT	metric_path_pair_depth_inputs	physical_path_semantics
S11	lambda_one_parallel_endpoint_stratum	DERIVED_CONDITIONAL	two_complete_S3_controls_plus_endpoint_requirement	broader_branches_and_requirement
S12	primary_founding_semantics	SEMANTICS_OPEN	path_vs_endpoint_complete_realization	metric_native_pair_depth_and_assignment
S13	lambda	OPEN	all_real_pathwise_lambda_one_endpoint_conditional	physical_selector
S14	action_carrier_source_boundary_density_mass_dynamics	OPEN_OR_CONDITIONAL	outside_audit	complete_physics
