catch_id	status	exercised_mutation
F01	PASS	abstract_composition_is_path_concatenation
F02	PASS	intermediate_position_forces_path_independence
F03	PASS	covariance_forces_parallel_global_field
F04	PASS	conditional_endpoint_factorization_proves_global_section
F05	PASS	path_groupoid_availability_makes_paths_physical
F06	PASS	cut_transport_family_forces_scalar_path_depth
F07	PASS	levi_civita_transport_equals_founding_dilation
F08	PASS	holonomy_refutes_endpoint_semantics
F09	PASS	lambda_one_parallelism_derives_endpoint_requirement
F10	PASS	bilocal_survivor_selects_F
F11	PASS	inactive_CSN_selects_semantics
F12	PASS	open_semantics_erases_abstract_operator
F13	PASS	open_semantics_makes_every_path_physical
F14	PASS	path_derived_without_constitutive_source
F15	PASS	endpoint_derived_without_independence_source
F16	PASS	semantic_ruling_selects_downstream_physics
