requirement_id	requirement	current_source_status	necessary_for
Q01	ordered_source_and_target_roles	DERIVED_OR_REGISTERED	ABSTRACT_COMPARISON
Q02	inverse_under_role_reversal	DERIVED	ABSTRACT_COMPARISON
Q03	composition_at_matched_intermediate_object	POSIT_DERIVED_CHARACTER	ABSTRACT_COMPARISON
Q04	neutral_self_comparison	DERIVED_IDENTITY	ABSTRACT_COMPARISON
Q05	no_preferred_macro_observer	OWNER_FOUNDING_CLARIFICATION	FRAME_COVARIANCE
Q06	physical_event_pairing	OPEN	MEASURED_PAIR_COMPARISON
Q07	map_from_complete_observer_pair_to_signed_depth	OPEN	PHYSICAL_DILATION
Q08	connecting_path_as_physical_datum	OPEN	PATH_LABELLED_DERIVED
Q09	path_independence_for_same_endpoints	OPEN	ENDPOINT_ONLY_DERIVED
Q10	global_pair_or_coframe_section	OPEN	GLOBAL_ENDPOINT_FIELD
Q11	endpoint_frame_gauge_resolution	OPEN	FRAME_INDEPENDENT_ENDPOINT_READOUT
Q12	complete_metric_transport	DERIVED_PER_SUPPLIED_METRIC	PATHWISE_REALIZATION
Q13	zero_reciprocal_loop_periods	OPEN	ENDPOINT_DEPTH_COCYCLE
Q14	holonomy_centralizes_reciprocal_response	CONDITIONAL_PER_BRANCH	PARALLEL_ENDPOINT_COLLAPSE
Q15	cut_locus_path_identification_or_selection	OPEN	SINGLE_ENDPOINT_TRANSPORT
Q16	complete_4D_angular_and_mixing_extension	OPEN	FULL_PHYSICAL_COMPARISON
Q17	parallelism_nabla_X_equals_zero	NOT_FOUNDING_REQUIREMENT	PARALLEL_ENDPOINT_FIELD
Q18	physical_screen_lambda	OPEN	COMPLETE_RECIPROCAL_RESPONSE

