premise_id	premise	status	use	not_supplied
P01	reciprocal_c_channels	pinned_by_THEORY	names_clock_ruler_conversion pair	observer_path_law
P02	dual_UDT_Reciprocity	pinned_by_THEORY	forces_inverse_pair_weights	complete_metric_transport
P03	difference_composition_reversal_regularity	POSIT_plus_DERIVED	abstract_ordered_character	physical_pair_depth map
P04	founded_phi_and_pair_action	DERIVED	S_delta_operator	profile_path_or_complete lift
P05	physical_relational_positional_comparison	FOUNDING_plus_POSIT	comparison_not_bare_local_property	path_constitutive_status
P06	observer_frame_reciprocity	OWNER_FOUNDING_MACRO	covariance_no_preferred_observer	parallelism_flatness_or_zero_holonomy
P07	local_physical_pair_readout	DERIVED_CONDITIONAL	local_clock_ruler alignment	global_pair field
P08	physical_observer_event_pairing	OPEN	candidate_realization	measurement_protocol
P09	metric_native_signed_depth assignment	OPEN	candidate_realization	normalization_or profile
P10	Levi_Civita_transport	DERIVED_PER_METRIC_REPRESENTATIVE	complete_metric_path transport	founding_dilation identity
P11	path_groupoid_assembly	DERIVED_GIVEN_INPUT	consistent_typed_path realization	physical_path ontology
P12	endpoint_only_path_independence	OPEN_CONDITIONAL	conditional_global_collapse	founding necessity
P13	global_pair_section	OPEN	conditional_endpoint factorization	existence_or selection
P14	lambda_one_parallel_on_two_S3_controls	DERIVED_CONDITIONAL	consequence_if_endpoint_only	universal lambda selection
P15	strong_local_CSN	INACTIVE_CHALLENGED	excluded	semantic selector
P16	action_carrier_source_boundary_density_mass_dynamics	OPEN_OR_CONDITIONAL	excluded	downstream physics

