claim_id	abstract_ordered_effect	endpoint_physical_force	path_physical_force	adjudication	reason
C01	SUPPORTS	NO	NO	PAIR_CHANNEL_FOUNDATION	Names_channels_not_complete_observer_arrow
C02	DERIVES	NO	NO	ABSTRACT_DEPTH_PARAMETER	Relative_depth_is_an_input_coordinate_not_a_complete_pair_map
C03	DERIVES	NO	NO	PAIR_DUALITY	Constrains_weights_only
C04	DERIVES	NO	NO	ABSTRACT_COMPOSITION	Composition_domain_contains_no_metric_path_variable
C05	DERIVES	NO	NO	ABSTRACT_REVERSAL	Inverse_under_role_reversal_does_not_choose_path_semantics
C06	NONE	NO	NO	LOCAL_READOUT_CONDITIONAL	Local_readout_does_not_supply_global_realization
C07	DERIVES	NO	NO	RELATIONAL_PHYSICAL_COMPARISON	Physical_relationality_selects_pair_type_not_path_or_endpoint_collapse
C08	DERIVES	NO	NO	ABSTRACT_RELATION_LAWS	Laws_apply_after_relative_depth_is_supplied
C09	SUPPORTS	NO	NO	INTERMEDIATE_COMPOSITION_ONLY	Intermediate_position_is_Cauchy_composition_not_same_endpoint_path_comparison
C10	SUPPORTS	NO	NO	MUTUALITY_MOTIVATION	No_event_pairing_or_complete_transport_is_defined
C11	NONE	NO	NO	EXPLICIT_FOUNDING_SCOPE_LIMIT	Profile_and_transverse_completion_are_not_fixed
C12	DERIVES	NO	NO	CURRENT_ABSTRACT_OPERATOR	Current_precedence_closes_pair_action_only
C13	NONE	NO	NO	EXPLICIT_OPEN_REALIZATION	Directly_withholds_physical_observer_path_assignment
C14	NONE	NO	NO	EXCLUDES_CSN_SELECTOR	Inactive_premise_cannot_select_semantics
C15	DERIVES	NO	NO	ABSTRACT_OPERATOR_PRECEDES_PATH	Shows_path_is_unnecessary_for_abstract_operator_not_forbidden_physically
C16	NONE	NO	NO	DOWNSTREAM_PATH_ROLE	Path_enters_complete_metric_tasks_without_becoming_constitutive_by_foundation
C17	NONE	NO	NO	CONDITIONAL_ENDPOINT_FACTORIZATION	Requires_common_section_and_flat_path_independent_trivialization
C18	NONE	NO	NO	EXPLICIT_ENDPOINT_GAP	Frames_and_event_pairing_are_unsupplied
C19	NONE	NO	NO	BILOCAL_SURVIVOR_GIVEN_F	Type_survives_but_F_and_transitions_are_open
C20	NONE	NO	NO	SCALAR_TRANSPORT_DISTINCTION	Multiple_full_transports_do_not_force_scalar_depth_to_choose_a_path
C21	NONE	NO	NO	EXPLICIT_BILOCAL_GAP	No_signed_lift_or_transition_law
C22	SUPPORTS	NO	NO	COVARIANCE_ONLY	No_preferred_frame_does_not_supply_parallel_section
C23	NONE	NO	NO	LOCAL_NONABELIAN_FRAME_FACT	Angular_composition_is_not_global_path_ontology
C24	SUPPORTS	NO	NO	LOCAL_PAIR_ALIGNMENT	Local_pair_ownership_does_not_globalize_it
C25	NONE	NO	NO	EXPLICIT_GLOBAL_GAP	Pair_field_path_and_transport_are_open
C26	NONE	NO	NO	PATHWISE_CONSISTENCY_GIVEN_INPUT	Availability_and_exact_composition_do_not_make_paths_physical
C27	NONE	NO	NO	EXPLICIT_MULTIPLE_REALIZATIONS	Endpoint_path_chart_and_bilocal_types_remain_open
C28	NONE	NO	NO	PATHWISE_LAMBDA_NONSELECTION	Conditional_semantic_branch_not_foundation
C29	NONE	NO	NO	CONDITIONAL_ENDPOINT_LAMBDA_ONE	Consequence_does_not_derive_endpoint_requirement
C30	NONE	NO	NO	EXPLICIT_ENDPOINT_REQUIREMENT_GAP	Directly_blocks_endpoint_only_promotion
C31	NONE	NO	NO	NO_CONNECTION_SELECTOR	Abstract_composition_does_not_choose_transport
C32	NONE	NO	NO	VALUE_LEVEL_ONLY	No_global_parallelism_or_derivative_persistence
C33	DERIVES	NO	NO	ORDERED_RELATION_ONLY	No_point_local_metric_equation_follows
C34	SUPPORTS	NO	NO	COVARIANCE_NOT_NECESSITY	Covariant_nonzero_alternatives_survive
C35	SUPPORTS	NO	NO	MACRO_FRAME_SCOPE	No_complete_observer_law_or_micro_extension
C36	DERIVES	NO	NO	FOUNDED_ACTION_OPEN_REALIZATION	Explicitly_separates_pair_action_from_observer_path_assignment
