requirement_id	audit_status	effect_on_primary_ruling
Q01	DERIVED	positive_abstract_core
Q02	DERIVED	positive_abstract_core
Q03	DERIVED_CONDITIONAL_ON_REGISTERED_POSIT	positive_abstract_core
Q04	DERIVED	positive_abstract_core
Q05	OWNER_FOUNDING_MACRO	covariance_only
Q06	OPEN	blocks_complete_physical_endpoint_and_path_claims
Q07	OPEN	blocks_complete_physical_endpoint_and_path_claims
Q08	OPEN	blocks_PATH_LABELLED_DERIVED
Q09	OPEN	blocks_ENDPOINT_ONLY_DERIVED
Q10	OPEN	blocks_global_endpoint_field
Q11	OPEN	blocks_frame_independent_endpoint_readout
Q12	DERIVED_PER_SUPPLIED_METRIC	supplies_conditional_path_transport_not_semantics
Q13	OPEN	blocks_endpoint_depth_cocycle
Q14	CONDITIONAL_PER_BRANCH	conditional_endpoint_collapse_only
Q15	OPEN	blocks_single_full_cut_locus_endpoint_transport
Q16	OPEN	blocks_complete_physical_comparison
Q17	NOT_FOUNDED	blocks_parallel_endpoint_requirement
Q18	OPEN	blocks_complete_reciprocal_response
